index,session_idx,request_ts,response_ts,elapsed_s,category,status,tool,args_keys,args_json,error_code,error_message,is_retry,retry_of_index,response_preview,response_text
1,1,2026-04-26T14:27:49.543,2026-04-26T14:27:49.558,0.015,VALID,OK,echo,['message'],"{""message"":""hello MCP""}",,,False,,Echo: hello MCP,Echo: hello MCP
2,1,2026-04-26T14:27:49.773,2026-04-26T14:27:49.776,0.003,VALID,OK,get-sum,"['a', 'b']","{""a"":42,""b"":58}",,,False,,The sum of 42 and 58 is 100.,The sum of 42 and 58 is 100.
3,1,2026-04-26T14:27:49.985,2026-04-26T14:27:49.993,0.008,VALID,OK,get-tiny-image,[],{},,,False,,Here's the image you requested:,Here's the image you requested:
4,1,2026-04-26T14:27:50.204,2026-04-26T14:27:50.209,0.005,VALID,OK,get-env,[],{},,,False,,"{   ""APPDATA"": ""C:\\Users\\user\\AppData\\Roaming"",   ""COLOR"": ""0"",   ""COMSPEC"": ""C:\\windows\\system32\\cmd.exe"",   ""EDITOR"": ""C:\\windows\\notepad.exe"",   ""HOME"": ""C:\\Users\\user"",   ""HOMEDRIVE"": ""C:"",   ""HOMEPATH"": ""\\Users\\user"",   ""INIT_CWD"": ""C:\\Users\\user\\Documents\\GitHub\\MCP"",   ""LOCA","{
  ""APPDATA"": ""C:\\Users\\user\\AppData\\Roaming"",
  ""COLOR"": ""0"",
  ""COMSPEC"": ""C:\\windows\\system32\\cmd.exe"",
  ""EDITOR"": ""C:\\windows\\notepad.exe"",
  ""HOME"": ""C:\\Users\\user"",
  ""HOMEDRIVE"": ""C:"",
  ""HOMEPATH"": ""\\Users\\user"",
  ""INIT_CWD"": ""C:\\Users\\user\\Documents\\GitHub\\MCP"",
  ""LOCALAPPDATA"": ""C:\\Users\\user\\AppData\\Local"",
  ""NODE"": ""C:\\Program Files\\nodejs\\node.exe"",
  ""NODE_EXE"": ""C:\\Program Files\\nodejs\\\\node.exe"",
  ""npm_command"": ""exec"",
  ""npm_config_cache"": ""C:\\Users\\user\\AppData\\Local\\npm-cache"",
  ""npm_config_globalconfig"": ""C:\\Users\\user\\AppData\\Roaming\\npm\\etc\\npmrc"",
  ""npm_config_global_prefix"": ""C:\\Users\\user\\AppData\\Roaming\\npm"",
  ""npm_config_init_module"": ""C:\\Users\\user\\.npm-init.js"",
  ""npm_config_local_prefix"": ""C:\\Users\\user\\Documents\\GitHub\\MCP"",
  ""npm_config_node_gyp"": ""C:\\Program Files\\nodejs\\node_modules\\npm\\node_modules\\node-gyp\\bin\\node-gyp.js"",
  ""npm_config_noproxy"": """",
  ""npm_config_npm_version"": ""11.11.0"",
  ""npm_config_prefix"": ""C:\\Users\\user\\AppData\\Roaming\\npm"",
  ""npm_config_userconfig"": ""C:\\Users\\user\\.npmrc"",
  ""npm_config_user_agent"": ""npm/11.11.0 node/v24.14.1 win32 x64 workspaces/false"",
  ""npm_execpath"": ""C:\\Program Files\\nodejs\\node_modules\\npm\\bin\\npm-cli.js"",
  ""npm_lifecycle_event"": ""npx"",
  ""npm_lifecycle_script"": ""mcp-server-everything"",
  ""npm_node_execpath"": ""C:\\Program Files\\nodejs\\node.exe"",
  ""npm_package_json"": ""C:\\Users\\user\\Documents\\GitHub\\MCP\\package.json"",
  ""NPM_PREFIX_JS"": ""C:\\Program Files\\nodejs\\\\node_modules\\npm\\bin\\npm-prefix.js"",
  ""NPM_PREFIX_NPX_CLI_JS"": ""C:\\Users\\user\\AppData\\Roaming\\npm\\node_modules\\npm\\bin\\npx-cli.js"",
  ""NPX_CLI_JS"": ""C:\\Program Files\\nodejs\\\\node_modules\\npm\\bin\\npx-cli.js"",
  ""PATH"": ""C:\\Users\\user\\AppData\\Roaming\\npm;C:\\Users\\user\\Documents\\GitHub\\MCP\\node_modules\\.bin;C:\\Users\\user\\Documents\\GitHub\\node_modules\\.bin;C:\\Users\\user\\Documents\\node_modules\\.bin;C:\\Users\\user\\node_modules\\.bin;C:\\Users\\node_modules\\.bin;C:\\node_modules\\.bin;C:\\Program Files\\nodejs\\node_modules\\npm\\node_modules\\@npmcli\\run-script\\lib\\node-gyp-bin;C:\\Users\\user\\Documents\\GitHub\\MCP\\.venv\\Scripts;C:\\Users\\user\\bin;C:\\Program Files\\Git\\mingw64\\bin;C:\\Program Files\\Git\\usr\\local\\bin;C:\\Program Files\\Git\\usr\\bin;C:\\Program Files\\Git\\usr\\bin;C:\\Program Files\\Git\\mingw64\\bin;C:\\Program Files\\Git\\usr\\bin;C:\\Users\\user\\bin;C:\\Users\\user\\Documents\\GitHub\\MCP\\.venv\\Scripts;C:\\Users\\user\\AppData\\Roaming\\Code\\User\\globalStorage\\github.copilot-chat\\debugCommand;C:\\Users\\user\\AppData\\Roaming\\Code\\User\\globalStorage\\github.copilot-chat\\copilotCli;C:\\Users\\user\\AppData\\Local\\Programs\\Microsoft VS Code;C:\\windows\\system32;C:\\windows;C:\\windows\\System32\\Wbem;C:\\windows\\System32\\WindowsPowerShell\\v1.0;C:\\windows\\System32\\OpenSSH;C:\\Program Files\\PuTTY;C:\\Program Files\\dotnet;C:\\Program Files\\Go\\bin;C:\\Program Files\\Kubernetes\\Minikube;C:\\Program Files\\Docker\\Docker\\resources\\bin;C:\\Program Files\\Git\\cmd;C:\\Program Files\\nodejs;C:\\Program Files\\GitHub CLI;C:\\windows\\system32;C:\\windows;C:\\windows\\System32\\Wbem;C:\\windows\\System32\\WindowsPowerShell\\v1.0;C:\\windows\\System32\\OpenSSH;C:\\Program Files\\PuTTY;C:\\Program Files\\dotnet;C:\\Program Files\\Go\\bin;C:\\Program Files\\Git\\cmd;C:\\Program Files\\Kubernetes\\Minikube;C:\\Program Files\\Docker\\Docker\\resources\\bin;C:\\Users\\user\\.local\\bin;C:\\Users\\user\\AppData\\Roaming\\Code\\User\\globalStorage\\github.copilot-chat\\copilotCli;C:\\Users\\user\\AppData\\Roaming\\Code\\User\\globalStorage\\github.copilot-chat\\debugCommand;C:\\windows\\system32;C:\\windows;C:\\windows\\System32\\Wbem;C:\\windows\\System32\\WindowsPowerShell\\v1.0;C:\\windows\\System32\\OpenSSH;C:\\Program Files\\PuTTY;C:\\Program Files\\dotnet;C:\\Program Files\\Go\\bin;C:\\Program Files\\Git\\cmd;C:\\Program Files\\Kubernetes\\Minikube;C:\\Program Files\\Docker\\Docker\\resources\\bin;C:\\Users\\user\\AppData\\Local\\Microsoft\\WindowsApps;C:\\Users\\user\\AppData\\Local\\Programs\\Microsoft VS Code\\bin;C:\\Users\\user\\AppData\\Local\\Programs\\cursor\\resources\\app\\bin;C:\\Users\\user\\AppData\\Local\\GitHubDesktop\\bin;C:\\Users\\user\\go\\bin;C:\\Java\\jdk-21.0.4+7\\bin;C:\\Users\\user\\AppData\\Local\\Programs\\Antigravity\\bin;C:\\Users\\user\\.local\\bin;C:\\Users\\user\\AppData\\Local\\Programs\\MiKTeX\\miktex\\bin\\x64;C:\\Users\\user\\AppData\\Roaming\\npm;C:\\Users\\user\\.vscode\\extensions\\ms-python.debugpy-2025.18.0-win32-x64\\bundled\\scripts\\noConfigScripts;C:\\Program Files\\Git\\usr\\bin\\vendor_perl;C:\\Program Files\\Git\\usr\\bin\\core_perl;C:\\Users\\user\\.claude\\plugins\\cache\\claude-plugins-official\\superpowers\\5.0.7\\bin"",
  ""PATHEXT"": "".COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC;.CPL"",
  ""PROCESSOR_ARCHITECTURE"": ""AMD64"",
  ""PROMPT"": ""$P$G"",
  ""SYSTEMDRIVE"": ""C:"",
  ""SYSTEMROOT"": ""C:\\windows"",
  ""TEMP"": ""C:\\Users\\user\\AppData\\Local\\Temp"",
  ""USERNAME"": ""user"",
  ""USERPROFILE"": ""C:\\Users\\user""
}"
5,1,2026-04-26T14:27:50.423,2026-04-26T14:27:50.451,0.028,VALID,OK,get-resource-links,[],{},,,False,,Here are 3 resource links to resources available in this server:,Here are 3 resource links to resources available in this server:
6,1,2026-04-26T14:27:50.673,2026-04-26T14:27:50.679,0.006,VALID,OK,get-annotated-message,['messageType'],"{""messageType"":""error""}",,,False,,Error: Operation failed,Error: Operation failed
7,1,2026-04-26T14:27:50.887,2026-04-26T14:27:50.892,0.005,VALID,OK,get-annotated-message,['messageType'],"{""messageType"":""success""}",,,False,,Operation completed successfully,Operation completed successfully
8,1,2026-04-26T14:27:51.104,2026-04-26T14:27:51.109,0.005,ERROR,APP_ERROR,simulate-research-query,['topic'],"{""topic"":""MCP security risks""}",,,False,,MCP error -32601: Tool simulate-research-query requires task augmentation (taskSupport: 'required'),MCP error -32601: Tool simulate-research-query requires task augmentation (taskSupport: 'required')
9,1,2026-04-26T14:27:51.319,2026-04-26T14:27:52.333,1.014,VALID,OK,trigger-long-running-operation,"['duration', 'steps']","{""duration"":1,""steps"":2}",,,False,,"Long running operation completed. Duration: 1 seconds, Steps: 2.","Long running operation completed. Duration: 1 seconds, Steps: 2."
10,1,2026-04-26T14:27:52.539,2026-04-26T14:27:52.543,0.004,BAD_PARAMS,APP_ERROR,get-structured-content,['location'],"{""location"":""home""}",,,False,,"MCP error -32602: Input validation error: Invalid arguments for tool get-structured-content: [   {     ""received"": ""home"",     ""code"": ""invalid_enum_value"",     ""options"": [       ""New York"",       ""Chicago"",       ""Los Angeles""     ],     ""path"": [       ""location""     ],     ""message"": ""Invalid en","MCP error -32602: Input validation error: Invalid arguments for tool get-structured-content: [
  {
    ""received"": ""home"",
    ""code"": ""invalid_enum_value"",
    ""options"": [
      ""New York"",
      ""Chicago"",
      ""Los Angeles""
    ],
    ""path"": [
      ""location""
    ],
    ""message"": ""Invalid enum value. Expected 'New York' | 'Chicago' | 'Los Angeles', received 'home'""
  }
]"
