session_idx,server_name,tool_name,description,input_schema,output_schema,read_only_hint,destructive_hint,idempotent_hint
1,mcp-servers/everything,echo,Echoes back the input string,"{""type"":""object"",""properties"":{""message"":{""type"":""string"",""description"":""Message to echo""}},""required"":[""message""],""additionalProperties"":false,""$schema"":""http://json-schema.org/draft-07/schema#""}",{},,,
1,mcp-servers/everything,get-annotated-message,Demonstrates how annotations can be used to provide metadata about content.,"{""type"":""object"",""properties"":{""messageType"":{""type"":""string"",""enum"":[""error"",""success"",""debug""],""description"":""Type of message to demonstrate different annotation patterns""},""includeImage"":{""type"":""boolean"",""default"":false,""description"":""Whether to include an example image""}},""required"":[""messageType""],""additionalProperties"":false,""$schema"":""http://json-schema.org/draft-07/schema#""}",{},,,
1,mcp-servers/everything,get-env,"Returns all environment variables, helpful for debugging MCP server configuration","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{}}",{},,,
1,mcp-servers/everything,get-resource-links,Returns up to ten resource links that reference different types of resources,"{""type"":""object"",""properties"":{""count"":{""type"":""number"",""minimum"":1,""maximum"":10,""default"":3,""description"":""Number of resource links to return (1-10)""}},""additionalProperties"":false,""$schema"":""http://json-schema.org/draft-07/schema#""}",{},,,
1,mcp-servers/everything,get-resource-reference,Returns a resource reference that can be used by MCP clients,"{""type"":""object"",""properties"":{""resourceType"":{""type"":""string"",""enum"":[""Text"",""Blob""],""default"":""Text""},""resourceId"":{""type"":""number"",""default"":1,""description"":""ID of the text resource to fetch""}},""additionalProperties"":false,""$schema"":""http://json-schema.org/draft-07/schema#""}",{},,,
1,mcp-servers/everything,get-structured-content,Returns structured content along with an output schema for client data validation,"{""type"":""object"",""properties"":{""location"":{""type"":""string"",""enum"":[""New York"",""Chicago"",""Los Angeles""],""description"":""Choose city""}},""required"":[""location""],""additionalProperties"":false,""$schema"":""http://json-schema.org/draft-07/schema#""}","{""type"":""object"",""properties"":{""temperature"":{""type"":""number"",""description"":""Temperature in celsius""},""conditions"":{""type"":""string"",""description"":""Weather conditions description""},""humidity"":{""type"":""number"",""description"":""Humidity percentage""}},""required"":[""temperature"",""conditions"",""humidity""],""additionalProperties"":false,""$schema"":""http://json-schema.org/draft-07/schema#""}",,,
1,mcp-servers/everything,get-sum,Returns the sum of two numbers,"{""type"":""object"",""properties"":{""a"":{""type"":""number"",""description"":""First number""},""b"":{""type"":""number"",""description"":""Second number""}},""required"":[""a"",""b""],""additionalProperties"":false,""$schema"":""http://json-schema.org/draft-07/schema#""}",{},,,
1,mcp-servers/everything,get-tiny-image,Returns a tiny MCP logo image.,"{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{}}",{},,,
1,mcp-servers/everything,gzip-file-as-resource,"Compresses a single file using gzip compression. Depending upon the selected output type, returns either the compressed data as a gzipped resource or a resource link, allowing it to be downloaded in a subsequent request during the current session.","{""type"":""object"",""properties"":{""name"":{""type"":""string"",""description"":""Name of the output file"",""default"":""README.md.gz""},""data"":{""type"":""string"",""format"":""uri"",""description"":""URL or data URI of the file content to compress"",""default"":""https://raw.githubusercontent.com/modelcontextprotocol/servers/refs/heads/main/README.md""},""outputType"":{""type"":""string"",""enum"":[""resourceLink"",""resource""],""default"":""resourceLink"",""description"":""How the resulting gzipped file should be returned. 'resourceLink' returns a link to a resource that can be read later, 'resource' returns a full resource object.""}},""additionalProperties"":false,""$schema"":""http://json-schema.org/draft-07/schema#""}",{},,,
1,mcp-servers/everything,toggle-simulated-logging,"Toggles simulated, random-leveled logging on or off.","{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{}}",{},,,
1,mcp-servers/everything,toggle-subscriber-updates,Toggles simulated resource subscription updates on or off.,"{""$schema"":""http://json-schema.org/draft-07/schema#"",""type"":""object"",""properties"":{}}",{},,,
1,mcp-servers/everything,trigger-long-running-operation,Demonstrates a long running operation with progress updates.,"{""type"":""object"",""properties"":{""duration"":{""type"":""number"",""default"":10,""description"":""Duration of the operation in seconds""},""steps"":{""type"":""number"",""default"":5,""description"":""Number of steps in the operation""}},""additionalProperties"":false,""$schema"":""http://json-schema.org/draft-07/schema#""}",{},,,
1,mcp-servers/everything,simulate-research-query,"Simulates a deep research operation that gathers, analyzes, and synthesizes information. Demonstrates MCP task-based operations with progress through multiple stages. If 'ambiguous' is true and client supports elicitation, sends an elicitation request for clarification.","{""type"":""object"",""properties"":{""topic"":{""type"":""string"",""description"":""The research topic to investigate""},""ambiguous"":{""type"":""boolean"",""default"":false,""description"":""Simulate an ambiguous query that requires clarification (triggers input_required status)""}},""required"":[""topic""],""additionalProperties"":false,""$schema"":""http://json-schema.org/draft-07/schema#""}",{},,,
