timestamp,index,persona,category,status,tool,args,run_id
2026-05-20T09:00:00,1,CI Bot,BENIGN,OK,search_repositories,"{""query"": ""backend""}",run_0001
2026-05-20T09:00:00,2,CI Bot,BENIGN,OK,get_file_contents,"{""repo"": ""backend-api"", ""path"": ""README.md""}",run_0001
2026-05-20T09:00:00,3,CI Bot,BENIGN,OK,list_commits,"{""repo"": ""internal-docs""}",run_0001
2026-05-20T09:00:00,4,CI Bot,BENIGN,OK,create_pull_request,"{""repo"": ""backend-api"", ""title"": ""fix typo""}",run_0001
2026-05-20T09:00:00,1,CI Bot,BENIGN,OK,search_repositories,"{""query"": ""backend""}",run_0002
2026-05-20T09:00:00,2,CI Bot,BENIGN,OK,get_file_contents,"{""repo"": ""backend-api"", ""path"": ""README.md""}",run_0002
2026-05-20T09:00:00,3,CI Bot,BENIGN,OK,list_commits,"{""repo"": ""internal-docs""}",run_0002
2026-05-20T09:00:00,4,CI Bot,BENIGN,OK,create_pull_request,"{""repo"": ""backend-api"", ""title"": ""fix typo""}",run_0002
2026-05-20T09:00:00,1,Attacker (Eve),MALICIOUS,OK,create_or_update_file,"{""repo"": ""infra-config"", ""path"": ""deploy_key""}",run_0003
2026-05-20T09:00:00,2,Attacker (Eve),MALICIOUS,OK,get_file_contents,"{""repo"": ""infra-config"", ""path"": "".env""}",run_0003
2026-05-20T09:00:00,3,Attacker (Eve),MALICIOUS,OK,merge_pull_request,"{""repo"": ""payments-service"", ""pull_number"": 7}",run_0003
2026-05-20T09:00:00,1,CI Bot,BENIGN,OK,search_repositories,"{""query"": ""backend""}",run_0004
2026-05-20T09:00:00,2,CI Bot,BENIGN,OK,get_file_contents,"{""repo"": ""backend-api"", ""path"": ""README.md""}",run_0004
2026-05-20T09:00:00,3,CI Bot,BENIGN,OK,list_commits,"{""repo"": ""internal-docs""}",run_0004
2026-05-20T09:00:00,4,CI Bot,BENIGN,OK,create_pull_request,"{""repo"": ""backend-api"", ""title"": ""fix typo""}",run_0004
2026-05-20T09:00:00,1,CI Bot,BENIGN,OK,search_repositories,"{""query"": ""backend""}",run_0005
2026-05-20T09:00:00,2,CI Bot,BENIGN,OK,get_file_contents,"{""repo"": ""backend-api"", ""path"": ""README.md""}",run_0005
2026-05-20T09:00:00,3,CI Bot,BENIGN,OK,list_commits,"{""repo"": ""internal-docs""}",run_0005
2026-05-20T09:00:00,4,CI Bot,BENIGN,OK,create_pull_request,"{""repo"": ""backend-api"", ""title"": ""fix typo""}",run_0005
2026-05-20T09:00:00,1,Compromised CI,MALICIOUS,OK,create_or_update_file,"{""repo"": ""infra-config"", ""path"": ""deploy_key""}",run_0006
2026-05-20T09:00:00,2,Compromised CI,MALICIOUS,OK,get_file_contents,"{""repo"": ""infra-config"", ""path"": "".env""}",run_0006
2026-05-20T09:00:00,3,Compromised CI,MALICIOUS,OK,get_file_contents,"{""repo"": ""payments-service"", ""path"": ""config/keys.yaml""}",run_0006
2026-05-20T09:00:00,4,Compromised CI,MALICIOUS,OK,delete_file,"{""repo"": ""backend-api"", ""path"": ""auth.py""}",run_0006
2026-05-20T09:00:00,1,CI Bot,BENIGN,OK,search_repositories,"{""query"": ""backend""}",run_0007
2026-05-20T09:00:00,2,CI Bot,BENIGN,OK,get_file_contents,"{""repo"": ""backend-api"", ""path"": ""README.md""}",run_0007
2026-05-20T09:00:00,3,CI Bot,BENIGN,OK,list_commits,"{""repo"": ""internal-docs""}",run_0007
2026-05-20T09:00:00,4,CI Bot,BENIGN,OK,create_pull_request,"{""repo"": ""backend-api"", ""title"": ""fix typo""}",run_0007
2026-05-20T09:00:00,1,CI Bot,BENIGN,OK,search_repositories,"{""query"": ""backend""}",run_0008
2026-05-20T09:00:00,2,CI Bot,BENIGN,OK,get_file_contents,"{""repo"": ""backend-api"", ""path"": ""README.md""}",run_0008
2026-05-20T09:00:00,3,CI Bot,BENIGN,OK,list_commits,"{""repo"": ""internal-docs""}",run_0008
2026-05-20T09:00:00,4,CI Bot,BENIGN,OK,create_pull_request,"{""repo"": ""backend-api"", ""title"": ""fix typo""}",run_0008
2026-05-20T09:00:00,1,Attacker (Eve),MALICIOUS,OK,merge_pull_request,"{""repo"": ""payments-service"", ""pull_number"": 7}",run_0009
2026-05-20T09:00:00,2,Attacker (Eve),MALICIOUS,OK,push_files,"{""repo"": ""payments-service"", ""branch"": ""main"", ""files"": [""gateway.py""]}",run_0009
2026-05-20T09:00:00,3,Attacker (Eve),MALICIOUS,OK,create_or_update_file,"{""repo"": ""infra-config"", ""path"": ""deploy_key""}",run_0009
2026-05-20T09:00:00,4,Attacker (Eve),MALICIOUS,OK,delete_file,"{""repo"": ""backend-api"", ""path"": ""auth.py""}",run_0009
2026-05-20T09:00:00,1,CI Bot,BENIGN,OK,search_repositories,"{""query"": ""backend""}",run_0010
2026-05-20T09:00:00,2,CI Bot,BENIGN,OK,get_file_contents,"{""repo"": ""backend-api"", ""path"": ""README.md""}",run_0010
2026-05-20T09:00:00,3,CI Bot,BENIGN,OK,list_commits,"{""repo"": ""internal-docs""}",run_0010
2026-05-20T09:00:00,4,CI Bot,BENIGN,OK,create_pull_request,"{""repo"": ""backend-api"", ""title"": ""fix typo""}",run_0010
2026-05-20T09:00:00,1,CI Bot,BENIGN,OK,search_repositories,"{""query"": ""backend""}",run_0011
2026-05-20T09:00:00,2,CI Bot,BENIGN,OK,get_file_contents,"{""repo"": ""backend-api"", ""path"": ""README.md""}",run_0011
2026-05-20T09:00:00,3,CI Bot,BENIGN,OK,list_commits,"{""repo"": ""internal-docs""}",run_0011
