tool_group,read,write,edit,create_dir,list_dir,move,search,get_file_info
png,low,high,high,NA/error,NA/error,low,low,low
pdf,low,high,high,NA/error,NA/error,low,low,low
sql,medium,high,high,NA/error,NA/error,medium,low,low
csv,low,high,medium,NA/error,NA/error,low,low,low
docx,low,high,low,NA/error,NA/error,low,low,low
xlsx,low,high,low,NA/error,NA/error,low,low,low
txt,low,low,low,NA/error,NA/error,low,low,low
exe,high,high,high,NA/error,NA/error,medium,medium,low
sys,high,high,high,NA/error,NA/error,high,medium,low
code,low,high,medium,NA/error,NA/error,medium,low,low
md,low,low,low,NA/error,NA/error,low,low,low
bash,medium,high,high,NA/error,NA/error,medium,low,low
