Directory,Filetype,read_file,write_file,edit_file,create_dir,list_dir,move_file,search,get_file_info
Sensitive Docs,.png,Medium,High,High,Medium,High,High,High,Medium
Sensitive Docs,.pdf,Critical,Critical,High,Medium,High,High,High,Medium
Sensitive Docs,.sql,Critical,Critical,High,Medium,High,Critical,High,Medium
Sensitive Docs,.csv,Critical,Critical,High,Medium,High,Critical,High,Medium
Sensitive Docs,.docx,Critical,Critical,High,Medium,High,High,High,Medium
Sensitive Docs,.xlsx,Critical,Critical,High,Medium,High,Critical,High,Medium
Sensitive Docs,.txt,Critical,Critical,High,Medium,High,High,High,Medium
Security Evidence,.png,Medium,High,High,Medium,High,High,High,Medium
Security Evidence,.pdf,Critical,Critical,High,Medium,High,High,High,Medium
Security Evidence,.sql,Critical,Critical,High,Medium,High,Critical,High,Medium
Security Evidence,.csv,Critical,Critical,High,Medium,High,Critical,High,Medium
Security Evidence,.docx,Critical,Critical,High,Medium,High,High,High,Medium
Security Evidence,.xlsx,Critical,Critical,High,Medium,High,Critical,High,Medium
Security Evidence,.txt,Critical,Critical,High,Medium,High,High,High,Medium
Source Code,.png,Medium,High,High,Low,Medium,Medium,Low,Low
Source Code,.pdf,Medium,High,High,Low,Medium,Medium,Low,Low
Source Code,.sql,Medium,Critical,High,Low,Medium,Medium,Low,Low
Source Code,.csv,Medium,High,Medium,Low,Medium,Medium,Low,Low
Source Code,.docx,Medium,High,Low,Low,Medium,Medium,Low,Low
Source Code,.xlsx,Medium,High,Medium,Low,Medium,Medium,Low,Low
Source Code,.txt,Medium,High,Low,Low,Medium,Medium,Low,Low
Source Code,.exe,High,Critical,Critical,Low,Medium,High,Low,Low
Source Code,.sys,Medium,Critical,High,Low,Medium,High,Medium,Low
Source Code,.code,Medium,High,Low,Low,Medium,Medium,Low,Low
Source Code,.md,Medium,High,Low,Low,Medium,Medium,Low,Low
Source Code,.bash,Medium,Critical,High,Low,Medium,High,Low,Low
QA Test Plans,.png,Medium,High,High,Low,Medium,Low,Low,Low
QA Test Plans,.pdf,Medium,High,High,Low,Medium,Low,Low,Low
QA Test Plans,.csv,Medium,High,Medium,Low,Medium,Low,Low,Low
QA Test Plans,.docx,Medium,High,Low,Low,Medium,Low,Low,Low
QA Test Plans,.xlsx,Medium,High,Medium,Low,Medium,Low,Low,Low
QA Test Plans,.txt,Medium,High,Low,Low,Medium,Low,Low,Low
QA Test Plans,.exe,High,Critical,Critical,Low,Medium,High,Low,Low
QA Test Plans,.code,Medium,High,Low,Low,Medium,Medium,Low,Low
QA Test Plans,.md,Medium,High,Low,Low,Medium,Low,Low,Low
QA Test Plans,.bash,Medium,Critical,High,Low,Medium,High,Low,Low
Shared Proj Dir,.png,Medium,High,High,Low,Low,High,Low,Low
Shared Proj Dir,.pdf,Low,High,High,Low,Low,High,Low,Low
Shared Proj Dir,.sql,Medium,Critical,Medium,Low,Low,High,Low,Low
Shared Proj Dir,.csv,Low,High,Medium,Low,Low,High,Low,Low
Shared Proj Dir,.docx,Low,High,Low,Low,Low,High,Low,Low
Shared Proj Dir,.xlsx,Low,High,Medium,Low,Low,High,Low,Low
Shared Proj Dir,.txt,Low,Medium,Low,Low,Low,High,Low,Low
Shared Proj Dir,.exe,High,Critical,Critical,Low,High,High,Low,Low
Shared Proj Dir,.sys,Medium,Critical,High,Low,Low,High,Medium,Low
Shared Proj Dir,.code,Low,High,Low,Low,Low,Medium,Low,Low
Shared Proj Dir,.md,Low,Medium,Low,Low,Low,Medium,Low,Low
Shared Proj Dir,.bash,Medium,Critical,High,Low,Low,High,Low,Low
Eval Data,.png,Medium,High,High,Low,Medium,High,Medium,Low
Eval Data,.pdf,High,High,High,Low,Medium,High,Medium,Low
Eval Data,.csv,High,High,Medium,Low,Medium,High,Medium,Low
Eval Data,.docx,High,High,Medium,Low,Medium,High,Medium,Low
Eval Data,.xlsx,High,High,Medium,Low,Medium,High,Medium,Low
Eval Data,.txt,High,Medium,Medium,Low,Medium,High,Medium,Low
Eval Data,.sys,High,Critical,High,Low,Medium,High,Medium,Low
Eval Data,.code,High,High,Medium,Low,Medium,High,Medium,Low
Eval Data,.md,Medium,Medium,Medium,Low,Medium,High,Medium,Low
Eval Data,.bash,High,Critical,High,Low,Medium,High,Medium,Low
Onboarding,.png,Medium,High,High,Medium,Low,Low,Low,Low
Onboarding,.pdf,Low,High,High,Medium,Low,Low,Low,Low
Onboarding,.csv,Low,High,Medium,Medium,Low,Low,Low,Low
Onboarding,.docx,Low,High,Medium,Medium,Low,Low,Low,Low
Onboarding,.xlsx,Low,High,Medium,Medium,Low,Low,Low,Low
Onboarding,.txt,Low,Medium,Medium,Medium,Low,Low,Low,Low
Onboarding,.exe,High,Critical,Critical,Medium,Low,High,Low,Low
Onboarding,.sys,Medium,Critical,High,Medium,Low,High,Medium,Low
Onboarding,.code,Low,High,Medium,Medium,Low,Medium,Low,Low
Onboarding,.md,Low,Medium,Medium,Medium,Low,Low,Low,Low
Public,.png,Medium,High,High,Low,Low,Low,Low,Low
Public,.pdf,Low,High,High,Low,Low,Low,Low,Low
Public,.csv,Low,High,Medium,Low,Low,Low,Low,Low
Public,.docx,Low,High,Medium,Low,Low,Low,Low,Low
Public,.xlsx,Low,High,Medium,Low,Low,Low,Low,Low
Public,.txt,Low,Medium,Medium,Low,Low,Low,Low,Low
Public,.exe,High,Critical,Critical,Low,Low,High,Low,Low
Public,.code,Low,High,Medium,Low,Low,Medium,Low,Low
Public,.md,Low,Medium,Medium,Low,Low,Low,Low,Low
,,,,,,,,,
