tool_group	read	write	edit	create_dir	list_dir	move	search	get_file_info
onboarding/org_chart.png	Medium	High	High	High	High	Low	Low	Low
onboarding/policies.pdf	Low	High	High	High	High	Low	Low	Low
projects/db_schema.sql	Medium	Critical	Medium	High	High	High	Low	Low
projects/known_vulnerabilities.csv	Low	High	Medium	High	High	High	Low	Low
public/logo.png	Medium	High	High	High	High	Low	Low	Low
public/whitepaper.pdf	Low	High	High	High	High	Low	Low	Low
sensitive/contracts/master_agreement.pdf	Critical	Critical	High	High	High	High	High	Medium
sensitive/contracts/nda_template.docx	Critical	Critical	High	High	High	High	High	Medium
sensitive/financials/budget_2026.xlsx	Critical	Critical	High	High	High	Critical	High	Medium
sensitive/financials/payslips_q1.csv	Critical	Critical	High	High	High	Critical	High	Medium
sensitive/financials/payslips_q1.csv	Critical	Critical	High	High	High	Critical	High	Medium
sensitive/security/audit_log.txt	Critical	Critical	High	High	High	High	High	Medium
sensitive/security/private_key.pem	Critical	Critical	High	High	High	High	High	Medium
source_code/build.exe	High	Critical	Critical	High	High	High	Low	Low
source_code/core.c	Medium	Critical	High	High	High	Medium	Medium	Low
