asset,tool,score,band
public-website,create_or_update_file,6.0,medium
public-website,search_repositories,4.0,low
public-website,create_repository,0.0,low
public-website,get_file_contents,4.0,low
public-website,push_files,9.0,medium
public-website,create_issue,2.0,low
public-website,create_pull_request,4.0,low
public-website,fork_repository,8.0,medium
public-website,create_branch,4.0,low
public-website,list_commits,4.0,low
public-website,list_issues,4.0,low
public-website,update_issue,4.0,low
public-website,add_issue_comment,2.0,low
public-website,search_code,4.0,low
public-website,search_issues,4.0,low
public-website,search_users,1.0,low
public-website,get_issue,1.0,low
public-website,get_pull_request,1.0,low
public-website,list_pull_requests,4.0,low
public-website,create_pull_request_review,4.0,low
public-website,merge_pull_request,9.0,medium
public-website,get_pull_request_files,4.0,low
public-website,get_pull_request_status,1.0,low
public-website,update_pull_request_branch,6.0,low
public-website,get_pull_request_comments,1.0,low
public-website,get_pull_request_reviews,1.0,low
internal-docs,create_or_update_file,18.0,high
internal-docs,search_repositories,12.0,medium
internal-docs,create_repository,0.0,low
internal-docs,get_file_contents,12.0,medium
internal-docs,push_files,27.0,high
internal-docs,create_issue,6.0,low
internal-docs,create_pull_request,12.0,medium
internal-docs,fork_repository,24.0,high
internal-docs,create_branch,12.0,medium
internal-docs,list_commits,12.0,medium
internal-docs,list_issues,12.0,medium
internal-docs,update_issue,12.0,medium
internal-docs,add_issue_comment,6.0,low
internal-docs,search_code,12.0,medium
internal-docs,search_issues,12.0,medium
internal-docs,search_users,3.0,low
internal-docs,get_issue,3.0,low
internal-docs,get_pull_request,3.0,low
internal-docs,list_pull_requests,12.0,medium
internal-docs,create_pull_request_review,12.0,medium
internal-docs,merge_pull_request,27.0,high
internal-docs,get_pull_request_files,12.0,medium
internal-docs,get_pull_request_status,3.0,low
internal-docs,update_pull_request_branch,18.0,medium
internal-docs,get_pull_request_comments,12.0,medium
internal-docs,get_pull_request_reviews,3.0,low
backend-api,create_or_update_file,24.0,high
backend-api,search_repositories,16.0,high
backend-api,create_repository,16.0,medium
backend-api,get_file_contents,16.0,high
backend-api,push_files,48.0,critical
backend-api,create_issue,16.0,medium
backend-api,create_pull_request,16.0,medium
backend-api,fork_repository,32.0,high
backend-api,create_branch,16.0,medium
backend-api,list_commits,16.0,high
backend-api,list_issues,16.0,high
backend-api,update_issue,16.0,medium
backend-api,add_issue_comment,8.0,medium
backend-api,search_code,16.0,high
backend-api,search_issues,16.0,high
backend-api,search_users,4.0,medium
backend-api,get_issue,4.0,medium
