server,mcp_kind,asset,asset_sensitivity,asset_description,tool,tool_impact,tool_description,blast_radius,blast_escape,cell_score
sqlite:cbg,SQL database,employees,4,"Table with columns: id, name, email, role, department, salary",list_tables,2,Discover available tables.,1,none,8.0
sqlite:cbg,SQL database,employees,4,"Table with columns: id, name, email, role, department, salary",describe_table,2,Column names and types for one table.,1,none,8.0
sqlite:cbg,SQL database,employees,4,"Table with columns: id, name, email, role, department, salary",read_query,3,Run a SELECT statement (read-only enforced).,2,none,24.0
sqlite:cbg,SQL database,employees,4,"Table with columns: id, name, email, role, department, salary",write_query,5,Run INSERT / UPDATE / DELETE (DDL blocked).,4,none,80.0
sqlite:cbg,SQL database,employees,4,"Table with columns: id, name, email, role, department, salary",insert_row,4,Insert one row into a table.,1,none,16.0
sqlite:cbg,SQL database,projects,3,"Table with columns: id, code, title, status, pi_employee_id, start_date",list_tables,2,Discover available tables.,,none,
sqlite:cbg,SQL database,projects,3,"Table with columns: id, code, title, status, pi_employee_id, start_date",describe_table,2,Column names and types for one table.,4,none,24.0
sqlite:cbg,SQL database,projects,3,"Table with columns: id, code, title, status, pi_employee_id, start_date",read_query,3,Run a SELECT statement (read-only enforced).,2,none,18.0
sqlite:cbg,SQL database,projects,3,"Table with columns: id, code, title, status, pi_employee_id, start_date",write_query,5,Run INSERT / UPDATE / DELETE (DDL blocked).,4,none,60.0
sqlite:cbg,SQL database,projects,3,"Table with columns: id, code, title, status, pi_employee_id, start_date",insert_row,4,Insert one row into a table.,1,none,12.0
sqlite:cbg,SQL database,datasets,5,"Table with columns: id, name, description, classification, size_gb, owner_email, created_at",list_tables,2,Discover available tables.,1,none,10.0
sqlite:cbg,SQL database,datasets,5,"Table with columns: id, name, description, classification, size_gb, owner_email, created_at",describe_table,2,Column names and types for one table.,2,none,20.0
sqlite:cbg,SQL database,datasets,5,"Table with columns: id, name, description, classification, size_gb, owner_email, created_at",read_query,3,Run a SELECT statement (read-only enforced).,2,none,30.0
sqlite:cbg,SQL database,datasets,5,"Table with columns: id, name, description, classification, size_gb, owner_email, created_at",write_query,5,Run INSERT / UPDATE / DELETE (DDL blocked).,4,none,100.0
sqlite:cbg,SQL database,datasets,5,"Table with columns: id, name, description, classification, size_gb, owner_email, created_at",insert_row,4,Insert one row into a table.,1,none,20.0
sqlite:cbg,SQL database,experiments,3,"Table with columns: id, project_id, dataset_id, run_label, started_at, status, notes",list_tables,2,Discover available tables.,1,none,6.0
sqlite:cbg,SQL database,experiments,3,"Table with columns: id, project_id, dataset_id, run_label, started_at, status, notes",describe_table,2,Column names and types for one table.,1,none,6.0
