tool,impact,confidence,evidence,capability_flags
technical_get_rsi_analysis,3,0.8,tier-3 verbs: get,
technical_get_macd_analysis,3,0.8,tier-3 verbs: get,
technical_get_support_resistance,3,0.8,tier-3 verbs: get,
technical_get_full_technical_analysis,3,0.8,tier-3 verbs: get,
technical_get_stock_chart_analysis,3,0.8,tier-3 verbs: get,
screening_get_maverick_stocks,3,0.8,"tier-3 verbs: get, research, screen(er|ing)?",unbounded: `limit` caller controls result volume
screening_get_maverick_bear_stocks,3,0.8,"tier-3 verbs: get, screen(er|ing)?",unbounded: `limit` caller controls result volume
screening_get_supply_demand_breakouts,3,0.8,"tier-3 verbs: get, screen(er|ing)?",unbounded: `limit` caller controls result volume
screening_get_all_screening_recommendations,3,0.8,"tier-3 verbs: get, screen(er|ing)?",
screening_get_screening_by_criteria,3,0.8,"tier-3 verbs: get, screen(er|ing)?",unbounded: `limit` caller controls result volume
portfolio_add_position,4,0.8,tier-4 verbs: add,
portfolio_get_my_portfolio,3,0.8,tier-3 verbs: get,
portfolio_remove_position,5,0.8,tier-5 verbs: remove,
portfolio_clear_portfolio,5,0.8,tier-5 verbs: clear,
portfolio_risk_adjusted_analysis,3,0.8,tier-3 verbs: details?,
portfolio_compare_tickers,3,0.8,tier-3 verbs: compare; bulk signal (array param or bulk wording),
portfolio_portfolio_correlation_analysis,3,0.35,no verb evidence -> annotation/default; bulk signal (array param or bulk wording),
data_fetch_stock_data,3,0.8,tier-3 verbs: fetch,
data_fetch_stock_data_batch,3,0.8,tier-3 verbs: fetch; bulk signal (array param or bulk wording),
data_get_stock_info,3,0.8,tier-3 verbs: get,
data_get_adanos_market_sentiment,3,0.8,tier-3 verbs: get,
data_get_news_sentiment,3,0.8,"tier-3 verbs: get, research",unbounded: `limit` caller controls result volume
data_get_cached_price_data,3,0.8,tier-3 verbs: get,
data_get_chart_links,3,0.8,tier-3 verbs: get,
data_clear_cache,5,0.8,tier-5 verbs: clear,
performance_get_system_performance_health,1,0.8,"tier-3 verbs: get, query; return-shape marker -> capped at 1",
performance_get_redis_health_status,1,0.8,tier-3 verbs: get; return-shape marker -> capped at 1,
performance_get_cache_performance_status,2,0.8,tier-3 verbs: get; return-shape marker -> capped at 2,
performance_get_database_performance_status,2,0.8,"tier-3 verbs: get, query; return-shape marker -> capped at 2",
performance_analyze_database_index_usage,2,0.8,"tier-2 verbs: index, usage",
performance_optimize_cache_configuration,2,0.8,tier-2 verbs: sizes?,
performance_clear_system_caches,4,0.8,tier-5 verbs: clear; scoped/partial edit language -> capped at 4,
agents_list_available_agents,2,0.8,tier-2 verbs: list; lists non-container items -> content read (3); return-shape marker -> capped at 2,
agents_analyze_market_with_agent,3,0.35,no verb evidence -> annotation/default,raw-query: `query` takes a raw query string — the caller composes the operation (unconstrained: no enum/pattern/format); unbounded: `max_results` caller controls result volume
agents_get_agent_streaming_analysis,3,0.8,tier-3 verbs: get,raw-query: `query` takes a raw query string — the caller composes the operation (unconstrained: no enum/pattern/format)
agents_compare_personas_analysis,3,0.8,tier-3 verbs: compare,raw-query: `query` takes a raw query string — the caller composes the operation (unconstrained: no enum/pattern/format)
agents_orchestrated_analysis,3,0.35,no verb evidence -> annotation/default,raw-query: `query` takes a raw query string — the caller composes the operation (unconstrained: no enum/pattern/format)
agents_deep_research_financial,3,0.8,tier-3 verbs: research,
agents_compare_multi_agent_analysis,3,0.8,tier-3 verbs: compare; bulk signal (array param or bulk wording),raw-query: `query` takes a raw query string — the caller composes the operation (unconstrained: no enum/pattern/format)
research_comprehensive_research,3,0.8,"tier-3 verbs: search, research",raw-query: `query` takes a raw query string — the caller composes the operation (unconstrained: no enum/pattern/format)
research_company_comprehensive,3,0.8,tier-3 verbs: research,
research_analyze_market_sentiment,3,0.8,tier-3 verbs: research,
get_system_health,1,0.8,tier-3 verbs: get; return-shape marker -> capped at 1,
get_component_status,2,0.8,tier-3 verbs: get; return-shape marker -> capped at 2,
get_circuit_breaker_status,2,0.8,tier-3 verbs: get; return-shape marker -> capped at 2,
get_resource_usage,3,0.8,tier-3 verbs: get,
get_status_dashboard,2,0.8,tier-3 verbs: get; return-shape marker -> capped at 2,
reset_circuit_breaker,5,0.8,tier-5 verbs: reset,
get_health_history,1,0.8,"tier-3 verbs: get, histor(y|ies); return-shape marker -> capped at 1",
run_health_diagnostics,1,0.8,"tier-1 verbs: health(check)?, diagnostics?",
run_backtest,3,0.8,tier-3 verbs: backtest,
optimize_strategy,3,0.8,tier-3 verbs: search,
walk_forward_analysis,5,0.8,tier-5 verbs: forward,
