tool,impact,confidence,evidence,capability_flags
install_skill,3,0.35,no verb evidence -> annotation/default,
crypto_price_historical,3,0.8,tier-3 verbs: get,
derivatives_options_chains,3,0.8,tier-3 verbs: get,
derivatives_options_surface,3,0.8,tier-2 verbs: list; lists non-container items -> content read (3),
derivatives_futures_historical,3,0.35,no verb evidence -> annotation/default,
derivatives_futures_curve,3,0.35,no verb evidence -> annotation/default,
equity_estimates_consensus,3,0.8,tier-3 verbs: get,
equity_discovery_gainers,3,0.8,tier-3 verbs: get,unbounded: `limit` caller controls result volume
equity_discovery_losers,3,0.8,tier-3 verbs: get,unbounded: `limit` caller controls result volume
equity_discovery_active,3,0.8,tier-3 verbs: get,unbounded: `limit` caller controls result volume
equity_discovery_undervalued_large_caps,3,0.8,tier-3 verbs: get,unbounded: `limit` caller controls result volume
equity_discovery_undervalued_growth,3,0.8,tier-3 verbs: get,unbounded: `limit` caller controls result volume
equity_discovery_aggressive_small_caps,3,0.8,tier-3 verbs: get,unbounded: `limit` caller controls result volume
equity_discovery_growth_tech,3,0.8,tier-3 verbs: get,unbounded: `limit` caller controls result volume
equity_fundamental_balance,3,0.8,tier-3 verbs: get,unbounded: `limit` caller controls result volume
equity_fundamental_cash,3,0.8,tier-3 verbs: get,unbounded: `limit` caller controls result volume
equity_fundamental_dividends,3,0.8,tier-3 verbs: get,
equity_fundamental_income,3,0.8,tier-3 verbs: get,unbounded: `limit` caller controls result volume
equity_fundamental_metrics,3,0.8,tier-3 verbs: get,
equity_fundamental_management,3,0.8,tier-3 verbs: get,
equity_ownership_share_statistics,4,0.8,tier-4 verbs: share,
equity_price_quote,3,0.8,tier-3 verbs: get,
equity_price_historical,3,0.8,tier-3 verbs: get,
equity_screener,3,0.8,tier-3 verbs: screen(er|ing)?,unbounded: `limit` caller controls result volume
equity_profile,3,0.8,tier-3 verbs: get,
news_company,3,0.8,tier-3 verbs: get,unbounded: `limit` caller controls result volume
list_prompts,2,0.8,"tier-2 verbs: list, metadata, names?; lists non-container items -> content read (3); return-shape marker -> capped at 2",
get_prompt,3,0.8,tier-3 verbs: get,
list_resources,2,0.8,"tier-2 verbs: list, metadata, names?; lists non-container items -> content read (3); return-shape marker -> capped at 2",
read_resource,3,0.8,"tier-3 verbs: read, contents?",
