asset,tool,sensitivity,blast,impact,score,band
personal,list-calendars,3,1,2,6,low
personal,list-events,3,4,2,24,high
personal,search-events,3,2,3,18,high
personal,get-event,3,1,3,9,high
personal,list-colors,3,N/A,2,N/A,na
personal,create-event,3,1,4,12,medium
personal,create-events,3,3,4,36,high
personal,update-event,3,1,4,12,medium
personal,delete-event,3,1,5,15,medium
personal,get-freebusy,3,2,2,12,medium
personal,get-current-time,3,N/A,1,N/A,na
personal,respond-to-event,3,1,4,12,medium
personal,manage-accounts,3,N/A,5,N/A,na
team,list-calendars,3,1,2,6,low
team,list-events,3,3,2,18,medium
team,search-events,3,2,3,18,high
team,get-event,3,1,3,9,high
team,list-colors,3,N/A,2,N/A,na
team,create-event,3,1,4,12,medium
team,create-events,3,4,4,48,high
team,update-event,3,1,4,12,medium
team,delete-event,3,1,5,15,medium
team,get-freebusy,3,2,2,12,medium
team,get-current-time,3,N/A,1,N/A,na
team,respond-to-event,3,1,4,12,medium
team,manage-accounts,3,N/A,5,N/A,na
executive,list-calendars,4,1,2,8,medium
executive,list-events,4,4,2,32,high
executive,search-events,4,3,3,36,high
executive,get-event,4,1,3,12,high
executive,list-colors,4,N/A,2,N/A,na
executive,create-event,4,1,4,16,medium
executive,create-events,4,3,4,48,high
executive,update-event,4,2,4,32,high
executive,delete-event,4,1,5,20,medium
executive,get-freebusy,4,3,2,24,high
executive,get-current-time,4,N/A,1,N/A,na
executive,respond-to-event,4,1,4,16,medium
executive,manage-accounts,4,N/A,5,N/A,na
recruiting,list-calendars,4,N/A,2,N/A,na
recruiting,list-events,4,5,2,40,high
recruiting,search-events,4,3,3,36,high
recruiting,get-event,4,1,3,12,high
recruiting,list-colors,4,N/A,2,N/A,na
recruiting,create-event,4,1,4,16,medium
recruiting,create-events,4,3,4,48,high
recruiting,update-event,4,1,4,16,medium
recruiting,delete-event,4,1,5,20,medium
recruiting,get-freebusy,4,3,2,24,high
recruiting,get-current-time,4,N/A,1,N/A,na
recruiting,respond-to-event,4,1,4,16,medium
recruiting,manage-accounts,4,N/A,5,N/A,na
contacts,list-calendars,4,N/A,2,N/A,na
contacts,list-events,4,N/A,2,N/A,na
