server,asset,asset_sensitivity,tool,tool_impact,blast_baseline,score_baseline,band_baseline,blast_plain,score_plain,band_plain,blast_gated,score_gated,band_gated
calendar:real,personal,4,list-calendars,2,1,8.0,medium,3,24.0,high,1,8.0,medium
calendar:real,team,4,list-calendars,2,1,8.0,medium,3,24.0,high,1,8.0,medium
calendar:real,executive,4,list-calendars,2,2,16.0,medium,3,24.0,high,2,16.0,medium
calendar:real,recruiting,5,list-calendars,2,2,20.0,high,4,40.0,high,2,20.0,high
calendar:real,contacts,5,list-calendars,2,,,na,,,na,,,na
calendar:real,holidays,1,list-calendars,2,2,4.0,low,2,4.0,low,2,4.0,low
calendar:real,event-records,4,list-calendars,2,,,na,,,na,,,na
calendar:real,event-attendee-lists,4,list-calendars,2,,,na,,,na,,,na
calendar:real,outbound-invite-email,5,list-calendars,2,,,na,,,na,,,na
calendar:real,rsvp-state,4,list-calendars,2,,,na,,,na,,,na
calendar:real,connected-account-config,4,list-calendars,2,,,na,,,na,,,na
calendar:real,free-busy-availability,5,list-calendars,2,,,na,,,na,,,na
calendar:real,calendar-directory,4,list-calendars,2,2,16.0,medium,3,24.0,high,2,16.0,medium
calendar:real,color-catalog,3,list-calendars,2,,,na,,,na,,,na
calendar:real,calendar-records,4,list-calendars,2,,,na,,,na,,,na
calendar:real,account-directory,5,list-calendars,2,,,na,,,na,,,na
calendar:real,personal,4,list-events,3,2,24.0,high,3,36.0,high,2,24.0,high
calendar:real,team,4,list-events,3,2,24.0,high,3,36.0,high,2,24.0,high
calendar:real,executive,4,list-events,3,4,48.0,critical,4,48.0,critical,4,48.0,critical
calendar:real,recruiting,5,list-events,3,5,75.0,critical,5,75.0,critical,5,75.0,critical
calendar:real,contacts,5,list-events,3,,,na,,,na,,,na
calendar:real,holidays,1,list-events,3,4,12.0,medium,4,12.0,medium,4,12.0,medium
calendar:real,event-records,4,list-events,3,3,36.0,high,3,36.0,high,3,36.0,high
