server,asset,asset_sensitivity,tool,tool_impact,blast_baseline,score_baseline,band_baseline,blast_plain,score_plain,band_plain,blast_gated,score_gated,band_gated
fs:corp,README.md,1,read_file,3,1,3.0,medium,1,3.0,medium,1,3.0,medium
fs:corp,onboarding/org_chart.png,2,read_file,3,,,na,,,na,,,na
fs:corp,projects/db_schema.sql,3,read_file,3,4,36.0,high,4,36.0,high,4,36.0,high
fs:corp,projects/known_defects.csv,4,read_file,3,1,12.0,high,3,36.0,high,1,12.0,high
fs:corp,sensitive/financials/payslips_q1.csv,4,read_file,3,5,60.0,critical,5,60.0,critical,5,60.0,critical
fs:corp,sensitive/security/audit_log.txt,4,read_file,3,1,12.0,high,3,36.0,high,1,12.0,high
fs:corp,sensitive/security/private_key.pem,5,read_file,3,5,75.0,critical,5,75.0,critical,5,75.0,critical
fs:corp,source_code/core.c,4,read_file,3,1,12.0,high,3,36.0,high,1,12.0,high
fs:corp,/,5,read_file,3,5,75.0,critical,5,75.0,critical,5,75.0,critical
fs:corp,sensitive/,5,read_file,3,5,75.0,critical,5,75.0,critical,5,75.0,critical
fs:corp,projects/,3,read_file,3,,,na,,,na,,,na
fs:corp,sensitive/security/,5,read_file,3,5,75.0,critical,5,75.0,critical,5,75.0,critical
fs:corp,onboarding/,2,read_file,3,,,na,,,na,,,na
fs:corp,sensitive/financials/,4,read_file,3,1,12.0,high,3,36.0,high,1,12.0,high
fs:corp,source_code/,4,read_file,3,,,na,,,na,,,na
fs:corp,file-contents,5,read_file,3,5,75.0,critical,5,75.0,critical,5,75.0,critical
fs:corp,media-records,2,read_file,3,,,na,,,na,,,na
fs:corp,file-records,3,read_file,3,1,9.0,high,1,9.0,high,1,9.0,high
fs:corp,directory-structure,1,read_file,3,,,na,,,na,,,na
fs:corp,directory-contents,2,read_file,3,,,na,,,na,,,na
fs:corp,file-directory,4,read_file,3,,,na,,,na,,,na
fs:corp,file-metadata,2,read_file,3,,,na,,,na,,,na
fs:corp,README.md,1,read_text_file,3,1,3.0,medium,1,3.0,medium,1,3.0,medium
fs:corp,onboarding/org_chart.png,2,read_text_file,3,,,na,,,na,,,na
fs:corp,projects/db_schema.sql,3,read_text_file,3,1,9.0,high,1,9.0,high,1,9.0,high
fs:corp,projects/known_defects.csv,4,read_text_file,3,1,12.0,high,3,36.0,high,1,12.0,high
fs:corp,sensitive/financials/payslips_q1.csv,4,read_text_file,3,5,60.0,critical,5,60.0,critical,5,60.0,critical
fs:corp,sensitive/security/audit_log.txt,4,read_text_file,3,1,12.0,high,3,36.0,high,1,12.0,high
fs:corp,sensitive/security/private_key.pem,5,read_text_file,3,5,75.0,critical,5,75.0,critical,5,75.0,critical
fs:corp,source_code/core.c,4,read_text_file,3,4,48.0,critical,4,48.0,critical,4,48.0,critical
fs:corp,/,5,read_text_file,3,1,15.0,high,4,60.0,critical,1,15.0,high
fs:corp,sensitive/,5,read_text_file,3,5,75.0,critical,5,75.0,critical,5,75.0,critical
fs:corp,projects/,3,read_text_file,3,4,36.0,high,4,36.0,high,4,36.0,high
fs:corp,sensitive/security/,5,read_text_file,3,5,75.0,critical,5,75.0,critical,5,75.0,critical
fs:corp,onboarding/,2,read_text_file,3,,,na,,,na,,,na
fs:corp,sensitive/financials/,4,read_text_file,3,5,60.0,critical,5,60.0,critical,5,60.0,critical
fs:corp,source_code/,4,read_text_file,3,4,48.0,critical,4,48.0,critical,4,48.0,critical
fs:corp,file-contents,5,read_text_file,3,5,75.0,critical,5,75.0,critical,5,75.0,critical
fs:corp,media-records,2,read_text_file,3,,,na,,,na,,,na
fs:corp,file-records,3,read_text_file,3,1,9.0,high,1,9.0,high,1,9.0,high
fs:corp,directory-structure,1,read_text_file,3,,,na,,,na,,,na
fs:corp,directory-contents,2,read_text_file,3,,,na,,,na,,,na
fs:corp,file-directory,4,read_text_file,3,,,na,,,na,,,na
fs:corp,file-metadata,2,read_text_file,3,,,na,,,na,,,na
fs:corp,README.md,1,read_media_file,3,,,na,,,na,,,na
fs:corp,onboarding/org_chart.png,2,read_media_file,3,1,6.0,medium,1,6.0,medium,1,6.0,medium
fs:corp,projects/db_schema.sql,3,read_media_file,3,,,na,,,na,,,na
fs:corp,projects/known_defects.csv,4,read_media_file,3,,,na,,,na,,,na
fs:corp,sensitive/financials/payslips_q1.csv,4,read_media_file,3,,,na,,,na,,,na
fs:corp,sensitive/security/audit_log.txt,4,read_media_file,3,,,na,,,na,,,na
fs:corp,sensitive/security/private_key.pem,5,read_media_file,3,,,na,,,na,,,na
fs:corp,source_code/core.c,4,read_media_file,3,,,na,,,na,,,na
fs:corp,/,5,read_media_file,3,1,15.0,high,4,60.0,critical,1,15.0,high
fs:corp,sensitive/,5,read_media_file,3,,,na,,,na,,,na
fs:corp,projects/,3,read_media_file,3,,,na,,,na,,,na
fs:corp,sensitive/security/,5,read_media_file,3,,,na,,,na,,,na
fs:corp,onboarding/,2,read_media_file,3,1,6.0,medium,1,6.0,medium,1,6.0,medium
fs:corp,sensitive/financials/,4,read_media_file,3,,,na,,,na,,,na
fs:corp,source_code/,4,read_media_file,3,,,na,,,na,,,na
fs:corp,file-contents,5,read_media_file,3,1,15.0,high,4,60.0,critical,1,15.0,high
fs:corp,media-records,2,read_media_file,3,1,6.0,medium,1,6.0,medium,1,6.0,medium
fs:corp,file-records,3,read_media_file,3,,,na,,,na,,,na
fs:corp,directory-structure,1,read_media_file,3,,,na,,,na,,,na
fs:corp,directory-contents,2,read_media_file,3,,,na,,,na,,,na
fs:corp,file-directory,4,read_media_file,3,,,na,,,na,,,na
fs:corp,file-metadata,2,read_media_file,3,,,na,,,na,,,na
fs:corp,README.md,1,read_multiple_files,3,,,na,,,na,,,na
fs:corp,onboarding/org_chart.png,2,read_multiple_files,3,,,na,,,na,,,na
fs:corp,projects/db_schema.sql,3,read_multiple_files,3,1,9.0,high,1,9.0,high,1,9.0,high
fs:corp,projects/known_defects.csv,4,read_multiple_files,3,1,12.0,high,3,36.0,high,1,12.0,high
fs:corp,sensitive/financials/payslips_q1.csv,4,read_multiple_files,3,5,60.0,critical,5,60.0,critical,5,60.0,critical
fs:corp,sensitive/security/audit_log.txt,4,read_multiple_files,3,1,12.0,high,3,36.0,high,1,12.0,high
fs:corp,sensitive/security/private_key.pem,5,read_multiple_files,3,5,75.0,critical,5,75.0,critical,5,75.0,critical
fs:corp,source_code/core.c,4,read_multiple_files,3,1,12.0,high,3,36.0,high,1,12.0,high
