server,asset,asset_sensitivity,tool,tool_impact,blast_baseline,score_baseline,band_baseline,blast_plain,score_plain,band_plain,blast_gated,score_gated,band_gated
slack:real,general,1,channels_list,2,2,4.0,low,2,4.0,low,2,4.0,low
slack:real,announcements,1,channels_list,2,2,4.0,low,2,4.0,low,2,4.0,low
slack:real,random,1,channels_list,2,2,4.0,low,2,4.0,low,2,4.0,low
slack:real,engineering,1,channels_list,2,2,4.0,low,2,4.0,low,2,4.0,low
slack:real,incident-response,4,channels_list,2,1,8.0,medium,3,24.0,high,1,8.0,medium
slack:real,on-call,4,channels_list,2,2,16.0,medium,3,24.0,high,2,16.0,medium
slack:real,research-team,4,channels_list,2,2,16.0,medium,3,24.0,high,2,16.0,medium
slack:real,exec-private,4,channels_list,2,1,8.0,medium,3,24.0,high,1,8.0,medium
slack:real,hr-internal,4,channels_list,2,2,16.0,medium,3,24.0,high,2,16.0,medium
slack:real,team-leads,4,channels_list,2,1,8.0,medium,3,24.0,high,1,8.0,medium
slack:real,channel-messages,4,channels_list,2,,,na,,,na,,,na
slack:real,message-reactions,4,channels_list,2,,,na,,,na,,,na
slack:real,read-markers,3,channels_list,2,,,na,,,na,,,na
slack:real,usergroup-membership,4,channels_list,2,,,na,,,na,,,na
slack:real,agent-channel-membership,4,channels_list,2,,,na,,,na,,,na
slack:real,user-directory,5,channels_list,2,,,na,,,na,,,na
slack:real,channel-directory,4,channels_list,2,4,32.0,high,4,32.0,high,4,32.0,high
slack:real,usergroup-directory,4,channels_list,2,,,na,,,na,,,na
slack:real,usergroup-metadata,4,channels_list,2,,,na,,,na,,,na
slack:real,general,1,channels_me,2,,,na,,,na,,,na
slack:real,announcements,1,channels_me,2,,,na,,,na,,,na
slack:real,random,1,channels_me,2,1,2.0,low,1,2.0,low,1,2.0,low
slack:real,engineering,1,channels_me,2,1,2.0,low,1,2.0,low,1,2.0,low
slack:real,incident-response,4,channels_me,2,1,8.0,medium,3,24.0,high,1,8.0,medium
slack:real,on-call,4,channels_me,2,1,8.0,medium,3,24.0,high,1,8.0,medium
slack:real,research-team,4,channels_me,2,1,8.0,medium,3,24.0,high,1,8.0,medium
slack:real,exec-private,4,channels_me,2,1,8.0,medium,3,24.0,high,1,8.0,medium
slack:real,hr-internal,4,channels_me,2,2,16.0,medium,3,24.0,high,2,16.0,medium
slack:real,team-leads,4,channels_me,2,1,8.0,medium,3,24.0,high,1,8.0,medium
slack:real,channel-messages,4,channels_me,2,,,na,,,na,,,na
slack:real,message-reactions,4,channels_me,2,,,na,,,na,,,na
slack:real,read-markers,3,channels_me,2,,,na,,,na,,,na
slack:real,usergroup-membership,4,channels_me,2,,,na,,,na,,,na
slack:real,agent-channel-membership,4,channels_me,2,,,na,,,na,,,na
slack:real,user-directory,5,channels_me,2,,,na,,,na,,,na
slack:real,channel-directory,4,channels_me,2,2,16.0,medium,3,24.0,high,2,16.0,medium
slack:real,usergroup-directory,4,channels_me,2,,,na,,,na,,,na
slack:real,usergroup-metadata,4,channels_me,2,,,na,,,na,,,na
slack:real,general,1,conversations_add_message,4,1,4.0,low,1,4.0,low,1,4.0,low
slack:real,announcements,1,conversations_add_message,4,3,12.0,medium,3,12.0,medium,3,12.0,medium
slack:real,random,1,conversations_add_message,4,1,4.0,low,1,4.0,low,1,4.0,low
slack:real,engineering,1,conversations_add_message,4,4,16.0,medium,4,16.0,medium,4,16.0,medium
slack:real,incident-response,4,conversations_add_message,4,1,16.0,medium,3,48.0,high,3,48.0,high
slack:real,on-call,4,conversations_add_message,4,1,16.0,medium,3,48.0,high,3,48.0,high
slack:real,research-team,4,conversations_add_message,4,1,16.0,medium,3,48.0,high,3,48.0,high
slack:real,exec-private,4,conversations_add_message,4,3,48.0,high,3,48.0,high,3,48.0,high
slack:real,hr-internal,4,conversations_add_message,4,1,16.0,medium,3,48.0,high,3,48.0,high
slack:real,team-leads,4,conversations_add_message,4,3,48.0,high,3,48.0,high,3,48.0,high
slack:real,channel-messages,4,conversations_add_message,4,3,48.0,high,3,48.0,high,3,48.0,high
slack:real,message-reactions,4,conversations_add_message,4,,,na,,,na,,,na
slack:real,read-markers,3,conversations_add_message,4,,,na,,,na,,,na
slack:real,usergroup-membership,4,conversations_add_message,4,,,na,,,na,,,na
slack:real,agent-channel-membership,4,conversations_add_message,4,,,na,,,na,,,na
slack:real,user-directory,5,conversations_add_message,4,,,na,,,na,,,na
slack:real,channel-directory,4,conversations_add_message,4,,,na,,,na,,,na
slack:real,usergroup-directory,4,conversations_add_message,4,,,na,,,na,,,na
slack:real,usergroup-metadata,4,conversations_add_message,4,,,na,,,na,,,na
slack:real,general,1,conversations_history,3,4,12.0,medium,4,12.0,medium,4,12.0,medium
slack:real,announcements,1,conversations_history,3,4,12.0,medium,4,12.0,medium,4,12.0,medium
slack:real,random,1,conversations_history,3,4,12.0,medium,4,12.0,medium,4,12.0,medium
slack:real,engineering,1,conversations_history,3,4,12.0,medium,4,12.0,medium,4,12.0,medium
slack:real,incident-response,4,conversations_history,3,4,48.0,critical,4,48.0,critical,4,48.0,critical
slack:real,on-call,4,conversations_history,3,4,48.0,critical,4,48.0,critical,4,48.0,critical
slack:real,research-team,4,conversations_history,3,4,48.0,critical,4,48.0,critical,4,48.0,critical
slack:real,exec-private,4,conversations_history,3,4,48.0,critical,4,48.0,critical,4,48.0,critical
slack:real,hr-internal,4,conversations_history,3,4,48.0,critical,4,48.0,critical,4,48.0,critical
slack:real,team-leads,4,conversations_history,3,5,60.0,critical,5,60.0,critical,5,60.0,critical
slack:real,channel-messages,4,conversations_history,3,3,36.0,high,3,36.0,high,3,36.0,high
slack:real,message-reactions,4,conversations_history,3,,,na,,,na,,,na
slack:real,read-markers,3,conversations_history,3,,,na,,,na,,,na
