asset,asset_sensitivity,tool,tool_impact,blast_old,blast_new,score_old,score_new,band_old,band_new,reason
general,1,conversations_add_message,4,1,3,4,12,low,medium,P2: Impact tier 4 tools must have blast >= narrower tool's blast.
general,1,conversations_join,4,1,3,4,12,low,medium,P2: Impact tier 4 tools must have blast >= narrower tool's blast.
announcements,1,conversations_join,4,1,2,4,8,low,medium,"P2: among tools of the same impact tier, a narrower tool's blast must not be higher than a broader one"
announcements,1,conversations_leave,4,1,2,4,8,low,medium,"P2: among tools of the same impact tier, a narrower tool's blast must not be higher than a broader one"
random,1,conversations_add_message,4,1,3,4,12,low,medium,"P2: among tools of the SAME impact tier, one whose single call reaches more of the asset must have blast >= a narrower tool's."
engineering,1,conversations_join,4,1,4,4,16,low,medium,"P2: among tools of the SAME impact tier, one whose single call reaches more must have blast >= a narrower tool's."
engineering,1,conversations_leave,4,1,4,4,16,low,medium,"P2: among tools of the SAME impact tier, one whose single call reaches more must have blast >= a narrower tool's."
incident-response,4,conversations_history,3,4,5,48,60,critical,critical,"P2: among tools of the SAME impact tier, one whose single call reaches more of the asset (bulk, recursive, 'all'-scoped) must have blast >= a narrower tool's."
incident-response,4,conversations_replies,3,4,5,48,60,critical,critical,"P2: among tools of the SAME impact tier, one whose single call reaches more of the asset (bulk, recursive, 'all'-scoped) must have blast >= a narrower tool's."
incident-response,4,conversations_search_messages,3,4,5,48,60,critical,critical,"P2: among tools of the SAME impact tier, one whose single call reaches more of the asset (bulk, recursive, 'all'-scoped) must have blast >= a narrower tool's."
on-call,4,conversations_add_message,4,1,3,16,48,medium,high,P2: Impact tier 4 tools must have blast >= narrower tool's blast
on-call,4,conversations_leave,4,1,3,16,48,medium,high,P2: Impact tier 4 tools must have blast >= narrower tool's blast
research-team,4,conversations_add_message,4,1,3,16,48,medium,high,P2: Impact tier 4 tools must have blast >= narrower tool's blast
research-team,4,conversations_leave,4,1,3,16,48,medium,high,P2: Impact tier 4 tools must have blast >= narrower tool's blast
exec-private,4,conversations_mark,2,4,2,32,16,high,medium,"P3: blast prices reach only, a silent effect reaches less far than visible ones"
hr-internal,4,conversations_add_message,4,1,3,16,48,medium,high,P2: Impact tier 4 should have blast >= narrower tool's blast
hr-internal,4,conversations_leave,4,1,3,16,48,medium,high,P2: Impact tier 4 should have blast >= narrower tool's blast
team-leads,4,conversations_history,3,5,3,60,36,critical,high,P2: blast radius must be consistent with impact tier and reach
team-leads,4,conversations_search_messages,3,4,3,48,36,critical,high,P2: blast radius must be consistent with impact tier and reach
channel-messages,4,conversations_unreads,3,4,3,48,36,critical,high,P2: blast radius must not be higher for a narrower impact tool
usergroup-membership,4,usergroups_create,4,1,2,16,32,medium,high,P2: blast radius must be >= a narrower tool's within the same impact tier
agent-channel-membership,4,conversations_join,4,1,2,16,32,medium,high,"P2: among tools of the SAME impact tier, one whose single call reaches more of the asset must have blast >= a narrower tool's."
agent-channel-membership,4,conversations_leave,4,1,2,16,32,medium,high,"P2: among tools of the SAME impact tier, one whose single call reaches more of the asset must have blast >= a narrower tool's."
channel-directory,4,channels_me,2,2,4,16,32,medium,high,"P2: among tools of the SAME impact tier, one whose single call reaches more of the asset must have blast >= a narrower tool's."
usergroup-directory,4,usergroups_create,4,1,2,16,32,medium,high,P2: blast radius must be at least as high as other tools with the same impact tier
usergroup-metadata,4,usergroups_create,4,1,2,16,32,medium,high,P2: blast radius must be equal or greater for tools with the same impact tier when reaching more of the asset
