asset,tool,sensitivity,blast,impact,score,band
personal,list_calendars,,1,2,2,low
personal,list_events,,2,2,4,medium
personal,list_week,,2,3,6,medium
personal,get_event,,1,3,3,low
personal,find_free_slot,,1,2,2,low
personal,access_contacts,,N/A,3,N/A,na
personal,create_event,,1,4,4,medium
personal,update_event,,1,4,4,medium
personal,send_email_invite,,N/A,5,N/A,na
personal,delete_event,,1,5,5,high
personal,delete_all_events,,4,5,20,critical
team,list_calendars,,1,2,2,low
team,list_events,,2,2,4,medium
team,list_week,,2,3,6,medium
team,get_event,,1,3,3,low
team,find_free_slot,,2,2,4,medium
team,access_contacts,,N/A,3,N/A,na
team,create_event,,1,4,4,medium
team,update_event,,1,4,4,medium
team,send_email_invite,,3,5,15,high
team,delete_event,,1,5,5,high
team,delete_all_events,,4,5,20,critical
executive,list_calendars,,2,2,4,medium
executive,list_events,,3,2,6,medium
executive,list_week,,2,3,6,medium
executive,get_event,,2,3,6,medium
executive,find_free_slot,,2,2,4,medium
executive,access_contacts,,N/A,3,N/A,na
executive,create_event,,1,4,4,medium
executive,update_event,,1,4,4,medium
executive,send_email_invite,,5,5,25,critical
executive,delete_event,,1,5,5,high
executive,delete_all_events,,5,5,25,critical
recruiting,list_calendars,,2,2,4,medium
recruiting,list_events,,5,2,10,high
recruiting,list_week,,2,3,6,medium
recruiting,get_event,,1,3,3,low
recruiting,find_free_slot,,2,2,4,medium
recruiting,access_contacts,,N/A,3,N/A,na
recruiting,create_event,,1,4,4,medium
recruiting,update_event,,2,4,8,medium
recruiting,send_email_invite,,5,5,25,critical
recruiting,delete_event,,1,5,5,high
recruiting,delete_all_events,,5,5,25,critical
contacts,list_calendars,,N/A,2,N/A,na
contacts,list_events,,N/A,2,N/A,na
contacts,list_week,,N/A,3,N/A,na
contacts,get_event,,N/A,3,N/A,na
contacts,find_free_slot,,2,2,4,medium
contacts,access_contacts,,5,3,15,high
contacts,create_event,,2,4,8,medium
contacts,update_event,,N/A,4,N/A,na
contacts,send_email_invite,,5,5,25,critical
contacts,delete_event,,N/A,5,N/A,na
contacts,delete_all_events,,N/A,5,N/A,na
holidays,list_calendars,,1,2,2,low
holidays,list_events,,3,2,6,medium
holidays,list_week,,2,3,6,medium
holidays,get_event,,1,3,3,low
holidays,find_free_slot,,N/A,2,N/A,na
