asset,tool,sensitivity,blast,impact,score,band
personal,list-calendars,,1,2,2,low
personal,list-events,,4,2,8,medium
personal,search-events,,4,3,12,high
personal,get-event,,1,3,3,low
personal,list-colors,,N/A,2,N/A,na
personal,create-event,,1,4,4,medium
personal,create-events,,2,4,8,medium
personal,update-event,,1,4,4,medium
personal,delete-event,,1,5,5,high
personal,get-freebusy,,2,3,6,medium
personal,get-current-time,,N/A,1,N/A,na
personal,respond-to-event,,1,4,4,medium
personal,manage-accounts,,N/A,5,N/A,na
team,list-calendars,,1,2,2,low
team,list-events,,4,2,8,medium
team,search-events,,3,3,9,medium
team,get-event,,1,3,3,low
team,list-colors,,N/A,2,N/A,na
team,create-event,,1,4,4,medium
team,create-events,,3,4,12,high
team,update-event,,1,4,4,medium
team,delete-event,,1,5,5,high
team,get-freebusy,,2,3,6,medium
team,get-current-time,,N/A,1,N/A,na
team,respond-to-event,,1,4,4,medium
team,manage-accounts,,N/A,5,N/A,na
executive,list-calendars,,2,2,4,medium
executive,list-events,,4,2,8,medium
executive,search-events,,3,3,9,medium
executive,get-event,,1,3,3,low
executive,list-colors,,N/A,2,N/A,na
executive,create-event,,1,4,4,medium
executive,create-events,,3,4,12,high
executive,update-event,,2,4,8,medium
executive,delete-event,,1,5,5,high
executive,get-freebusy,,2,3,6,medium
executive,get-current-time,,N/A,1,N/A,na
executive,respond-to-event,,1,4,4,medium
executive,manage-accounts,,N/A,5,N/A,na
recruiting,list-calendars,,2,2,4,medium
recruiting,list-events,,5,2,10,high
recruiting,search-events,,5,3,15,high
recruiting,get-event,,1,3,3,low
recruiting,list-colors,,N/A,2,N/A,na
recruiting,create-event,,1,4,4,medium
recruiting,create-events,,3,4,12,high
recruiting,update-event,,2,4,8,medium
recruiting,delete-event,,1,5,5,high
recruiting,get-freebusy,,5,3,15,high
recruiting,get-current-time,,N/A,1,N/A,na
recruiting,respond-to-event,,1,4,4,medium
recruiting,manage-accounts,,N/A,5,N/A,na
contacts,list-calendars,,N/A,2,N/A,na
contacts,list-events,,N/A,2,N/A,na
contacts,search-events,,N/A,3,N/A,na
contacts,get-event,,N/A,3,N/A,na
contacts,list-colors,,N/A,2,N/A,na
contacts,create-event,,N/A,4,N/A,na
contacts,create-events,,N/A,4,N/A,na
contacts,update-event,,N/A,4,N/A,na
contacts,delete-event,,N/A,5,N/A,na
contacts,get-freebusy,,N/A,3,N/A,na
contacts,get-current-time,,N/A,1,N/A,na
contacts,respond-to-event,,N/A,4,N/A,na
contacts,manage-accounts,,N/A,5,N/A,na
holidays,list-calendars,,1,2,2,low
holidays,list-events,,1,2,2,low
holidays,search-events,,2,3,6,medium
holidays,get-event,,1,3,3,low
holidays,list-colors,,N/A,2,N/A,na
holidays,create-event,,1,4,4,medium
holidays,create-events,,2,4,8,medium
holidays,update-event,,1,4,4,medium
holidays,delete-event,,1,5,5,high
holidays,get-freebusy,,2,3,6,medium
holidays,get-current-time,,N/A,1,N/A,na
holidays,respond-to-event,,N/A,4,N/A,na
holidays,manage-accounts,,N/A,5,N/A,na
event-records,list-calendars,,N/A,2,N/A,na
event-records,list-events,,3,2,6,medium
event-records,search-events,,2,3,6,medium
event-records,get-event,,1,3,3,low
event-records,list-colors,,N/A,2,N/A,na
event-records,create-event,,1,4,4,medium
event-records,create-events,,3,4,12,high
event-records,update-event,,1,4,4,medium
event-records,delete-event,,1,5,5,high
event-records,get-freebusy,,N/A,3,N/A,na
event-records,get-current-time,,N/A,1,N/A,na
event-records,respond-to-event,,3,4,12,high
event-records,manage-accounts,,N/A,5,N/A,na
event-attendee-lists,list-calendars,,N/A,2,N/A,na
event-attendee-lists,list-events,,3,2,6,medium
event-attendee-lists,search-events,,3,3,9,medium
event-attendee-lists,get-event,,2,3,6,medium
event-attendee-lists,list-colors,,N/A,2,N/A,na
event-attendee-lists,create-event,,2,4,8,medium
event-attendee-lists,create-events,,N/A,4,N/A,na
event-attendee-lists,update-event,,2,4,8,medium
event-attendee-lists,delete-event,,1,5,5,high
event-attendee-lists,get-freebusy,,N/A,3,N/A,na
event-attendee-lists,get-current-time,,N/A,1,N/A,na
event-attendee-lists,respond-to-event,,N/A,4,N/A,na
event-attendee-lists,manage-accounts,,N/A,5,N/A,na
outbound-invite-email,list-calendars,,N/A,2,N/A,na
outbound-invite-email,list-events,,N/A,2,N/A,na
outbound-invite-email,search-events,,N/A,3,N/A,na
outbound-invite-email,get-event,,N/A,3,N/A,na
outbound-invite-email,list-colors,,N/A,2,N/A,na
outbound-invite-email,create-event,,N/A,4,N/A,na
outbound-invite-email,create-events,,N/A,4,N/A,na
outbound-invite-email,update-event,,N/A,4,N/A,na
outbound-invite-email,delete-event,,N/A,5,N/A,na
outbound-invite-email,get-freebusy,,N/A,3,N/A,na
outbound-invite-email,get-current-time,,N/A,1,N/A,na
outbound-invite-email,respond-to-event,,N/A,4,N/A,na
outbound-invite-email,manage-accounts,,N/A,5,N/A,na
rsvp-state,list-calendars,,N/A,2,N/A,na
rsvp-state,list-events,,N/A,2,N/A,na
rsvp-state,search-events,,N/A,3,N/A,na
rsvp-state,get-event,,N/A,3,N/A,na
rsvp-state,list-colors,,N/A,2,N/A,na
rsvp-state,create-event,,N/A,4,N/A,na
rsvp-state,create-events,,N/A,4,N/A,na
rsvp-state,update-event,,N/A,4,N/A,na
rsvp-state,delete-event,,N/A,5,N/A,na
rsvp-state,get-freebusy,,N/A,3,N/A,na
rsvp-state,get-current-time,,N/A,1,N/A,na
rsvp-state,respond-to-event,,2,4,8,medium
rsvp-state,manage-accounts,,N/A,5,N/A,na
connected-account-config,list-calendars,,N/A,2,N/A,na
connected-account-config,list-events,,N/A,2,N/A,na
connected-account-config,search-events,,N/A,3,N/A,na
connected-account-config,get-event,,N/A,3,N/A,na
connected-account-config,list-colors,,N/A,2,N/A,na
connected-account-config,create-event,,N/A,4,N/A,na
connected-account-config,create-events,,N/A,4,N/A,na
connected-account-config,update-event,,N/A,4,N/A,na
connected-account-config,delete-event,,N/A,5,N/A,na
connected-account-config,get-freebusy,,N/A,3,N/A,na
connected-account-config,get-current-time,,N/A,1,N/A,na
connected-account-config,respond-to-event,,N/A,4,N/A,na
connected-account-config,manage-accounts,,4,5,20,critical
free-busy-availability,list-calendars,,N/A,2,N/A,na
free-busy-availability,list-events,,N/A,2,N/A,na
free-busy-availability,search-events,,3,3,9,medium
free-busy-availability,get-event,,N/A,3,N/A,na
free-busy-availability,list-colors,,N/A,2,N/A,na
free-busy-availability,create-event,,N/A,4,N/A,na
free-busy-availability,create-events,,N/A,4,N/A,na
free-busy-availability,update-event,,N/A,4,N/A,na
free-busy-availability,delete-event,,N/A,5,N/A,na
free-busy-availability,get-freebusy,,3,3,9,medium
free-busy-availability,get-current-time,,N/A,1,N/A,na
free-busy-availability,respond-to-event,,N/A,4,N/A,na
free-busy-availability,manage-accounts,,N/A,5,N/A,na
calendar-directory,list-calendars,,2,2,4,medium
calendar-directory,list-events,,N/A,2,N/A,na
calendar-directory,search-events,,N/A,3,N/A,na
calendar-directory,get-event,,N/A,3,N/A,na
calendar-directory,list-colors,,N/A,2,N/A,na
calendar-directory,create-event,,N/A,4,N/A,na
calendar-directory,create-events,,N/A,4,N/A,na
calendar-directory,update-event,,N/A,4,N/A,na
calendar-directory,delete-event,,N/A,5,N/A,na
calendar-directory,get-freebusy,,N/A,3,N/A,na
calendar-directory,get-current-time,,N/A,1,N/A,na
calendar-directory,respond-to-event,,N/A,4,N/A,na
calendar-directory,manage-accounts,,N/A,5,N/A,na
color-catalog,list-calendars,,N/A,2,N/A,na
color-catalog,list-events,,N/A,2,N/A,na
color-catalog,search-events,,N/A,3,N/A,na
color-catalog,get-event,,N/A,3,N/A,na
color-catalog,list-colors,,1,2,2,low
color-catalog,create-event,,N/A,4,N/A,na
color-catalog,create-events,,N/A,4,N/A,na
color-catalog,update-event,,N/A,4,N/A,na
