asset,tool,sensitivity,blast,impact,score,band
README.md,read_file,,1,3,3,low
README.md,read_text_file,,1,3,3,low
README.md,read_media_file,,N/A,3,N/A,na
README.md,read_multiple_files,,N/A,3,N/A,na
README.md,write_file,,1,5,5,high
README.md,edit_file,,1,4,4,medium
README.md,create_directory,,N/A,4,N/A,na
README.md,list_directory,,N/A,2,N/A,na
README.md,list_directory_with_sizes,,N/A,2,N/A,na
README.md,directory_tree,,N/A,2,N/A,na
README.md,move_file,,1,4,4,medium
README.md,search_files,,1,2,2,low
README.md,get_file_info,,1,2,2,low
README.md,list_allowed_directories,,N/A,2,N/A,na
onboarding/org_chart.png,read_file,,N/A,3,N/A,na
onboarding/org_chart.png,read_text_file,,N/A,3,N/A,na
onboarding/org_chart.png,read_media_file,,1,3,3,low
onboarding/org_chart.png,read_multiple_files,,N/A,3,N/A,na
onboarding/org_chart.png,write_file,,1,5,5,high
onboarding/org_chart.png,edit_file,,N/A,4,N/A,na
onboarding/org_chart.png,create_directory,,N/A,4,N/A,na
onboarding/org_chart.png,list_directory,,N/A,2,N/A,na
onboarding/org_chart.png,list_directory_with_sizes,,N/A,2,N/A,na
onboarding/org_chart.png,directory_tree,,N/A,2,N/A,na
onboarding/org_chart.png,move_file,,1,4,4,medium
onboarding/org_chart.png,search_files,,1,2,2,low
onboarding/org_chart.png,get_file_info,,1,2,2,low
onboarding/org_chart.png,list_allowed_directories,,N/A,2,N/A,na
projects/db_schema.sql,read_file,,1,3,3,low
projects/db_schema.sql,read_text_file,,1,3,3,low
projects/db_schema.sql,read_media_file,,N/A,3,N/A,na
projects/db_schema.sql,read_multiple_files,,1,3,3,low
projects/db_schema.sql,write_file,,1,5,5,high
projects/db_schema.sql,edit_file,,1,4,4,medium
projects/db_schema.sql,create_directory,,N/A,4,N/A,na
projects/db_schema.sql,list_directory,,N/A,2,N/A,na
projects/db_schema.sql,list_directory_with_sizes,,1,2,2,low
projects/db_schema.sql,directory_tree,,N/A,2,N/A,na
projects/db_schema.sql,move_file,,1,4,4,medium
projects/db_schema.sql,search_files,,1,2,2,low
projects/db_schema.sql,get_file_info,,1,2,2,low
projects/db_schema.sql,list_allowed_directories,,N/A,2,N/A,na
projects/known_defects.csv,read_file,,1,3,3,low
projects/known_defects.csv,read_text_file,,1,3,3,low
projects/known_defects.csv,read_media_file,,N/A,3,N/A,na
projects/known_defects.csv,read_multiple_files,,1,3,3,low
projects/known_defects.csv,write_file,,1,5,5,high
projects/known_defects.csv,edit_file,,1,4,4,medium
projects/known_defects.csv,create_directory,,N/A,4,N/A,na
projects/known_defects.csv,list_directory,,N/A,2,N/A,na
projects/known_defects.csv,list_directory_with_sizes,,N/A,2,N/A,na
