asset,tool,sensitivity,blast,impact,score,band
README.md,read_file,,1,3,3,low
README.md,read_text_file,,1,3,3,low
README.md,read_media_file,,N/A,3,N/A,na
README.md,read_multiple_files,,N/A,3,N/A,na
README.md,write_file,,1,5,5,high
README.md,edit_file,,1,4,4,medium
README.md,create_directory,,N/A,4,N/A,na
README.md,list_directory,,N/A,2,N/A,na
README.md,list_directory_with_sizes,,N/A,2,N/A,na
README.md,directory_tree,,N/A,2,N/A,na
README.md,move_file,,N/A,4,N/A,na
README.md,search_files,,N/A,2,N/A,na
README.md,get_file_info,,1,2,2,low
README.md,list_allowed_directories,,N/A,2,N/A,na
customers/cust_0001/kyc_passport.png,read_file,,1,3,3,low
customers/cust_0001/kyc_passport.png,read_text_file,,N/A,3,N/A,na
customers/cust_0001/kyc_passport.png,read_media_file,,1,3,3,low
customers/cust_0001/kyc_passport.png,read_multiple_files,,1,3,3,low
customers/cust_0001/kyc_passport.png,write_file,,1,5,5,high
customers/cust_0001/kyc_passport.png,edit_file,,N/A,4,N/A,na
customers/cust_0001/kyc_passport.png,create_directory,,N/A,4,N/A,na
customers/cust_0001/kyc_passport.png,list_directory,,N/A,2,N/A,na
customers/cust_0001/kyc_passport.png,list_directory_with_sizes,,1,2,2,low
customers/cust_0001/kyc_passport.png,directory_tree,,1,2,2,low
customers/cust_0001/kyc_passport.png,move_file,,1,4,4,medium
customers/cust_0001/kyc_passport.png,search_files,,1,2,2,low
customers/cust_0001/kyc_passport.png,get_file_info,,1,2,2,low
customers/cust_0001/kyc_passport.png,list_allowed_directories,,N/A,2,N/A,na
customers/cust_0001/profile.json,read_file,,1,3,3,low
customers/cust_0001/profile.json,read_text_file,,1,3,3,low
customers/cust_0001/profile.json,read_media_file,,N/A,3,N/A,na
customers/cust_0001/profile.json,read_multiple_files,,1,3,3,low
customers/cust_0001/profile.json,write_file,,1,5,5,high
customers/cust_0001/profile.json,edit_file,,1,4,4,medium
customers/cust_0001/profile.json,create_directory,,N/A,4,N/A,na
customers/cust_0001/profile.json,list_directory,,1,2,2,low
customers/cust_0001/profile.json,list_directory_with_sizes,,1,2,2,low
customers/cust_0001/profile.json,directory_tree,,3,2,6,medium
customers/cust_0001/profile.json,move_file,,2,4,8,medium
customers/cust_0001/profile.json,search_files,,2,2,4,medium
customers/cust_0001/profile.json,get_file_info,,1,2,2,low
customers/cust_0001/profile.json,list_allowed_directories,,N/A,2,N/A,na
customers/cust_0002/profile.json,read_file,,1,3,3,low
customers/cust_0002/profile.json,read_text_file,,1,3,3,low
customers/cust_0002/profile.json,read_media_file,,N/A,3,N/A,na
customers/cust_0002/profile.json,read_multiple_files,,1,3,3,low
customers/cust_0002/profile.json,write_file,,1,5,5,high
