asset,tool,sensitivity,blast,impact,score,band
README.md,read_file,,1,3,3,low
README.md,read_text_file,,4,3,12,high
README.md,read_media_file,,N/A,3,N/A,na
README.md,read_multiple_files,,N/A,3,N/A,na
README.md,write_file,,1,5,5,high
README.md,edit_file,,N/A,4,N/A,na
README.md,create_directory,,N/A,4,N/A,na
README.md,list_directory,,N/A,2,N/A,na
README.md,list_directory_with_sizes,,N/A,2,N/A,na
README.md,directory_tree,,N/A,2,N/A,na
README.md,move_file,,N/A,4,N/A,na
README.md,search_files,,1,2,2,low
README.md,get_file_info,,1,2,2,low
README.md,list_allowed_directories,,N/A,2,N/A,na
billing/timesheets/timesheet_2026-05-01.txt,read_file,,1,3,3,low
billing/timesheets/timesheet_2026-05-01.txt,read_text_file,,1,3,3,low
billing/timesheets/timesheet_2026-05-01.txt,read_media_file,,N/A,3,N/A,na
billing/timesheets/timesheet_2026-05-01.txt,read_multiple_files,,1,3,3,low
billing/timesheets/timesheet_2026-05-01.txt,write_file,,1,5,5,high
billing/timesheets/timesheet_2026-05-01.txt,edit_file,,1,4,4,medium
billing/timesheets/timesheet_2026-05-01.txt,create_directory,,N/A,4,N/A,na
billing/timesheets/timesheet_2026-05-01.txt,list_directory,,1,2,2,low
billing/timesheets/timesheet_2026-05-01.txt,list_directory_with_sizes,,1,2,2,low
billing/timesheets/timesheet_2026-05-01.txt,directory_tree,,N/A,2,N/A,na
billing/timesheets/timesheet_2026-05-01.txt,move_file,,1,4,4,medium
billing/timesheets/timesheet_2026-05-01.txt,search_files,,1,2,2,low
billing/timesheets/timesheet_2026-05-01.txt,get_file_info,,1,2,2,low
billing/timesheets/timesheet_2026-05-01.txt,list_allowed_directories,,N/A,2,N/A,na
billing/timesheets/timesheet_2026-05-15.txt,read_file,,1,3,3,low
billing/timesheets/timesheet_2026-05-15.txt,read_text_file,,1,3,3,low
billing/timesheets/timesheet_2026-05-15.txt,read_media_file,,N/A,3,N/A,na
billing/timesheets/timesheet_2026-05-15.txt,read_multiple_files,,1,3,3,low
billing/timesheets/timesheet_2026-05-15.txt,write_file,,1,5,5,high
billing/timesheets/timesheet_2026-05-15.txt,edit_file,,1,4,4,medium
billing/timesheets/timesheet_2026-05-15.txt,create_directory,,N/A,4,N/A,na
billing/timesheets/timesheet_2026-05-15.txt,list_directory,,1,2,2,low
billing/timesheets/timesheet_2026-05-15.txt,list_directory_with_sizes,,1,2,2,low
billing/timesheets/timesheet_2026-05-15.txt,directory_tree,,1,2,2,low
billing/timesheets/timesheet_2026-05-15.txt,move_file,,1,4,4,medium
billing/timesheets/timesheet_2026-05-15.txt,search_files,,1,2,2,low
billing/timesheets/timesheet_2026-05-15.txt,get_file_info,,1,2,2,low
billing/timesheets/timesheet_2026-05-15.txt,list_allowed_directories,,N/A,2,N/A,na
cases/CASE-2026-001/contract.txt,read_file,,1,3,3,low
cases/CASE-2026-001/contract.txt,read_text_file,,1,3,3,low
cases/CASE-2026-001/contract.txt,read_media_file,,N/A,3,N/A,na
cases/CASE-2026-001/contract.txt,read_multiple_files,,1,3,3,low
cases/CASE-2026-001/contract.txt,write_file,,1,5,5,high
cases/CASE-2026-001/contract.txt,edit_file,,1,4,4,medium
cases/CASE-2026-001/contract.txt,create_directory,,N/A,4,N/A,na
cases/CASE-2026-001/contract.txt,list_directory,,N/A,2,N/A,na
cases/CASE-2026-001/contract.txt,list_directory_with_sizes,,1,2,2,low
cases/CASE-2026-001/contract.txt,directory_tree,,1,2,2,low
cases/CASE-2026-001/contract.txt,move_file,,1,4,4,medium
cases/CASE-2026-001/contract.txt,search_files,,1,2,2,low
cases/CASE-2026-001/contract.txt,get_file_info,,1,2,2,low
cases/CASE-2026-001/contract.txt,list_allowed_directories,,N/A,2,N/A,na
cases/CASE-2026-001/correspondence.txt,read_file,,1,3,3,low
cases/CASE-2026-001/correspondence.txt,read_text_file,,1,3,3,low
cases/CASE-2026-001/correspondence.txt,read_media_file,,N/A,3,N/A,na
cases/CASE-2026-001/correspondence.txt,read_multiple_files,,1,3,3,low
cases/CASE-2026-001/correspondence.txt,write_file,,1,5,5,high
cases/CASE-2026-001/correspondence.txt,edit_file,,1,4,4,medium
cases/CASE-2026-001/correspondence.txt,create_directory,,N/A,4,N/A,na
cases/CASE-2026-001/correspondence.txt,list_directory,,1,2,2,low
cases/CASE-2026-001/correspondence.txt,list_directory_with_sizes,,1,2,2,low
cases/CASE-2026-001/correspondence.txt,directory_tree,,N/A,2,N/A,na
cases/CASE-2026-001/correspondence.txt,move_file,,1,4,4,medium
cases/CASE-2026-001/correspondence.txt,search_files,,1,2,2,low
cases/CASE-2026-001/correspondence.txt,get_file_info,,1,2,2,low
cases/CASE-2026-001/correspondence.txt,list_allowed_directories,,N/A,2,N/A,na
cases/CASE-2026-001/signed_agreement.pdf,read_file,,1,3,3,low
cases/CASE-2026-001/signed_agreement.pdf,read_text_file,,5,3,15,high
cases/CASE-2026-001/signed_agreement.pdf,read_media_file,,N/A,3,N/A,na
cases/CASE-2026-001/signed_agreement.pdf,read_multiple_files,,1,3,3,low
cases/CASE-2026-001/signed_agreement.pdf,write_file,,5,5,25,critical
cases/CASE-2026-001/signed_agreement.pdf,edit_file,,5,4,20,high
cases/CASE-2026-001/signed_agreement.pdf,create_directory,,N/A,4,N/A,na
cases/CASE-2026-001/signed_agreement.pdf,list_directory,,N/A,2,N/A,na
cases/CASE-2026-001/signed_agreement.pdf,list_directory_with_sizes,,1,2,2,low
cases/CASE-2026-001/signed_agreement.pdf,directory_tree,,1,2,2,low
cases/CASE-2026-001/signed_agreement.pdf,move_file,,1,4,4,medium
cases/CASE-2026-001/signed_agreement.pdf,search_files,,1,2,2,low
cases/CASE-2026-001/signed_agreement.pdf,get_file_info,,1,2,2,low
cases/CASE-2026-001/signed_agreement.pdf,list_allowed_directories,,N/A,2,N/A,na
cases/CASE-2026-002/contract.txt,read_file,,1,3,3,low
cases/CASE-2026-002/contract.txt,read_text_file,,1,3,3,low
cases/CASE-2026-002/contract.txt,read_media_file,,N/A,3,N/A,na
cases/CASE-2026-002/contract.txt,read_multiple_files,,1,3,3,low
cases/CASE-2026-002/contract.txt,write_file,,1,5,5,high
cases/CASE-2026-002/contract.txt,edit_file,,1,4,4,medium
cases/CASE-2026-002/contract.txt,create_directory,,N/A,4,N/A,na
cases/CASE-2026-002/contract.txt,list_directory,,N/A,2,N/A,na
cases/CASE-2026-002/contract.txt,list_directory_with_sizes,,N/A,2,N/A,na
cases/CASE-2026-002/contract.txt,directory_tree,,1,2,2,low
cases/CASE-2026-002/contract.txt,move_file,,1,4,4,medium
cases/CASE-2026-002/contract.txt,search_files,,1,2,2,low
cases/CASE-2026-002/contract.txt,get_file_info,,1,2,2,low
cases/CASE-2026-002/contract.txt,list_allowed_directories,,N/A,2,N/A,na
cases/CASE-2026-002/correspondence.txt,read_file,,1,3,3,low
cases/CASE-2026-002/correspondence.txt,read_text_file,,1,3,3,low
cases/CASE-2026-002/correspondence.txt,read_media_file,,N/A,3,N/A,na
cases/CASE-2026-002/correspondence.txt,read_multiple_files,,1,3,3,low
cases/CASE-2026-002/correspondence.txt,write_file,,2,5,10,high
cases/CASE-2026-002/correspondence.txt,edit_file,,1,4,4,medium
cases/CASE-2026-002/correspondence.txt,create_directory,,N/A,4,N/A,na
cases/CASE-2026-002/correspondence.txt,list_directory,,1,2,2,low
cases/CASE-2026-002/correspondence.txt,list_directory_with_sizes,,1,2,2,low
cases/CASE-2026-002/correspondence.txt,directory_tree,,N/A,2,N/A,na
cases/CASE-2026-002/correspondence.txt,move_file,,1,4,4,medium
cases/CASE-2026-002/correspondence.txt,search_files,,1,2,2,low
cases/CASE-2026-002/correspondence.txt,get_file_info,,1,2,2,low
cases/CASE-2026-002/correspondence.txt,list_allowed_directories,,N/A,2,N/A,na
cases/CASE-2026-002/signed_agreement.pdf,read_file,,5,3,15,high
cases/CASE-2026-002/signed_agreement.pdf,read_text_file,,5,3,15,high
cases/CASE-2026-002/signed_agreement.pdf,read_media_file,,N/A,3,N/A,na
cases/CASE-2026-002/signed_agreement.pdf,read_multiple_files,,1,3,3,low
cases/CASE-2026-002/signed_agreement.pdf,write_file,,5,5,25,critical
cases/CASE-2026-002/signed_agreement.pdf,edit_file,,5,4,20,high
cases/CASE-2026-002/signed_agreement.pdf,create_directory,,N/A,4,N/A,na
cases/CASE-2026-002/signed_agreement.pdf,list_directory,,1,2,2,low
cases/CASE-2026-002/signed_agreement.pdf,list_directory_with_sizes,,1,2,2,low
cases/CASE-2026-002/signed_agreement.pdf,directory_tree,,1,2,2,low
cases/CASE-2026-002/signed_agreement.pdf,move_file,,1,4,4,medium
cases/CASE-2026-002/signed_agreement.pdf,search_files,,1,2,2,low
cases/CASE-2026-002/signed_agreement.pdf,get_file_info,,1,2,2,low
cases/CASE-2026-002/signed_agreement.pdf,list_allowed_directories,,N/A,2,N/A,na
clients/acme_corp/intake.txt,read_file,,1,3,3,low
clients/acme_corp/intake.txt,read_text_file,,1,3,3,low
clients/acme_corp/intake.txt,read_media_file,,N/A,3,N/A,na
clients/acme_corp/intake.txt,read_multiple_files,,1,3,3,low
clients/acme_corp/intake.txt,write_file,,1,5,5,high
clients/acme_corp/intake.txt,edit_file,,1,4,4,medium
clients/acme_corp/intake.txt,create_directory,,N/A,4,N/A,na
clients/acme_corp/intake.txt,list_directory,,1,2,2,low
clients/acme_corp/intake.txt,list_directory_with_sizes,,1,2,2,low
clients/acme_corp/intake.txt,directory_tree,,1,2,2,low
clients/acme_corp/intake.txt,move_file,,1,4,4,medium
clients/acme_corp/intake.txt,search_files,,1,2,2,low
clients/acme_corp/intake.txt,get_file_info,,1,2,2,low
clients/acme_corp/intake.txt,list_allowed_directories,,N/A,2,N/A,na
clients/blue_whale_inc/intake.txt,read_file,,1,3,3,low
clients/blue_whale_inc/intake.txt,read_text_file,,1,3,3,low
clients/blue_whale_inc/intake.txt,read_media_file,,N/A,3,N/A,na
clients/blue_whale_inc/intake.txt,read_multiple_files,,1,3,3,low
clients/blue_whale_inc/intake.txt,write_file,,1,5,5,high
clients/blue_whale_inc/intake.txt,edit_file,,1,4,4,medium
clients/blue_whale_inc/intake.txt,create_directory,,N/A,4,N/A,na
clients/blue_whale_inc/intake.txt,list_directory,,1,2,2,low
clients/blue_whale_inc/intake.txt,list_directory_with_sizes,,1,2,2,low
clients/blue_whale_inc/intake.txt,directory_tree,,1,2,2,low
clients/blue_whale_inc/intake.txt,move_file,,1,4,4,medium
clients/blue_whale_inc/intake.txt,search_files,,1,2,2,low
clients/blue_whale_inc/intake.txt,get_file_info,,1,2,2,low
clients/blue_whale_inc/intake.txt,list_allowed_directories,,N/A,2,N/A,na
templates/nda_template.txt,read_file,,1,3,3,low
templates/nda_template.txt,read_text_file,,1,3,3,low
templates/nda_template.txt,read_media_file,,N/A,3,N/A,na
templates/nda_template.txt,read_multiple_files,,2,3,6,medium
templates/nda_template.txt,write_file,,5,5,25,critical
templates/nda_template.txt,edit_file,,5,4,20,high
templates/nda_template.txt,create_directory,,N/A,4,N/A,na
templates/nda_template.txt,list_directory,,N/A,2,N/A,na
templates/nda_template.txt,list_directory_with_sizes,,1,2,2,low
templates/nda_template.txt,directory_tree,,1,2,2,low
templates/nda_template.txt,move_file,,1,4,4,medium
templates/nda_template.txt,search_files,,1,2,2,low
templates/nda_template.txt,get_file_info,,1,2,2,low
templates/nda_template.txt,list_allowed_directories,,N/A,2,N/A,na
/,read_file,,1,3,3,low
/,read_text_file,,4,3,12,high
/,read_media_file,,N/A,3,N/A,na
/,read_multiple_files,,5,3,15,high
/,write_file,,4,5,20,critical
/,edit_file,,5,4,20,high
/,create_directory,,N/A,4,N/A,na
/,list_directory,,4,2,8,medium
/,list_directory_with_sizes,,4,2,8,medium
/,directory_tree,,4,2,8,medium
/,move_file,,4,4,16,high
/,search_files,,4,2,8,medium
/,get_file_info,,4,2,8,medium
/,list_allowed_directories,,4,2,8,medium
cases/,read_file,,2,3,6,medium
cases/,read_text_file,,3,3,9,medium
cases/,read_media_file,,N/A,3,N/A,na
cases/,read_multiple_files,,4,3,12,high
cases/,write_file,,3,5,15,high
cases/,edit_file,,4,4,16,high
cases/,create_directory,,1,4,4,medium
cases/,list_directory,,4,2,8,medium
cases/,list_directory_with_sizes,,4,2,8,medium
cases/,directory_tree,,4,2,8,medium
cases/,move_file,,4,4,16,high
cases/,search_files,,4,2,8,medium
cases/,get_file_info,,4,2,8,medium
cases/,list_allowed_directories,,4,2,8,medium
cases/CASE-2026-001/,read_file,,2,3,6,medium
cases/CASE-2026-001/,read_text_file,,2,3,6,medium
cases/CASE-2026-001/,read_media_file,,N/A,3,N/A,na
cases/CASE-2026-001/,read_multiple_files,,4,3,12,high
cases/CASE-2026-001/,write_file,,4,5,20,critical
cases/CASE-2026-001/,edit_file,,3,4,12,high
cases/CASE-2026-001/,create_directory,,N/A,4,N/A,na
cases/CASE-2026-001/,list_directory,,2,2,4,medium
cases/CASE-2026-001/,list_directory_with_sizes,,4,2,8,medium
cases/CASE-2026-001/,directory_tree,,4,2,8,medium
cases/CASE-2026-001/,move_file,,3,4,12,high
cases/CASE-2026-001/,search_files,,2,2,4,medium
cases/CASE-2026-001/,get_file_info,,2,2,4,medium
cases/CASE-2026-001/,list_allowed_directories,,3,2,6,medium
cases/CASE-2026-002/,read_file,,2,3,6,medium
cases/CASE-2026-002/,read_text_file,,3,3,9,medium
cases/CASE-2026-002/,read_media_file,,N/A,3,N/A,na
cases/CASE-2026-002/,read_multiple_files,,4,3,12,high
cases/CASE-2026-002/,write_file,,4,5,20,critical
