asset,tool,sensitivity,blast,impact,score,band
README.md,read_file,,1,3,3,low
README.md,read_text_file,,1,3,3,low
README.md,read_media_file,,N/A,3,N/A,na
README.md,read_multiple_files,,N/A,3,N/A,na
README.md,write_file,,1,5,5,high
README.md,edit_file,,1,4,4,medium
README.md,create_directory,,N/A,4,N/A,na
README.md,list_directory,,N/A,2,N/A,na
README.md,list_directory_with_sizes,,N/A,2,N/A,na
README.md,directory_tree,,N/A,2,N/A,na
README.md,move_file,,1,5,5,high
README.md,search_files,,1,2,2,low
README.md,get_file_info,,1,2,2,low
README.md,list_allowed_directories,,N/A,2,N/A,na
clients/citybank/contract.txt,read_file,,1,3,3,low
clients/citybank/contract.txt,read_text_file,,5,3,15,high
clients/citybank/contract.txt,read_media_file,,N/A,3,N/A,na
clients/citybank/contract.txt,read_multiple_files,,2,3,6,medium
clients/citybank/contract.txt,write_file,,1,5,5,high
clients/citybank/contract.txt,edit_file,,5,4,20,high
clients/citybank/contract.txt,create_directory,,N/A,4,N/A,na
clients/citybank/contract.txt,list_directory,,N/A,2,N/A,na
clients/citybank/contract.txt,list_directory_with_sizes,,N/A,2,N/A,na
clients/citybank/contract.txt,directory_tree,,N/A,2,N/A,na
clients/citybank/contract.txt,move_file,,1,5,5,high
clients/citybank/contract.txt,search_files,,1,2,2,low
clients/citybank/contract.txt,get_file_info,,1,2,2,low
clients/citybank/contract.txt,list_allowed_directories,,N/A,2,N/A,na
clients/neon_brand/contract.txt,read_file,,5,3,15,high
clients/neon_brand/contract.txt,read_text_file,,5,3,15,high
clients/neon_brand/contract.txt,read_media_file,,N/A,3,N/A,na
clients/neon_brand/contract.txt,read_multiple_files,,1,3,3,low
clients/neon_brand/contract.txt,write_file,,1,5,5,high
clients/neon_brand/contract.txt,edit_file,,5,4,20,high
clients/neon_brand/contract.txt,create_directory,,N/A,4,N/A,na
clients/neon_brand/contract.txt,list_directory,,N/A,2,N/A,na
clients/neon_brand/contract.txt,list_directory_with_sizes,,N/A,2,N/A,na
clients/neon_brand/contract.txt,directory_tree,,N/A,2,N/A,na
clients/neon_brand/contract.txt,move_file,,1,5,5,high
clients/neon_brand/contract.txt,search_files,,1,2,2,low
clients/neon_brand/contract.txt,get_file_info,,1,2,2,low
clients/neon_brand/contract.txt,list_allowed_directories,,N/A,2,N/A,na
invoices/inv_2026-05-15_citybank.txt,read_file,,1,3,3,low
invoices/inv_2026-05-15_citybank.txt,read_text_file,,1,3,3,low
invoices/inv_2026-05-15_citybank.txt,read_media_file,,N/A,3,N/A,na
invoices/inv_2026-05-15_citybank.txt,read_multiple_files,,4,3,12,high
invoices/inv_2026-05-15_citybank.txt,write_file,,1,5,5,high
