asset,tool,sensitivity,blast,impact,score,band
README.md,read_file,,1,3,3,low
README.md,read_text_file,,1,3,3,low
README.md,read_media_file,,N/A,3,N/A,na
README.md,read_multiple_files,,N/A,3,N/A,na
README.md,write_file,,1,5,5,high
README.md,edit_file,,1,4,4,medium
README.md,create_directory,,N/A,4,N/A,na
README.md,list_directory,,N/A,2,N/A,na
README.md,list_directory_with_sizes,,N/A,2,N/A,na
README.md,directory_tree,,N/A,2,N/A,na
README.md,move_file,,1,4,4,medium
README.md,search_files,,1,2,2,low
README.md,get_file_info,,1,2,2,low
README.md,list_allowed_directories,,N/A,2,N/A,na
billing/invoices/inv_2026-05-20_alice_johnson.txt,read_file,,1,3,3,low
billing/invoices/inv_2026-05-20_alice_johnson.txt,read_text_file,,1,3,3,low
billing/invoices/inv_2026-05-20_alice_johnson.txt,read_media_file,,N/A,3,N/A,na
billing/invoices/inv_2026-05-20_alice_johnson.txt,read_multiple_files,,1,3,3,low
billing/invoices/inv_2026-05-20_alice_johnson.txt,write_file,,1,5,5,high
billing/invoices/inv_2026-05-20_alice_johnson.txt,edit_file,,1,4,4,medium
billing/invoices/inv_2026-05-20_alice_johnson.txt,create_directory,,N/A,4,N/A,na
billing/invoices/inv_2026-05-20_alice_johnson.txt,list_directory,,N/A,2,N/A,na
billing/invoices/inv_2026-05-20_alice_johnson.txt,list_directory_with_sizes,,1,2,2,low
billing/invoices/inv_2026-05-20_alice_johnson.txt,directory_tree,,N/A,2,N/A,na
billing/invoices/inv_2026-05-20_alice_johnson.txt,move_file,,1,4,4,medium
billing/invoices/inv_2026-05-20_alice_johnson.txt,search_files,,1,2,2,low
billing/invoices/inv_2026-05-20_alice_johnson.txt,get_file_info,,1,2,2,low
billing/invoices/inv_2026-05-20_alice_johnson.txt,list_allowed_directories,,N/A,2,N/A,na
billing/invoices/inv_2026-05-21_bob_martinez.txt,read_file,,1,3,3,low
billing/invoices/inv_2026-05-21_bob_martinez.txt,read_text_file,,1,3,3,low
billing/invoices/inv_2026-05-21_bob_martinez.txt,read_media_file,,N/A,3,N/A,na
billing/invoices/inv_2026-05-21_bob_martinez.txt,read_multiple_files,,1,3,3,low
billing/invoices/inv_2026-05-21_bob_martinez.txt,write_file,,1,5,5,high
billing/invoices/inv_2026-05-21_bob_martinez.txt,edit_file,,1,4,4,medium
billing/invoices/inv_2026-05-21_bob_martinez.txt,create_directory,,N/A,4,N/A,na
billing/invoices/inv_2026-05-21_bob_martinez.txt,list_directory,,N/A,2,N/A,na
billing/invoices/inv_2026-05-21_bob_martinez.txt,list_directory_with_sizes,,2,2,4,medium
billing/invoices/inv_2026-05-21_bob_martinez.txt,directory_tree,,N/A,2,N/A,na
