asset,tool,sensitivity,blast,impact,score,band
public-website,search_repositories,,2,3,6,medium
public-website,get_file_contents,,1,3,3,low
public-website,list_commits,,1,2,2,low
public-website,get_issue,,1,3,3,low
public-website,create_issue,,1,4,4,medium
public-website,create_or_update_file,,4,5,20,critical
public-website,push_files,,3,4,12,high
public-website,delete_file,,4,5,20,critical
public-website,create_pull_request,,2,4,8,medium
public-website,merge_pull_request,,4,5,20,critical
public-website,fork_repository,,4,4,16,high
internal-docs,search_repositories,,2,3,6,medium
internal-docs,get_file_contents,,2,3,6,medium
internal-docs,list_commits,,2,2,4,medium
internal-docs,get_issue,,N/A,3,N/A,na
internal-docs,create_issue,,N/A,4,N/A,na
internal-docs,create_or_update_file,,3,5,15,high
internal-docs,push_files,,3,4,12,high
internal-docs,delete_file,,1,5,5,high
internal-docs,create_pull_request,,2,4,8,medium
internal-docs,merge_pull_request,,4,5,20,critical
internal-docs,fork_repository,,5,4,20,high
backend-api,search_repositories,,2,3,6,medium
backend-api,get_file_contents,,1,3,3,low
backend-api,list_commits,,2,2,4,medium
backend-api,get_issue,,N/A,3,N/A,na
backend-api,create_issue,,N/A,4,N/A,na
backend-api,create_or_update_file,,3,5,15,high
backend-api,push_files,,3,4,12,high
backend-api,delete_file,,3,5,15,high
backend-api,create_pull_request,,3,4,12,high
backend-api,merge_pull_request,,4,5,20,critical
backend-api,fork_repository,,5,4,20,high
payments-service,search_repositories,,2,3,6,medium
payments-service,get_file_contents,,5,3,15,high
payments-service,list_commits,,2,2,4,medium
payments-service,get_issue,,1,3,3,low
payments-service,create_issue,,2,4,8,medium
payments-service,create_or_update_file,,5,5,25,critical
payments-service,push_files,,5,4,20,high
payments-service,delete_file,,5,5,25,critical
payments-service,create_pull_request,,3,4,12,high
payments-service,merge_pull_request,,5,5,25,critical
payments-service,fork_repository,,5,4,20,high
infra-config,search_repositories,,4,3,12,high
infra-config,get_file_contents,,5,3,15,high
infra-config,list_commits,,2,2,4,medium
infra-config,get_issue,,N/A,3,N/A,na
infra-config,create_issue,,N/A,4,N/A,na
infra-config,create_or_update_file,,5,5,25,critical
infra-config,push_files,,5,4,20,high
infra-config,delete_file,,5,5,25,critical
infra-config,create_pull_request,,3,4,12,high
infra-config,merge_pull_request,,5,5,25,critical
infra-config,fork_repository,,5,4,20,high
ml-research,search_repositories,,2,3,6,medium
ml-research,get_file_contents,,5,3,15,high
ml-research,list_commits,,2,2,4,medium
ml-research,get_issue,,N/A,3,N/A,na
ml-research,create_issue,,N/A,4,N/A,na
ml-research,create_or_update_file,,3,5,15,high
ml-research,push_files,,3,4,12,high
ml-research,delete_file,,3,5,15,high
ml-research,create_pull_request,,2,4,8,medium
ml-research,merge_pull_request,,4,5,20,critical
ml-research,fork_repository,,5,4,20,high
branch-heads,search_repositories,,N/A,3,N/A,na
branch-heads,get_file_contents,,N/A,3,N/A,na
branch-heads,list_commits,,N/A,2,N/A,na
branch-heads,get_issue,,N/A,3,N/A,na
branch-heads,create_issue,,N/A,4,N/A,na
branch-heads,create_or_update_file,,3,5,15,high
branch-heads,push_files,,4,4,16,high
branch-heads,delete_file,,N/A,5,N/A,na
branch-heads,create_pull_request,,2,4,8,medium
branch-heads,merge_pull_request,,4,5,20,critical
branch-heads,fork_repository,,N/A,4,N/A,na
issues-and-comments,search_repositories,,N/A,3,N/A,na
issues-and-comments,get_file_contents,,N/A,3,N/A,na
issues-and-comments,list_commits,,N/A,2,N/A,na
issues-and-comments,get_issue,,1,3,3,low
issues-and-comments,create_issue,,1,4,4,medium
issues-and-comments,create_or_update_file,,N/A,5,N/A,na
issues-and-comments,push_files,,N/A,4,N/A,na
issues-and-comments,delete_file,,N/A,5,N/A,na
issues-and-comments,create_pull_request,,N/A,4,N/A,na
issues-and-comments,merge_pull_request,,N/A,5,N/A,na
issues-and-comments,fork_repository,,N/A,4,N/A,na
pull-requests-and-reviews,search_repositories,,N/A,3,N/A,na
pull-requests-and-reviews,get_file_contents,,N/A,3,N/A,na
pull-requests-and-reviews,list_commits,,N/A,2,N/A,na
pull-requests-and-reviews,get_issue,,N/A,3,N/A,na
pull-requests-and-reviews,create_issue,,N/A,4,N/A,na
pull-requests-and-reviews,create_or_update_file,,N/A,5,N/A,na
pull-requests-and-reviews,push_files,,N/A,4,N/A,na
pull-requests-and-reviews,delete_file,,N/A,5,N/A,na
pull-requests-and-reviews,create_pull_request,,2,4,8,medium
pull-requests-and-reviews,merge_pull_request,,4,5,20,critical
pull-requests-and-reviews,fork_repository,,N/A,4,N/A,na
org-external-copies,search_repositories,,N/A,3,N/A,na
org-external-copies,get_file_contents,,5,3,15,high
org-external-copies,list_commits,,2,2,4,medium
org-external-copies,get_issue,,N/A,3,N/A,na
org-external-copies,create_issue,,N/A,4,N/A,na
org-external-copies,create_or_update_file,,5,5,25,critical
org-external-copies,push_files,,4,4,16,high
org-external-copies,delete_file,,N/A,5,N/A,na
org-external-copies,create_pull_request,,N/A,4,N/A,na
org-external-copies,merge_pull_request,,N/A,5,N/A,na
org-external-copies,fork_repository,,5,4,20,high
platform-user-directory,search_repositories,,2,3,6,medium
platform-user-directory,get_file_contents,,N/A,3,N/A,na
platform-user-directory,list_commits,,N/A,2,N/A,na
platform-user-directory,get_issue,,N/A,3,N/A,na
platform-user-directory,create_issue,,N/A,4,N/A,na
platform-user-directory,create_or_update_file,,N/A,5,N/A,na
platform-user-directory,push_files,,N/A,4,N/A,na
platform-user-directory,delete_file,,N/A,5,N/A,na
platform-user-directory,create_pull_request,,N/A,4,N/A,na
platform-user-directory,merge_pull_request,,N/A,5,N/A,na
platform-user-directory,fork_repository,,N/A,4,N/A,na
repository-catalog,search_repositories,,2,3,6,medium
repository-catalog,get_file_contents,,N/A,3,N/A,na
repository-catalog,list_commits,,N/A,2,N/A,na
repository-catalog,get_issue,,N/A,3,N/A,na
repository-catalog,create_issue,,N/A,4,N/A,na
repository-catalog,create_or_update_file,,N/A,5,N/A,na
repository-catalog,push_files,,N/A,4,N/A,na
repository-catalog,delete_file,,N/A,5,N/A,na
repository-catalog,create_pull_request,,N/A,4,N/A,na
repository-catalog,merge_pull_request,,N/A,5,N/A,na
repository-catalog,fork_repository,,N/A,4,N/A,na
repository-records,search_repositories,,2,3,6,medium
repository-records,get_file_contents,,1,3,3,low
repository-records,list_commits,,4,2,8,medium
repository-records,get_issue,,N/A,3,N/A,na
repository-records,create_issue,,N/A,4,N/A,na
repository-records,create_or_update_file,,N/A,5,N/A,na
repository-records,push_files,,N/A,4,N/A,na
repository-records,delete_file,,N/A,5,N/A,na
repository-records,create_pull_request,,N/A,4,N/A,na
repository-records,merge_pull_request,,N/A,5,N/A,na
repository-records,fork_repository,,N/A,4,N/A,na
commit-history,search_repositories,,N/A,3,N/A,na
commit-history,get_file_contents,,N/A,3,N/A,na
commit-history,list_commits,,2,2,4,medium
commit-history,get_issue,,N/A,3,N/A,na
commit-history,create_issue,,N/A,4,N/A,na
commit-history,create_or_update_file,,N/A,5,N/A,na
commit-history,push_files,,N/A,4,N/A,na
commit-history,delete_file,,N/A,5,N/A,na
commit-history,create_pull_request,,N/A,4,N/A,na
commit-history,merge_pull_request,,N/A,5,N/A,na
commit-history,fork_repository,,N/A,4,N/A,na
issue-records,search_repositories,,N/A,3,N/A,na
issue-records,get_file_contents,,N/A,3,N/A,na
issue-records,list_commits,,N/A,2,N/A,na
issue-records,get_issue,,1,3,3,low
issue-records,create_issue,,N/A,4,N/A,na
issue-records,create_or_update_file,,N/A,5,N/A,na
issue-records,push_files,,N/A,4,N/A,na
issue-records,delete_file,,N/A,5,N/A,na
issue-records,create_pull_request,,N/A,4,N/A,na
issue-records,merge_pull_request,,N/A,5,N/A,na
issue-records,fork_repository,,N/A,4,N/A,na
repository-contents,search_repositories,,N/A,3,N/A,na
repository-contents,get_file_contents,,1,3,3,low
repository-contents,list_commits,,N/A,2,N/A,na
repository-contents,get_issue,,N/A,3,N/A,na
repository-contents,create_issue,,N/A,4,N/A,na
repository-contents,create_or_update_file,,1,5,5,high
repository-contents,push_files,,3,4,12,high
repository-contents,delete_file,,3,5,15,high
repository-contents,create_pull_request,,N/A,4,N/A,na
repository-contents,merge_pull_request,,5,5,25,critical
repository-contents,fork_repository,,N/A,4,N/A,na
pull-request-records,search_repositories,,N/A,3,N/A,na
pull-request-records,get_file_contents,,N/A,3,N/A,na
pull-request-records,list_commits,,N/A,2,N/A,na
pull-request-records,get_issue,,N/A,3,N/A,na
pull-request-records,create_issue,,N/A,4,N/A,na
pull-request-records,create_or_update_file,,N/A,5,N/A,na
pull-request-records,push_files,,N/A,4,N/A,na
pull-request-records,delete_file,,N/A,5,N/A,na
pull-request-records,create_pull_request,,1,4,4,medium
pull-request-records,merge_pull_request,,N/A,5,N/A,na
pull-request-records,fork_repository,,N/A,4,N/A,na
