asset,tool,sensitivity,blast,impact,score,band
public-website,create_or_update_file,,1,5,5,high
public-website,search_repositories,,2,2,4,medium
public-website,create_repository,,N/A,4,N/A,na
public-website,get_file_contents,,1,3,3,low
public-website,push_files,,4,5,20,critical
public-website,create_issue,,1,4,4,medium
public-website,create_pull_request,,2,4,8,medium
public-website,fork_repository,,4,4,16,high
public-website,create_branch,,1,4,4,medium
public-website,list_commits,,1,2,2,low
public-website,list_issues,,2,2,4,medium
public-website,update_issue,,2,4,8,medium
public-website,add_issue_comment,,1,4,4,medium
public-website,search_code,,2,3,6,medium
public-website,search_issues,,2,2,4,medium
public-website,search_users,,N/A,2,N/A,na
public-website,get_issue,,1,3,3,low
public-website,get_pull_request,,1,3,3,low
public-website,list_pull_requests,,2,2,4,medium
public-website,create_pull_request_review,,2,4,8,medium
public-website,merge_pull_request,,4,5,20,critical
public-website,get_pull_request_files,,2,2,4,medium
public-website,get_pull_request_status,,1,3,3,low
public-website,update_pull_request_branch,,2,4,8,medium
public-website,get_pull_request_comments,,2,3,6,medium
public-website,get_pull_request_reviews,,1,3,3,low
internal-docs,create_or_update_file,,1,5,5,high
internal-docs,search_repositories,,2,2,4,medium
internal-docs,create_repository,,N/A,4,N/A,na
internal-docs,get_file_contents,,1,3,3,low
internal-docs,push_files,,3,5,15,high
internal-docs,create_issue,,1,4,4,medium
internal-docs,create_pull_request,,2,4,8,medium
internal-docs,fork_repository,,4,4,16,high
internal-docs,create_branch,,2,4,8,medium
internal-docs,list_commits,,2,2,4,medium
internal-docs,list_issues,,2,2,4,medium
internal-docs,update_issue,,2,4,8,medium
internal-docs,add_issue_comment,,1,4,4,medium
internal-docs,search_code,,3,3,9,medium
internal-docs,search_issues,,2,2,4,medium
internal-docs,search_users,,N/A,2,N/A,na
internal-docs,get_issue,,N/A,3,N/A,na
internal-docs,get_pull_request,,N/A,3,N/A,na
internal-docs,list_pull_requests,,2,2,4,medium
internal-docs,create_pull_request_review,,1,4,4,medium
internal-docs,merge_pull_request,,3,5,15,high
internal-docs,get_pull_request_files,,2,2,4,medium
internal-docs,get_pull_request_status,,N/A,3,N/A,na
internal-docs,update_pull_request_branch,,3,4,12,high
internal-docs,get_pull_request_comments,,N/A,3,N/A,na
internal-docs,get_pull_request_reviews,,N/A,3,N/A,na
backend-api,create_or_update_file,,1,5,5,high
backend-api,search_repositories,,2,2,4,medium
backend-api,create_repository,,N/A,4,N/A,na
backend-api,get_file_contents,,4,3,12,high
backend-api,push_files,,5,5,25,critical
backend-api,create_issue,,1,4,4,medium
backend-api,create_pull_request,,2,4,8,medium
backend-api,fork_repository,,4,4,16,high
backend-api,create_branch,,1,4,4,medium
backend-api,list_commits,,4,2,8,medium
backend-api,list_issues,,2,2,4,medium
backend-api,update_issue,,2,4,8,medium
backend-api,add_issue_comment,,1,4,4,medium
backend-api,search_code,,3,3,9,medium
backend-api,search_issues,,2,2,4,medium
backend-api,search_users,,N/A,2,N/A,na
backend-api,get_issue,,1,3,3,low
backend-api,get_pull_request,,1,3,3,low
backend-api,list_pull_requests,,2,2,4,medium
backend-api,create_pull_request_review,,1,4,4,medium
backend-api,merge_pull_request,,3,5,15,high
backend-api,get_pull_request_files,,2,2,4,medium
backend-api,get_pull_request_status,,1,3,3,low
backend-api,update_pull_request_branch,,3,4,12,high
backend-api,get_pull_request_comments,,2,3,6,medium
backend-api,get_pull_request_reviews,,1,3,3,low
payments-service,create_or_update_file,,2,5,10,high
payments-service,search_repositories,,2,2,4,medium
payments-service,create_repository,,N/A,4,N/A,na
payments-service,get_file_contents,,5,3,15,high
payments-service,push_files,,5,5,25,critical
payments-service,create_issue,,1,4,4,medium
payments-service,create_pull_request,,2,4,8,medium
payments-service,fork_repository,,4,4,16,high
payments-service,create_branch,,1,4,4,medium
payments-service,list_commits,,2,2,4,medium
payments-service,list_issues,,2,2,4,medium
payments-service,update_issue,,2,4,8,medium
payments-service,add_issue_comment,,1,4,4,medium
payments-service,search_code,,3,3,9,medium
payments-service,search_issues,,3,2,6,medium
payments-service,search_users,,N/A,2,N/A,na
payments-service,get_issue,,1,3,3,low
payments-service,get_pull_request,,1,3,3,low
payments-service,list_pull_requests,,2,2,4,medium
payments-service,create_pull_request_review,,1,4,4,medium
payments-service,merge_pull_request,,5,5,25,critical
payments-service,get_pull_request_files,,2,2,4,medium
payments-service,get_pull_request_status,,1,3,3,low
payments-service,update_pull_request_branch,,3,4,12,high
payments-service,get_pull_request_comments,,2,3,6,medium
payments-service,get_pull_request_reviews,,1,3,3,low
infra-config,create_or_update_file,,5,5,25,critical
infra-config,search_repositories,,2,2,4,medium
infra-config,create_repository,,N/A,4,N/A,na
infra-config,get_file_contents,,5,3,15,high
infra-config,push_files,,5,5,25,critical
infra-config,create_issue,,N/A,4,N/A,na
infra-config,create_pull_request,,1,4,4,medium
infra-config,fork_repository,,5,4,20,high
infra-config,create_branch,,1,4,4,medium
infra-config,list_commits,,2,2,4,medium
infra-config,list_issues,,2,2,4,medium
infra-config,update_issue,,N/A,4,N/A,na
infra-config,add_issue_comment,,N/A,4,N/A,na
infra-config,search_code,,2,3,6,medium
infra-config,search_issues,,N/A,2,N/A,na
infra-config,search_users,,N/A,2,N/A,na
infra-config,get_issue,,N/A,3,N/A,na
infra-config,get_pull_request,,5,3,15,high
infra-config,list_pull_requests,,2,2,4,medium
infra-config,create_pull_request_review,,N/A,4,N/A,na
infra-config,merge_pull_request,,5,5,25,critical
infra-config,get_pull_request_files,,2,2,4,medium
infra-config,get_pull_request_status,,N/A,3,N/A,na
infra-config,update_pull_request_branch,,3,4,12,high
infra-config,get_pull_request_comments,,N/A,3,N/A,na
infra-config,get_pull_request_reviews,,5,3,15,high
ml-research,create_or_update_file,,2,5,10,high
ml-research,search_repositories,,2,2,4,medium
ml-research,create_repository,,N/A,4,N/A,na
ml-research,get_file_contents,,5,3,15,high
ml-research,push_files,,5,5,25,critical
ml-research,create_issue,,1,4,4,medium
ml-research,create_pull_request,,2,4,8,medium
ml-research,fork_repository,,5,4,20,high
ml-research,create_branch,,1,4,4,medium
ml-research,list_commits,,2,2,4,medium
ml-research,list_issues,,2,2,4,medium
ml-research,update_issue,,2,4,8,medium
ml-research,add_issue_comment,,1,4,4,medium
ml-research,search_code,,2,3,6,medium
ml-research,search_issues,,2,2,4,medium
ml-research,search_users,,N/A,2,N/A,na
ml-research,get_issue,,1,3,3,low
ml-research,get_pull_request,,1,3,3,low
ml-research,list_pull_requests,,2,2,4,medium
