asset,tool,sensitivity,blast,impact,score,band
general,slack_list_channels,,2,2,4,medium
general,slack_get_channel_history,,3,3,9,medium
general,slack_get_thread_replies,,2,3,6,medium
general,slack_get_users,,N/A,2,N/A,na
general,slack_get_user_profile,,N/A,3,N/A,na
general,slack_post_message,,3,5,15,high
general,slack_reply_to_thread,,1,4,4,medium
general,slack_add_reaction,,1,4,4,medium
announcements,slack_list_channels,,1,2,2,low
announcements,slack_get_channel_history,,4,3,12,high
announcements,slack_get_thread_replies,,2,3,6,medium
announcements,slack_get_users,,N/A,2,N/A,na
announcements,slack_get_user_profile,,N/A,3,N/A,na
announcements,slack_post_message,,3,5,15,high
announcements,slack_reply_to_thread,,1,4,4,medium
announcements,slack_add_reaction,,1,4,4,medium
random,slack_list_channels,,3,2,6,medium
random,slack_get_channel_history,,3,3,9,medium
random,slack_get_thread_replies,,3,3,9,medium
random,slack_get_users,,N/A,2,N/A,na
random,slack_get_user_profile,,N/A,3,N/A,na
random,slack_post_message,,3,5,15,high
random,slack_reply_to_thread,,2,4,8,medium
random,slack_add_reaction,,1,4,4,medium
engineering,slack_list_channels,,2,2,4,medium
engineering,slack_get_channel_history,,2,3,6,medium
engineering,slack_get_thread_replies,,3,3,9,medium
engineering,slack_get_users,,N/A,2,N/A,na
engineering,slack_get_user_profile,,N/A,3,N/A,na
engineering,slack_post_message,,3,5,15,high
engineering,slack_reply_to_thread,,1,4,4,medium
engineering,slack_add_reaction,,1,4,4,medium
incident-response,slack_list_channels,,2,2,4,medium
incident-response,slack_get_channel_history,,4,3,12,high
incident-response,slack_get_thread_replies,,3,3,9,medium
incident-response,slack_get_users,,N/A,2,N/A,na
incident-response,slack_get_user_profile,,N/A,3,N/A,na
incident-response,slack_post_message,,4,5,20,critical
incident-response,slack_reply_to_thread,,1,4,4,medium
incident-response,slack_add_reaction,,1,4,4,medium
on-call,slack_list_channels,,2,2,4,medium
on-call,slack_get_channel_history,,4,3,12,high
on-call,slack_get_thread_replies,,3,3,9,medium
on-call,slack_get_users,,N/A,2,N/A,na
on-call,slack_get_user_profile,,N/A,3,N/A,na
on-call,slack_post_message,,4,5,20,critical
on-call,slack_reply_to_thread,,1,4,4,medium
on-call,slack_add_reaction,,1,4,4,medium
research-team,slack_list_channels,,1,2,2,low
research-team,slack_get_channel_history,,2,3,6,medium
research-team,slack_get_thread_replies,,2,3,6,medium
research-team,slack_get_users,,N/A,2,N/A,na
research-team,slack_get_user_profile,,N/A,3,N/A,na
research-team,slack_post_message,,2,5,10,high
research-team,slack_reply_to_thread,,1,4,4,medium
research-team,slack_add_reaction,,1,4,4,medium
exec-private,slack_list_channels,,1,2,2,low
exec-private,slack_get_channel_history,,5,3,15,high
exec-private,slack_get_thread_replies,,3,3,9,medium
exec-private,slack_get_users,,N/A,2,N/A,na
exec-private,slack_get_user_profile,,N/A,3,N/A,na
exec-private,slack_post_message,,5,5,25,critical
exec-private,slack_reply_to_thread,,3,4,12,high
exec-private,slack_add_reaction,,1,4,4,medium
hr-internal,slack_list_channels,,N/A,2,N/A,na
hr-internal,slack_get_channel_history,,4,3,12,high
hr-internal,slack_get_thread_replies,,3,3,9,medium
hr-internal,slack_get_users,,N/A,2,N/A,na
hr-internal,slack_get_user_profile,,N/A,3,N/A,na
hr-internal,slack_post_message,,5,5,25,critical
hr-internal,slack_reply_to_thread,,2,4,8,medium
