asset,tool,sensitivity,blast,impact,score,band
general,channels_list,,1,2,2,low
general,channels_me,,1,2,2,low
general,conversations_add_message,,1,4,4,medium
general,conversations_history,,3,3,9,medium
general,conversations_join,,1,5,5,high
general,conversations_leave,,1,4,4,medium
general,conversations_mark,,4,2,8,medium
general,conversations_replies,,2,3,6,medium
general,conversations_search_messages,,2,3,6,medium
general,conversations_unreads,,2,3,6,medium
general,usergroups_create,,N/A,4,N/A,na
general,usergroups_list,,N/A,2,N/A,na
general,usergroups_me,,N/A,4,N/A,na
general,usergroups_update,,N/A,4,N/A,na
general,usergroups_users_update,,N/A,5,N/A,na
general,users_search,,N/A,3,N/A,na
announcements,channels_list,,1,2,2,low
announcements,channels_me,,1,2,2,low
announcements,conversations_add_message,,1,4,4,medium
announcements,conversations_history,,4,3,12,high
announcements,conversations_join,,1,5,5,high
announcements,conversations_leave,,1,4,4,medium
announcements,conversations_mark,,4,2,8,medium
announcements,conversations_replies,,2,3,6,medium
announcements,conversations_search_messages,,2,3,6,medium
announcements,conversations_unreads,,2,3,6,medium
announcements,usergroups_create,,N/A,4,N/A,na
announcements,usergroups_list,,N/A,2,N/A,na
announcements,usergroups_me,,N/A,4,N/A,na
announcements,usergroups_update,,N/A,4,N/A,na
announcements,usergroups_users_update,,N/A,5,N/A,na
announcements,users_search,,N/A,3,N/A,na
random,channels_list,,1,2,2,low
random,channels_me,,1,2,2,low
random,conversations_add_message,,1,4,4,medium
random,conversations_history,,4,3,12,high
random,conversations_join,,1,5,5,high
random,conversations_leave,,1,4,4,medium
random,conversations_mark,,1,2,2,low
random,conversations_replies,,4,3,12,high
random,conversations_search_messages,,2,3,6,medium
random,conversations_unreads,,2,3,6,medium
random,usergroups_create,,N/A,4,N/A,na
random,usergroups_list,,N/A,2,N/A,na
random,usergroups_me,,N/A,4,N/A,na
random,usergroups_update,,N/A,4,N/A,na
random,usergroups_users_update,,N/A,5,N/A,na
random,users_search,,N/A,3,N/A,na
engineering,channels_list,,2,2,4,medium
engineering,channels_me,,1,2,2,low
engineering,conversations_add_message,,1,4,4,medium
engineering,conversations_history,,4,3,12,high
engineering,conversations_join,,1,5,5,high
engineering,conversations_leave,,1,4,4,medium
engineering,conversations_mark,,1,2,2,low
engineering,conversations_replies,,3,3,9,medium
engineering,conversations_search_messages,,3,3,9,medium
engineering,conversations_unreads,,4,3,12,high
engineering,usergroups_create,,N/A,4,N/A,na
engineering,usergroups_list,,N/A,2,N/A,na
engineering,usergroups_me,,N/A,4,N/A,na
engineering,usergroups_update,,N/A,4,N/A,na
engineering,usergroups_users_update,,N/A,5,N/A,na
engineering,users_search,,N/A,3,N/A,na
incident-response,channels_list,,2,2,4,medium
incident-response,channels_me,,N/A,2,N/A,na
incident-response,conversations_add_message,,1,4,4,medium
incident-response,conversations_history,,4,3,12,high
incident-response,conversations_join,,5,5,25,critical
incident-response,conversations_leave,,1,4,4,medium
incident-response,conversations_mark,,1,2,2,low
incident-response,conversations_replies,,3,3,9,medium
incident-response,conversations_search_messages,,5,3,15,high
incident-response,conversations_unreads,,2,3,6,medium
incident-response,usergroups_create,,N/A,4,N/A,na
incident-response,usergroups_list,,N/A,2,N/A,na
incident-response,usergroups_me,,N/A,4,N/A,na
incident-response,usergroups_update,,N/A,4,N/A,na
incident-response,usergroups_users_update,,4,5,20,critical
incident-response,users_search,,N/A,3,N/A,na
on-call,channels_list,,1,2,2,low
on-call,channels_me,,N/A,2,N/A,na
on-call,conversations_add_message,,1,4,4,medium
on-call,conversations_history,,4,3,12,high
on-call,conversations_join,,4,5,20,critical
on-call,conversations_leave,,1,4,4,medium
on-call,conversations_mark,,1,2,2,low
on-call,conversations_replies,,4,3,12,high
