asset,tool,sensitivity,blast,impact,score,band
employees,list_tables,,N/A,2,N/A,na
employees,describe_table,,1,2,2,low
employees,read_query,,3,3,9,medium
employees,write_query,,4,5,20,critical
employees,insert_row,,2,4,8,medium
projects,list_tables,,N/A,2,N/A,na
projects,describe_table,,1,2,2,low
projects,read_query,,3,3,9,medium
projects,write_query,,3,5,15,high
projects,insert_row,,1,4,4,medium
datasets,list_tables,,N/A,2,N/A,na
datasets,describe_table,,1,2,2,low
datasets,read_query,,3,3,9,medium
datasets,write_query,,3,5,15,high
datasets,insert_row,,1,4,4,medium
experiments,list_tables,,N/A,2,N/A,na
experiments,describe_table,,1,2,2,low
experiments,read_query,,3,3,9,medium
experiments,write_query,,4,5,20,critical
experiments,insert_row,,1,4,4,medium
publications,list_tables,,N/A,2,N/A,na
publications,describe_table,,1,2,2,low
publications,read_query,,2,3,6,medium
publications,write_query,,3,5,15,high
publications,insert_row,,1,4,4,medium
grants,list_tables,,N/A,2,N/A,na
grants,describe_table,,1,2,2,low
grants,read_query,,2,3,6,medium
grants,write_query,,4,5,20,critical
grants,insert_row,,1,4,4,medium
api_keys,list_tables,,N/A,2,N/A,na
api_keys,describe_table,,1,2,2,low
api_keys,read_query,,5,3,15,high
api_keys,write_query,,5,5,25,critical
api_keys,insert_row,,2,4,8,medium
table-catalog,list_tables,,1,2,2,low
table-catalog,describe_table,,N/A,2,N/A,na
table-catalog,read_query,,N/A,3,N/A,na
table-catalog,write_query,,N/A,5,N/A,na
table-catalog,insert_row,,N/A,4,N/A,na
table-metadata,list_tables,,2,2,4,medium
table-metadata,describe_table,,2,2,4,medium
table-metadata,read_query,,N/A,3,N/A,na
table-metadata,write_query,,N/A,5,N/A,na
table-metadata,insert_row,,N/A,4,N/A,na
database-records,list_tables,,N/A,2,N/A,na
database-records,describe_table,,N/A,2,N/A,na
database-records,read_query,,5,3,15,high
database-records,write_query,,5,5,25,critical
database-records,insert_row,,N/A,4,N/A,na
table-records,list_tables,,N/A,2,N/A,na
table-records,describe_table,,N/A,2,N/A,na
table-records,read_query,,5,3,15,high
table-records,write_query,,5,5,25,critical
table-records,insert_row,,1,4,4,medium
