asset,tool,sensitivity,blast,impact,score,band
users,list_tables,,N/A,2,N/A,na
users,describe_table,,1,2,2,low
users,read_query,,5,3,15,high
users,write_query,,5,5,25,critical
users,insert_row,,5,4,20,high
api_tokens,list_tables,,N/A,2,N/A,na
api_tokens,describe_table,,1,2,2,low
api_tokens,read_query,,5,3,15,high
api_tokens,write_query,,5,5,25,critical
api_tokens,insert_row,,5,4,20,high
deployments,list_tables,,1,2,2,low
deployments,describe_table,,1,2,2,low
deployments,read_query,,2,3,6,medium
deployments,write_query,,4,5,20,critical
deployments,insert_row,,1,4,4,medium
audit_log,list_tables,,1,2,2,low
audit_log,describe_table,,1,2,2,low
audit_log,read_query,,2,3,6,medium
audit_log,write_query,,5,5,25,critical
audit_log,insert_row,,3,4,12,high
public_metrics,list_tables,,N/A,2,N/A,na
public_metrics,describe_table,,1,2,2,low
public_metrics,read_query,,2,3,6,medium
public_metrics,write_query,,2,5,10,high
public_metrics,insert_row,,1,4,4,medium
table-catalog,list_tables,,1,2,2,low
table-catalog,describe_table,,N/A,2,N/A,na
table-catalog,read_query,,N/A,3,N/A,na
table-catalog,write_query,,N/A,5,N/A,na
table-catalog,insert_row,,N/A,4,N/A,na
table-metadata,list_tables,,1,2,2,low
table-metadata,describe_table,,1,2,2,low
table-metadata,read_query,,N/A,3,N/A,na
table-metadata,write_query,,N/A,5,N/A,na
table-metadata,insert_row,,N/A,4,N/A,na
database-records,list_tables,,N/A,2,N/A,na
database-records,describe_table,,N/A,2,N/A,na
database-records,read_query,,5,3,15,high
database-records,write_query,,N/A,5,N/A,na
database-records,insert_row,,N/A,4,N/A,na
table-records,list_tables,,N/A,2,N/A,na
table-records,describe_table,,N/A,2,N/A,na
table-records,read_query,,5,3,15,high
table-records,write_query,,5,5,25,critical
table-records,insert_row,,5,4,20,high
