asset,sens,tool,impact,blast_raw,blast_g3_s4f2,score_g3_s4f2,band_g3_s4f2,blast_g3_s4f3,score_g3_s4f3,band_g3_s4f3,blast_g4_s4f2,score_g4_s4f2,band_g4_s4f2,blast_g4_s4f3,score_g4_s4f3,band_g4_s4f3
personal,3,list-calendars,2,1,1,6.0,low,1,6.0,low,1,6.0,low,1,6.0,low
personal,3,list-events,2,4,4,24.0,medium,4,24.0,medium,4,24.0,medium,4,24.0,medium
personal,3,search-events,3,4,4,36.0,medium,4,36.0,medium,4,36.0,medium,4,36.0,medium
personal,3,get-event,3,1,1,9.0,low,1,9.0,low,1,9.0,low,1,9.0,low
personal,3,list-colors,1,,,,na,,,na,,,na,,,na
personal,3,create-event,4,1,1,12.0,low,1,12.0,low,1,12.0,low,1,12.0,low
personal,3,create-events,4,2,2,24.0,medium,2,24.0,medium,2,24.0,medium,2,24.0,medium
personal,3,update-event,4,1,1,12.0,low,1,12.0,low,1,12.0,low,1,12.0,low
personal,3,delete-event,5,1,1,15.0,high,1,15.0,high,1,15.0,high,1,15.0,high
personal,3,get-freebusy,2,4,4,24.0,medium,4,24.0,medium,4,24.0,medium,4,24.0,medium
personal,3,get-current-time,1,,,,na,,,na,,,na,,,na
personal,3,respond-to-event,4,1,1,12.0,low,1,12.0,low,1,12.0,low,1,12.0,low
personal,3,manage-accounts,5,,,,na,,,na,,,na,,,na
team,3,list-calendars,2,1,1,6.0,low,1,6.0,low,1,6.0,low,1,6.0,low
team,3,list-events,2,4,4,24.0,medium,4,24.0,medium,4,24.0,medium,4,24.0,medium
team,3,search-events,3,3,3,27.0,medium,3,27.0,medium,3,27.0,medium,3,27.0,medium
team,3,get-event,3,1,1,9.0,low,1,9.0,low,1,9.0,low,1,9.0,low
team,3,list-colors,1,,,,na,,,na,,,na,,,na
team,3,create-event,4,1,1,12.0,low,1,12.0,low,1,12.0,low,1,12.0,low
team,3,create-events,4,3,3,36.0,medium,3,36.0,medium,3,36.0,medium,3,36.0,medium
team,3,update-event,4,1,1,12.0,low,1,12.0,low,1,12.0,low,1,12.0,low
team,3,delete-event,5,1,1,15.0,high,1,15.0,high,1,15.0,high,1,15.0,high
team,3,get-freebusy,2,4,4,24.0,medium,4,24.0,medium,4,24.0,medium,4,24.0,medium
team,3,get-current-time,1,,,,na,,,na,,,na,,,na
team,3,respond-to-event,4,3,3,36.0,medium,3,36.0,medium,3,36.0,medium,3,36.0,medium
team,3,manage-accounts,5,,,,na,,,na,,,na,,,na
executive,4,list-calendars,2,2,2,16.0,low,2,16.0,low,2,16.0,low,2,16.0,low
executive,4,list-events,2,4,4,32.0,medium,4,32.0,medium,4,32.0,medium,4,32.0,medium
executive,4,search-events,3,3,3,36.0,medium,3,36.0,medium,3,36.0,medium,3,36.0,medium
executive,4,get-event,3,1,2,24.0,medium,3,36.0,medium,1,12.0,medium,1,12.0,medium
executive,4,list-colors,1,,,,na,,,na,,,na,,,na
executive,4,create-event,4,1,2,32.0,medium,3,48.0,medium,2,32.0,medium,3,48.0,medium
executive,4,create-events,4,3,3,48.0,medium,3,48.0,medium,3,48.0,medium,3,48.0,medium
executive,4,update-event,4,1,2,32.0,medium,3,48.0,medium,2,32.0,medium,3,48.0,medium
executive,4,delete-event,5,1,2,40.0,high,3,60.0,high,2,40.0,high,3,60.0,high
executive,4,get-freebusy,2,3,3,24.0,medium,3,24.0,medium,3,24.0,medium,3,24.0,medium
executive,4,get-current-time,1,,,,na,,,na,,,na,,,na
executive,4,respond-to-event,4,1,2,32.0,medium,3,48.0,medium,2,32.0,medium,3,48.0,medium
executive,4,manage-accounts,5,,,,na,,,na,,,na,,,na
recruiting,4,list-calendars,2,1,1,8.0,low,1,8.0,low,1,8.0,low,1,8.0,low
recruiting,4,list-events,2,5,5,40.0,medium,5,40.0,medium,5,40.0,medium,5,40.0,medium
recruiting,4,search-events,3,3,3,36.0,medium,3,36.0,medium,3,36.0,medium,3,36.0,medium
recruiting,4,get-event,3,1,2,24.0,medium,3,36.0,medium,1,12.0,medium,1,12.0,medium
recruiting,4,list-colors,1,,,,na,,,na,,,na,,,na
recruiting,4,create-event,4,1,2,32.0,medium,3,48.0,medium,2,32.0,medium,3,48.0,medium
recruiting,4,create-events,4,3,3,48.0,medium,3,48.0,medium,3,48.0,medium,3,48.0,medium
recruiting,4,update-event,4,1,2,32.0,medium,3,48.0,medium,2,32.0,medium,3,48.0,medium
recruiting,4,delete-event,5,1,2,40.0,high,3,60.0,high,2,40.0,high,3,60.0,high
recruiting,4,get-freebusy,2,3,3,24.0,medium,3,24.0,medium,3,24.0,medium,3,24.0,medium
recruiting,4,get-current-time,1,,,,na,,,na,,,na,,,na
recruiting,4,respond-to-event,4,1,2,32.0,medium,3,48.0,medium,2,32.0,medium,3,48.0,medium
recruiting,4,manage-accounts,5,,,,na,,,na,,,na,,,na
contacts,4,list-calendars,2,,,,na,,,na,,,na,,,na
contacts,4,list-events,2,,,,na,,,na,,,na,,,na
contacts,4,search-events,3,,,,na,,,na,,,na,,,na
contacts,4,get-event,3,,,,na,,,na,,,na,,,na
contacts,4,list-colors,1,,,,na,,,na,,,na,,,na
contacts,4,create-event,4,,,,na,,,na,,,na,,,na
contacts,4,create-events,4,,,,na,,,na,,,na,,,na
contacts,4,update-event,4,,,,na,,,na,,,na,,,na
contacts,4,delete-event,5,,,,na,,,na,,,na,,,na
contacts,4,get-freebusy,2,,,,na,,,na,,,na,,,na
contacts,4,get-current-time,1,,,,na,,,na,,,na,,,na
contacts,4,respond-to-event,4,,,,na,,,na,,,na,,,na
contacts,4,manage-accounts,5,,,,na,,,na,,,na,,,na
holidays,1,list-calendars,2,1,1,2.0,low,1,2.0,low,1,2.0,low,1,2.0,low
holidays,1,list-events,2,4,4,8.0,low,4,8.0,low,4,8.0,low,4,8.0,low
holidays,1,search-events,3,4,4,12.0,low,4,12.0,low,4,12.0,low,4,12.0,low
holidays,1,get-event,3,1,1,3.0,low,1,3.0,low,1,3.0,low,1,3.0,low
holidays,1,list-colors,1,,,,na,,,na,,,na,,,na
holidays,1,create-event,4,1,1,4.0,low,1,4.0,low,1,4.0,low,1,4.0,low
holidays,1,create-events,4,,,,na,,,na,,,na,,,na
holidays,1,update-event,4,1,1,4.0,low,1,4.0,low,1,4.0,low,1,4.0,low
holidays,1,delete-event,5,,,,na,,,na,,,na,,,na
holidays,1,get-freebusy,2,2,2,4.0,low,2,4.0,low,2,4.0,low,2,4.0,low
holidays,1,get-current-time,1,,,,na,,,na,,,na,,,na
holidays,1,respond-to-event,4,,,,na,,,na,,,na,,,na
holidays,1,manage-accounts,5,,,,na,,,na,,,na,,,na
event-records,3,list-calendars,2,,,,na,,,na,,,na,,,na
event-records,3,list-events,2,3,3,18.0,medium,3,18.0,medium,3,18.0,medium,3,18.0,medium
event-records,3,search-events,3,3,3,27.0,medium,3,27.0,medium,3,27.0,medium,3,27.0,medium
event-records,3,get-event,3,1,1,9.0,low,1,9.0,low,1,9.0,low,1,9.0,low
event-records,3,list-colors,1,,,,na,,,na,,,na,,,na
event-records,3,create-event,4,1,1,12.0,low,1,12.0,low,1,12.0,low,1,12.0,low
event-records,3,create-events,4,3,3,36.0,medium,3,36.0,medium,3,36.0,medium,3,36.0,medium
event-records,3,update-event,4,2,2,24.0,medium,2,24.0,medium,2,24.0,medium,2,24.0,medium
event-records,3,delete-event,5,1,1,15.0,high,1,15.0,high,1,15.0,high,1,15.0,high
event-records,3,get-freebusy,2,,,,na,,,na,,,na,,,na
event-records,3,get-current-time,1,,,,na,,,na,,,na,,,na
event-records,3,respond-to-event,4,2,2,24.0,medium,2,24.0,medium,2,24.0,medium,2,24.0,medium
event-records,3,manage-accounts,5,,,,na,,,na,,,na,,,na
event-attendee-lists,4,list-calendars,2,,,,na,,,na,,,na,,,na
event-attendee-lists,4,list-events,2,4,4,32.0,medium,4,32.0,medium,4,32.0,medium,4,32.0,medium
event-attendee-lists,4,search-events,3,3,3,36.0,medium,3,36.0,medium,3,36.0,medium,3,36.0,medium
event-attendee-lists,4,get-event,3,2,2,24.0,medium,3,36.0,medium,2,24.0,medium,2,24.0,medium
event-attendee-lists,4,list-colors,1,,,,na,,,na,,,na,,,na
