asset,sens,tool,impact,blast_raw,blast_g3_s4f2,score_g3_s4f2,band_g3_s4f2,blast_g3_s4f3,score_g3_s4f3,band_g3_s4f3,blast_g4_s4f2,score_g4_s4f2,band_g4_s4f2,blast_g4_s4f3,score_g4_s4f3,band_g4_s4f3
README.md,1,read_file,3,1,1,3.0,low,1,3.0,low,1,3.0,low,1,3.0,low
README.md,1,read_text_file,3,1,1,3.0,low,1,3.0,low,1,3.0,low,1,3.0,low
README.md,1,read_media_file,3,,,,na,,,na,,,na,,,na
README.md,1,read_multiple_files,3,,,,na,,,na,,,na,,,na
README.md,1,write_file,5,1,1,5.0,medium,1,5.0,medium,1,5.0,medium,1,5.0,medium
README.md,1,edit_file,4,1,1,4.0,low,1,4.0,low,1,4.0,low,1,4.0,low
README.md,1,create_directory,4,,,,na,,,na,,,na,,,na
README.md,1,list_directory,2,,,,na,,,na,,,na,,,na
README.md,1,list_directory_with_sizes,2,,,,na,,,na,,,na,,,na
README.md,1,directory_tree,2,,,,na,,,na,,,na,,,na
README.md,1,move_file,4,1,1,4.0,low,1,4.0,low,1,4.0,low,1,4.0,low
README.md,1,search_files,2,1,1,2.0,low,1,2.0,low,1,2.0,low,1,2.0,low
README.md,1,get_file_info,2,1,1,2.0,low,1,2.0,low,1,2.0,low,1,2.0,low
README.md,1,list_allowed_directories,2,,,,na,,,na,,,na,,,na
onboarding/org_chart.png,2,read_file,3,1,1,6.0,low,1,6.0,low,1,6.0,low,1,6.0,low
onboarding/org_chart.png,2,read_text_file,3,,1,6.0,low,1,6.0,low,1,6.0,low,1,6.0,low
onboarding/org_chart.png,2,read_media_file,3,1,1,6.0,low,1,6.0,low,1,6.0,low,1,6.0,low
onboarding/org_chart.png,2,read_multiple_files,3,1,1,6.0,low,1,6.0,low,1,6.0,low,1,6.0,low
onboarding/org_chart.png,2,write_file,5,1,1,10.0,medium,1,10.0,medium,1,10.0,medium,1,10.0,medium
onboarding/org_chart.png,2,edit_file,4,,,,na,,,na,,,na,,,na
onboarding/org_chart.png,2,create_directory,4,,,,na,,,na,,,na,,,na
onboarding/org_chart.png,2,list_directory,2,,,,na,,,na,,,na,,,na
onboarding/org_chart.png,2,list_directory_with_sizes,2,,,,na,,,na,,,na,,,na
onboarding/org_chart.png,2,directory_tree,2,,,,na,,,na,,,na,,,na
onboarding/org_chart.png,2,move_file,4,1,1,8.0,low,1,8.0,low,1,8.0,low,1,8.0,low
onboarding/org_chart.png,2,search_files,2,1,1,4.0,low,1,4.0,low,1,4.0,low,1,4.0,low
onboarding/org_chart.png,2,get_file_info,2,1,1,4.0,low,1,4.0,low,1,4.0,low,1,4.0,low
onboarding/org_chart.png,2,list_allowed_directories,2,,,,na,,,na,,,na,,,na
projects/db_schema.sql,3,read_file,3,1,1,9.0,low,1,9.0,low,1,9.0,low,1,9.0,low
projects/db_schema.sql,3,read_text_file,3,1,1,9.0,low,1,9.0,low,1,9.0,low,1,9.0,low
projects/db_schema.sql,3,read_media_file,3,,,,na,,,na,,,na,,,na
projects/db_schema.sql,3,read_multiple_files,3,1,1,9.0,low,1,9.0,low,1,9.0,low,1,9.0,low
projects/db_schema.sql,3,write_file,5,1,1,15.0,high,1,15.0,high,1,15.0,high,1,15.0,high
projects/db_schema.sql,3,edit_file,4,1,1,12.0,low,1,12.0,low,1,12.0,low,1,12.0,low
projects/db_schema.sql,3,create_directory,4,,,,na,,,na,,,na,,,na
projects/db_schema.sql,3,list_directory,2,,,,na,,,na,,,na,,,na
projects/db_schema.sql,3,list_directory_with_sizes,2,,,,na,,,na,,,na,,,na
projects/db_schema.sql,3,directory_tree,2,1,1,6.0,low,1,6.0,low,1,6.0,low,1,6.0,low
projects/db_schema.sql,3,move_file,4,1,1,12.0,low,1,12.0,low,1,12.0,low,1,12.0,low
projects/db_schema.sql,3,search_files,2,1,1,6.0,low,1,6.0,low,1,6.0,low,1,6.0,low
projects/db_schema.sql,3,get_file_info,2,1,1,6.0,low,1,6.0,low,1,6.0,low,1,6.0,low
projects/db_schema.sql,3,list_allowed_directories,2,,,,na,,,na,,,na,,,na
projects/known_defects.csv,3,read_file,3,1,1,9.0,low,1,9.0,low,1,9.0,low,1,9.0,low
projects/known_defects.csv,3,read_text_file,3,1,1,9.0,low,1,9.0,low,1,9.0,low,1,9.0,low
projects/known_defects.csv,3,read_media_file,3,,,,na,,,na,,,na,,,na
projects/known_defects.csv,3,read_multiple_files,3,1,1,9.0,low,1,9.0,low,1,9.0,low,1,9.0,low
projects/known_defects.csv,3,write_file,5,1,1,15.0,high,1,15.0,high,1,15.0,high,1,15.0,high
projects/known_defects.csv,3,edit_file,4,1,1,12.0,low,1,12.0,low,1,12.0,low,1,12.0,low
projects/known_defects.csv,3,create_directory,4,,,,na,,,na,,,na,,,na
projects/known_defects.csv,3,list_directory,2,,,,na,,,na,,,na,,,na
projects/known_defects.csv,3,list_directory_with_sizes,2,,,,na,,,na,,,na,,,na
projects/known_defects.csv,3,directory_tree,2,,,,na,,,na,,,na,,,na
projects/known_defects.csv,3,move_file,4,1,1,12.0,low,1,12.0,low,1,12.0,low,1,12.0,low
projects/known_defects.csv,3,search_files,2,1,1,6.0,low,1,6.0,low,1,6.0,low,1,6.0,low
projects/known_defects.csv,3,get_file_info,2,1,1,6.0,low,1,6.0,low,1,6.0,low,1,6.0,low
projects/known_defects.csv,3,list_allowed_directories,2,,,,na,,,na,,,na,,,na
