asset,sens,tool,impact,blast_raw,blast_g3_s4f2,score_g3_s4f2,band_g3_s4f2,blast_g3_s4f3,score_g3_s4f3,band_g3_s4f3,blast_g4_s4f2,score_g4_s4f2,band_g4_s4f2,blast_g4_s4f3,score_g4_s4f3,band_g4_s4f3
public-website,1,create_or_update_file,5,2,2,10.0,medium,2,10.0,medium,2,10.0,medium,2,10.0,medium
public-website,1,search_repositories,2,2,2,4.0,low,2,4.0,low,2,4.0,low,2,4.0,low
public-website,1,create_repository,4,,,,na,,,na,,,na,,,na
public-website,1,get_file_contents,3,1,1,3.0,low,1,3.0,low,1,3.0,low,1,3.0,low
public-website,1,push_files,5,4,4,20.0,medium,4,20.0,medium,4,20.0,medium,4,20.0,medium
public-website,1,create_issue,4,,,,na,,,na,,,na,,,na
public-website,1,create_pull_request,4,2,2,8.0,low,2,8.0,low,2,8.0,low,2,8.0,low
public-website,1,fork_repository,4,4,4,16.0,low,4,16.0,low,4,16.0,low,4,16.0,low
public-website,1,create_branch,4,2,2,8.0,low,2,8.0,low,2,8.0,low,2,8.0,low
public-website,1,list_commits,2,2,2,4.0,low,2,4.0,low,2,4.0,low,2,4.0,low
public-website,1,list_issues,2,,,,na,,,na,,,na,,,na
public-website,1,update_issue,4,,,,na,,,na,,,na,,,na
public-website,1,add_issue_comment,4,,,,na,,,na,,,na,,,na
public-website,1,search_code,3,2,2,6.0,low,2,6.0,low,2,6.0,low,2,6.0,low
public-website,1,search_issues,3,,,,na,,,na,,,na,,,na
public-website,1,search_users,2,,,,na,,,na,,,na,,,na
public-website,1,get_issue,3,,,,na,,,na,,,na,,,na
public-website,1,get_pull_request,3,,,,na,,,na,,,na,,,na
public-website,1,list_pull_requests,2,,,,na,,,na,,,na,,,na
public-website,1,create_pull_request_review,4,,,,na,,,na,,,na,,,na
public-website,1,merge_pull_request,5,4,4,20.0,medium,4,20.0,medium,4,20.0,medium,4,20.0,medium
public-website,1,get_pull_request_files,2,2,2,4.0,low,2,4.0,low,2,4.0,low,2,4.0,low
public-website,1,get_pull_request_status,3,,,,na,,,na,,,na,,,na
public-website,1,update_pull_request_branch,4,,,,na,,,na,,,na,,,na
public-website,1,get_pull_request_comments,3,,,,na,,,na,,,na,,,na
public-website,1,get_pull_request_reviews,3,,,,na,,,na,,,na,,,na
internal-docs,3,create_or_update_file,5,1,1,15.0,high,1,15.0,high,1,15.0,high,1,15.0,high
internal-docs,3,search_repositories,2,2,2,12.0,low,2,12.0,low,2,12.0,low,2,12.0,low
internal-docs,3,create_repository,4,,,,na,,,na,,,na,,,na
internal-docs,3,get_file_contents,3,1,1,9.0,low,1,9.0,low,1,9.0,low,1,9.0,low
internal-docs,3,push_files,5,3,3,45.0,high,3,45.0,high,3,45.0,high,3,45.0,high
internal-docs,3,create_issue,4,,,,na,,,na,,,na,,,na
internal-docs,3,create_pull_request,4,2,2,24.0,medium,2,24.0,medium,2,24.0,medium,2,24.0,medium
internal-docs,3,fork_repository,4,4,4,48.0,medium,4,48.0,medium,4,48.0,medium,4,48.0,medium
internal-docs,3,create_branch,4,2,2,24.0,medium,2,24.0,medium,2,24.0,medium,2,24.0,medium
internal-docs,3,list_commits,2,2,2,12.0,low,2,12.0,low,2,12.0,low,2,12.0,low
internal-docs,3,list_issues,2,,,,na,,,na,,,na,,,na
internal-docs,3,update_issue,4,,,,na,,,na,,,na,,,na
internal-docs,3,add_issue_comment,4,,,,na,,,na,,,na,,,na
internal-docs,3,search_code,3,3,3,27.0,medium,3,27.0,medium,3,27.0,medium,3,27.0,medium
internal-docs,3,search_issues,3,,,,na,,,na,,,na,,,na
internal-docs,3,search_users,2,,,,na,,,na,,,na,,,na
internal-docs,3,get_issue,3,,,,na,,,na,,,na,,,na
internal-docs,3,get_pull_request,3,,,,na,,,na,,,na,,,na
internal-docs,3,list_pull_requests,2,,,,na,,,na,,,na,,,na
internal-docs,3,create_pull_request_review,4,,,,na,,,na,,,na,,,na
internal-docs,3,merge_pull_request,5,3,3,45.0,high,3,45.0,high,3,45.0,high,3,45.0,high
internal-docs,3,get_pull_request_files,2,2,2,12.0,low,2,12.0,low,2,12.0,low,2,12.0,low
internal-docs,3,get_pull_request_status,3,,,,na,,,na,,,na,,,na
internal-docs,3,update_pull_request_branch,4,3,3,36.0,medium,3,36.0,medium,3,36.0,medium,3,36.0,medium
internal-docs,3,get_pull_request_comments,3,,,,na,,,na,,,na,,,na
internal-docs,3,get_pull_request_reviews,3,,,,na,,,na,,,na,,,na
backend-api,4,create_or_update_file,5,1,2,40.0,high,3,60.0,high,2,40.0,high,3,60.0,high
backend-api,4,search_repositories,2,2,2,16.0,low,2,16.0,low,2,16.0,low,2,16.0,low
backend-api,4,create_repository,4,,,,na,,,na,,,na,,,na
backend-api,4,get_file_contents,3,5,5,60.0,high,5,60.0,high,5,60.0,high,5,60.0,high
backend-api,4,push_files,5,5,5,100.0,critical,5,100.0,critical,5,100.0,critical,5,100.0,critical
backend-api,4,create_issue,4,,,,na,,,na,,,na,,,na
backend-api,4,create_pull_request,4,2,2,32.0,medium,3,48.0,medium,2,32.0,medium,3,48.0,medium
backend-api,4,fork_repository,4,5,5,80.0,high,5,80.0,high,5,80.0,high,5,80.0,high
backend-api,4,create_branch,4,1,2,32.0,medium,3,48.0,medium,2,32.0,medium,3,48.0,medium
backend-api,4,list_commits,2,2,2,16.0,low,2,16.0,low,2,16.0,low,2,16.0,low
backend-api,4,list_issues,2,2,2,16.0,low,2,16.0,low,2,16.0,low,2,16.0,low
backend-api,4,update_issue,4,,,,na,,,na,,,na,,,na
backend-api,4,add_issue_comment,4,,,,na,,,na,,,na,,,na
backend-api,4,search_code,3,3,3,36.0,medium,3,36.0,medium,3,36.0,medium,3,36.0,medium
backend-api,4,search_issues,3,,,,na,,,na,,,na,,,na
backend-api,4,search_users,2,,,,na,,,na,,,na,,,na
backend-api,4,get_issue,3,,,,na,,,na,,,na,,,na
backend-api,4,get_pull_request,3,1,2,24.0,medium,3,36.0,medium,1,12.0,medium,1,12.0,medium
backend-api,4,list_pull_requests,2,3,3,24.0,medium,3,24.0,medium,3,24.0,medium,3,24.0,medium
backend-api,4,create_pull_request_review,4,1,2,32.0,medium,3,48.0,medium,2,32.0,medium,3,48.0,medium
backend-api,4,merge_pull_request,5,5,5,100.0,critical,5,100.0,critical,5,100.0,critical,5,100.0,critical
backend-api,4,get_pull_request_files,2,2,2,16.0,low,2,16.0,low,2,16.0,low,2,16.0,low
backend-api,4,get_pull_request_status,3,1,2,24.0,medium,3,36.0,medium,1,12.0,medium,1,12.0,medium
backend-api,4,update_pull_request_branch,4,3,3,48.0,medium,3,48.0,medium,3,48.0,medium,3,48.0,medium
backend-api,4,get_pull_request_comments,3,,,,na,,,na,,,na,,,na
backend-api,4,get_pull_request_reviews,3,,,,na,,,na,,,na,,,na
payments-service,4,create_or_update_file,5,1,2,40.0,high,3,60.0,high,2,40.0,high,3,60.0,high
payments-service,4,search_repositories,2,,,,na,,,na,,,na,,,na
payments-service,4,create_repository,4,,,,na,,,na,,,na,,,na
payments-service,4,get_file_contents,3,5,5,60.0,high,5,60.0,high,5,60.0,high,5,60.0,high
payments-service,4,push_files,5,5,5,100.0,critical,5,100.0,critical,5,100.0,critical,5,100.0,critical
payments-service,4,create_issue,4,1,2,32.0,medium,3,48.0,medium,2,32.0,medium,3,48.0,medium
payments-service,4,create_pull_request,4,2,2,32.0,medium,3,48.0,medium,2,32.0,medium,3,48.0,medium
payments-service,4,fork_repository,4,5,5,80.0,high,5,80.0,high,5,80.0,high,5,80.0,high
payments-service,4,create_branch,4,2,2,32.0,medium,3,48.0,medium,2,32.0,medium,3,48.0,medium
payments-service,4,list_commits,2,2,2,16.0,low,2,16.0,low,2,16.0,low,2,16.0,low
payments-service,4,list_issues,2,2,2,16.0,low,2,16.0,low,2,16.0,low,2,16.0,low
payments-service,4,update_issue,4,,,,na,,,na,,,na,,,na
payments-service,4,add_issue_comment,4,,,,na,,,na,,,na,,,na
payments-service,4,search_code,3,3,3,36.0,medium,3,36.0,medium,3,36.0,medium,3,36.0,medium
payments-service,4,search_issues,3,2,2,24.0,medium,3,36.0,medium,2,24.0,medium,2,24.0,medium
payments-service,4,search_users,2,,,,na,,,na,,,na,,,na
payments-service,4,get_issue,3,,,,na,,,na,,,na,,,na
payments-service,4,get_pull_request,3,1,2,24.0,medium,3,36.0,medium,1,12.0,medium,1,12.0,medium
payments-service,4,list_pull_requests,2,3,3,24.0,medium,3,24.0,medium,3,24.0,medium,3,24.0,medium
payments-service,4,create_pull_request_review,4,,,,na,,,na,,,na,,,na
payments-service,4,merge_pull_request,5,5,5,100.0,critical,5,100.0,critical,5,100.0,critical,5,100.0,critical
payments-service,4,get_pull_request_files,2,2,2,16.0,low,2,16.0,low,2,16.0,low,2,16.0,low
payments-service,4,get_pull_request_status,3,,,,na,,,na,,,na,,,na
payments-service,4,update_pull_request_branch,4,3,3,48.0,medium,3,48.0,medium,3,48.0,medium,3,48.0,medium
payments-service,4,get_pull_request_comments,3,,,,na,,,na,,,na,,,na
payments-service,4,get_pull_request_reviews,3,,,,na,,,na,,,na,,,na
infra-config,5,create_or_update_file,5,5,5,125.0,critical,5,125.0,critical,5,125.0,critical,5,125.0,critical
infra-config,5,search_repositories,2,,,,na,,,na,,,na,,,na
infra-config,5,create_repository,4,,,,na,,,na,,,na,,,na
infra-config,5,get_file_contents,3,5,5,75.0,high,5,75.0,high,5,75.0,high,5,75.0,high
infra-config,5,push_files,5,5,5,125.0,critical,5,125.0,critical,5,125.0,critical,5,125.0,critical
infra-config,5,create_issue,4,,,,na,,,na,,,na,,,na
infra-config,5,create_pull_request,4,2,4,80.0,high,4,80.0,high,4,80.0,high,4,80.0,high
infra-config,5,fork_repository,4,5,5,100.0,high,5,100.0,high,5,100.0,high,5,100.0,high
infra-config,5,create_branch,4,2,4,80.0,high,4,80.0,high,4,80.0,high,4,80.0,high
infra-config,5,list_commits,2,2,2,20.0,medium,2,20.0,medium,2,20.0,medium,2,20.0,medium
infra-config,5,list_issues,2,,,,na,,,na,,,na,,,na
infra-config,5,update_issue,4,,,,na,,,na,,,na,,,na
infra-config,5,add_issue_comment,4,,,,na,,,na,,,na,,,na
infra-config,5,search_code,3,2,4,60.0,high,4,60.0,high,2,30.0,medium,2,30.0,medium
infra-config,5,search_issues,3,,,,na,,,na,,,na,,,na
infra-config,5,search_users,2,,,,na,,,na,,,na,,,na
infra-config,5,get_issue,3,,,,na,,,na,,,na,,,na
infra-config,5,get_pull_request,3,,,,na,,,na,,,na,,,na
infra-config,5,list_pull_requests,2,,,,na,,,na,,,na,,,na
infra-config,5,create_pull_request_review,4,,,,na,,,na,,,na,,,na
infra-config,5,merge_pull_request,5,5,5,125.0,critical,5,125.0,critical,5,125.0,critical,5,125.0,critical
infra-config,5,get_pull_request_files,2,2,2,20.0,medium,2,20.0,medium,2,20.0,medium,2,20.0,medium
infra-config,5,get_pull_request_status,3,,,,na,,,na,,,na,,,na
infra-config,5,update_pull_request_branch,4,5,5,100.0,high,5,100.0,high,5,100.0,high,5,100.0,high
infra-config,5,get_pull_request_comments,3,,,,na,,,na,,,na,,,na
infra-config,5,get_pull_request_reviews,3,,,,na,,,na,,,na,,,na
ml-research,4,create_or_update_file,5,1,2,40.0,high,3,60.0,high,2,40.0,high,3,60.0,high
ml-research,4,search_repositories,2,2,2,16.0,low,2,16.0,low,2,16.0,low,2,16.0,low
ml-research,4,create_repository,4,,,,na,,,na,,,na,,,na
