asset,sens,tool,impact,blast_raw,blast_g3_s4f2,score_g3_s4f2,band_g3_s4f2,blast_g3_s4f3,score_g3_s4f3,band_g3_s4f3,blast_g4_s4f2,score_g4_s4f2,band_g4_s4f2,blast_g4_s4f3,score_g4_s4f3,band_g4_s4f3
general,1,channels_list,2,1,1,2.0,low,1,2.0,low,1,2.0,low,1,2.0,low
general,1,channels_me,2,1,1,2.0,low,1,2.0,low,1,2.0,low,1,2.0,low
general,1,conversations_add_message,4,1,1,4.0,low,1,4.0,low,1,4.0,low,1,4.0,low
general,1,conversations_history,3,4,4,12.0,low,4,12.0,low,4,12.0,low,4,12.0,low
general,1,conversations_join,4,1,1,4.0,low,1,4.0,low,1,4.0,low,1,4.0,low
general,1,conversations_leave,4,1,1,4.0,low,1,4.0,low,1,4.0,low,1,4.0,low
general,1,conversations_mark,2,1,1,2.0,low,1,2.0,low,1,2.0,low,1,2.0,low
general,1,conversations_replies,3,2,2,6.0,low,2,6.0,low,2,6.0,low,2,6.0,low
general,1,conversations_search_messages,3,3,3,9.0,low,3,9.0,low,3,9.0,low,3,9.0,low
general,1,conversations_unreads,3,2,2,6.0,low,2,6.0,low,2,6.0,low,2,6.0,low
general,1,usergroups_create,4,,,,na,,,na,,,na,,,na
general,1,usergroups_list,2,,,,na,,,na,,,na,,,na
general,1,usergroups_me,4,,,,na,,,na,,,na,,,na
general,1,usergroups_update,4,,,,na,,,na,,,na,,,na
general,1,usergroups_users_update,4,,,,na,,,na,,,na,,,na
general,1,users_search,3,,,,na,,,na,,,na,,,na
announcements,1,channels_list,2,1,1,2.0,low,1,2.0,low,1,2.0,low,1,2.0,low
announcements,1,channels_me,2,1,1,2.0,low,1,2.0,low,1,2.0,low,1,2.0,low
announcements,1,conversations_add_message,4,1,1,4.0,low,1,4.0,low,1,4.0,low,1,4.0,low
announcements,1,conversations_history,3,4,4,12.0,low,4,12.0,low,4,12.0,low,4,12.0,low
announcements,1,conversations_join,4,1,1,4.0,low,1,4.0,low,1,4.0,low,1,4.0,low
announcements,1,conversations_leave,4,1,1,4.0,low,1,4.0,low,1,4.0,low,1,4.0,low
announcements,1,conversations_mark,2,1,1,2.0,low,1,2.0,low,1,2.0,low,1,2.0,low
announcements,1,conversations_replies,3,3,3,9.0,low,3,9.0,low,3,9.0,low,3,9.0,low
announcements,1,conversations_search_messages,3,4,4,12.0,low,4,12.0,low,4,12.0,low,4,12.0,low
announcements,1,conversations_unreads,3,1,1,3.0,low,1,3.0,low,1,3.0,low,1,3.0,low
announcements,1,usergroups_create,4,,,,na,,,na,,,na,,,na
announcements,1,usergroups_list,2,,,,na,,,na,,,na,,,na
announcements,1,usergroups_me,4,,,,na,,,na,,,na,,,na
announcements,1,usergroups_update,4,,,,na,,,na,,,na,,,na
announcements,1,usergroups_users_update,4,,,,na,,,na,,,na,,,na
announcements,1,users_search,3,,,,na,,,na,,,na,,,na
random,1,channels_list,2,1,1,2.0,low,1,2.0,low,1,2.0,low,1,2.0,low
random,1,channels_me,2,1,1,2.0,low,1,2.0,low,1,2.0,low,1,2.0,low
random,1,conversations_add_message,4,1,1,4.0,low,1,4.0,low,1,4.0,low,1,4.0,low
random,1,conversations_history,3,4,4,12.0,low,4,12.0,low,4,12.0,low,4,12.0,low
random,1,conversations_join,4,1,1,4.0,low,1,4.0,low,1,4.0,low,1,4.0,low
random,1,conversations_leave,4,1,1,4.0,low,1,4.0,low,1,4.0,low,1,4.0,low
random,1,conversations_mark,2,2,2,4.0,low,2,4.0,low,2,4.0,low,2,4.0,low
random,1,conversations_replies,3,2,2,6.0,low,2,6.0,low,2,6.0,low,2,6.0,low
random,1,conversations_search_messages,3,4,4,12.0,low,4,12.0,low,4,12.0,low,4,12.0,low
random,1,conversations_unreads,3,2,2,6.0,low,2,6.0,low,2,6.0,low,2,6.0,low
random,1,usergroups_create,4,,,,na,,,na,,,na,,,na
random,1,usergroups_list,2,,,,na,,,na,,,na,,,na
random,1,usergroups_me,4,,,,na,,,na,,,na,,,na
