asset,tool,sensitivity,blast,impact,score,band
README.md,read_file,1,1,3,3,low
README.md,read_text_file,1,1,3,3,low
README.md,read_media_file,1,N/A,3,N/A,na
README.md,read_multiple_files,1,N/A,3,N/A,na
README.md,write_file,1,1,5,5,medium
README.md,edit_file,1,1,4,4,low
README.md,create_directory,1,N/A,4,N/A,na
README.md,list_directory,1,N/A,2,N/A,na
README.md,list_directory_with_sizes,1,N/A,2,N/A,na
README.md,directory_tree,1,N/A,2,N/A,na
README.md,move_file,1,1,4,4,low
README.md,search_files,1,1,2,2,low
README.md,get_file_info,1,1,2,2,low
README.md,list_allowed_directories,1,N/A,2,N/A,na
onboarding/org_chart.png,read_file,2,1,3,6,low
onboarding/org_chart.png,read_text_file,2,1,3,6,low
onboarding/org_chart.png,read_media_file,2,1,3,6,low
onboarding/org_chart.png,read_multiple_files,2,1,3,6,low
onboarding/org_chart.png,write_file,2,1,5,10,medium
onboarding/org_chart.png,edit_file,2,N/A,4,N/A,na
onboarding/org_chart.png,create_directory,2,N/A,4,N/A,na
onboarding/org_chart.png,list_directory,2,N/A,2,N/A,na
onboarding/org_chart.png,list_directory_with_sizes,2,1,2,4,low
onboarding/org_chart.png,directory_tree,2,1,2,4,low
onboarding/org_chart.png,move_file,2,1,4,8,low
onboarding/org_chart.png,search_files,2,1,2,4,low
onboarding/org_chart.png,get_file_info,2,1,2,4,low
onboarding/org_chart.png,list_allowed_directories,2,N/A,2,N/A,na
projects/db_schema.sql,read_file,3,1,3,9,low
projects/db_schema.sql,read_text_file,3,1,3,9,low
projects/db_schema.sql,read_media_file,3,N/A,3,N/A,na
projects/db_schema.sql,read_multiple_files,3,1,3,9,low
projects/db_schema.sql,write_file,3,1,5,15,high
projects/db_schema.sql,edit_file,3,1,4,12,low
projects/db_schema.sql,create_directory,3,N/A,4,N/A,na
projects/db_schema.sql,list_directory,3,N/A,2,N/A,na
projects/db_schema.sql,list_directory_with_sizes,3,1,2,6,low
projects/db_schema.sql,directory_tree,3,1,2,6,low
projects/db_schema.sql,move_file,3,1,4,12,low
projects/db_schema.sql,search_files,3,1,2,6,low
projects/db_schema.sql,get_file_info,3,1,2,6,low
projects/db_schema.sql,list_allowed_directories,3,N/A,2,N/A,na
projects/known_defects.csv,read_file,3,4,3,36,medium
projects/known_defects.csv,read_text_file,3,4,3,36,medium
projects/known_defects.csv,read_media_file,3,N/A,3,N/A,na
projects/known_defects.csv,read_multiple_files,3,1,3,9,low
projects/known_defects.csv,write_file,3,2,5,30,high
projects/known_defects.csv,edit_file,3,1,4,12,low
projects/known_defects.csv,create_directory,3,N/A,4,N/A,na
projects/known_defects.csv,list_directory,3,N/A,2,N/A,na
projects/known_defects.csv,list_directory_with_sizes,3,N/A,2,N/A,na
projects/known_defects.csv,directory_tree,3,1,2,6,low
projects/known_defects.csv,move_file,3,2,4,24,medium
projects/known_defects.csv,search_files,3,1,2,6,low
projects/known_defects.csv,get_file_info,3,1,2,6,low
projects/known_defects.csv,list_allowed_directories,3,N/A,2,N/A,na
sensitive/financials/payslips_q1.csv,read_file,4,5,3,60,high
sensitive/financials/payslips_q1.csv,read_text_file,4,5,3,60,high
sensitive/financials/payslips_q1.csv,read_media_file,4,N/A,3,N/A,na
sensitive/financials/payslips_q1.csv,read_multiple_files,4,5,3,60,high
sensitive/financials/payslips_q1.csv,write_file,4,5,5,100,critical
sensitive/financials/payslips_q1.csv,edit_file,4,4,4,64,high
sensitive/financials/payslips_q1.csv,create_directory,4,N/A,4,N/A,na
sensitive/financials/payslips_q1.csv,list_directory,4,N/A,2,N/A,na
sensitive/financials/payslips_q1.csv,list_directory_with_sizes,4,N/A,2,N/A,na
sensitive/financials/payslips_q1.csv,directory_tree,4,1,2,8,low
sensitive/financials/payslips_q1.csv,move_file,4,3,4,48,medium
sensitive/financials/payslips_q1.csv,search_files,4,1,2,8,low
sensitive/financials/payslips_q1.csv,get_file_info,4,1,2,8,low
sensitive/financials/payslips_q1.csv,list_allowed_directories,4,N/A,2,N/A,na
sensitive/security/audit_log.txt,read_file,4,5,3,60,high
sensitive/security/audit_log.txt,read_text_file,4,5,3,60,high
sensitive/security/audit_log.txt,read_media_file,4,N/A,3,N/A,na
sensitive/security/audit_log.txt,read_multiple_files,4,2,3,24,medium
sensitive/security/audit_log.txt,write_file,4,3,5,60,high
sensitive/security/audit_log.txt,edit_file,4,4,4,64,high
sensitive/security/audit_log.txt,create_directory,4,N/A,4,N/A,na
sensitive/security/audit_log.txt,list_directory,4,N/A,2,N/A,na
sensitive/security/audit_log.txt,list_directory_with_sizes,4,2,2,16,low
sensitive/security/audit_log.txt,directory_tree,4,2,2,16,low
sensitive/security/audit_log.txt,move_file,4,3,4,48,medium
sensitive/security/audit_log.txt,search_files,4,1,2,8,low
sensitive/security/audit_log.txt,get_file_info,4,1,2,8,low
sensitive/security/audit_log.txt,list_allowed_directories,4,N/A,2,N/A,na
sensitive/security/private_key.pem,read_file,5,5,3,75,high
sensitive/security/private_key.pem,read_text_file,5,5,3,75,high
sensitive/security/private_key.pem,read_media_file,5,N/A,3,N/A,na
sensitive/security/private_key.pem,read_multiple_files,5,5,3,75,high
sensitive/security/private_key.pem,write_file,5,5,5,125,critical
sensitive/security/private_key.pem,edit_file,5,5,4,100,high
sensitive/security/private_key.pem,create_directory,5,N/A,4,N/A,na
sensitive/security/private_key.pem,list_directory,5,N/A,2,N/A,na
sensitive/security/private_key.pem,list_directory_with_sizes,5,1,2,10,low
sensitive/security/private_key.pem,directory_tree,5,2,2,20,medium
sensitive/security/private_key.pem,move_file,5,5,4,100,high
sensitive/security/private_key.pem,search_files,5,2,2,20,medium
sensitive/security/private_key.pem,get_file_info,5,1,2,10,low
sensitive/security/private_key.pem,list_allowed_directories,5,N/A,2,N/A,na
source_code/core.c,read_file,4,1,3,12,medium
source_code/core.c,read_text_file,4,1,3,12,medium
source_code/core.c,read_media_file,4,N/A,3,N/A,na
source_code/core.c,read_multiple_files,4,1,3,12,medium
source_code/core.c,write_file,4,3,5,60,high
source_code/core.c,edit_file,4,4,4,64,high
source_code/core.c,create_directory,4,N/A,4,N/A,na
source_code/core.c,list_directory,4,N/A,2,N/A,na
source_code/core.c,list_directory_with_sizes,4,N/A,2,N/A,na
source_code/core.c,directory_tree,4,N/A,2,N/A,na
source_code/core.c,move_file,4,3,4,48,medium
source_code/core.c,search_files,4,1,2,8,low
source_code/core.c,get_file_info,4,1,2,8,low
source_code/core.c,list_allowed_directories,4,N/A,2,N/A,na
/,read_file,5,5,3,75,high
/,read_text_file,5,5,3,75,high
/,read_media_file,5,3,3,45,medium
/,read_multiple_files,5,5,3,75,high
