asset,tool,sensitivity,blast,impact,score,band
personal,list-calendars,3,1,2,6,low
personal,list-events,3,4,2,24,medium
personal,search-events,3,2,3,18,medium
personal,get-event,3,1,3,9,low
personal,list-colors,3,N/A,2,N/A,na
personal,create-event,3,1,4,12,low
personal,create-events,3,3,4,36,medium
personal,update-event,3,1,4,12,low
personal,delete-event,3,1,5,15,high
personal,get-freebusy,3,4,2,24,medium
personal,get-current-time,3,N/A,1,N/A,na
personal,respond-to-event,3,1,4,12,low
personal,manage-accounts,3,N/A,4,N/A,na
team,list-calendars,3,1,2,6,low
team,list-events,3,3,2,18,medium
team,search-events,3,3,3,27,medium
team,get-event,3,1,3,9,low
team,list-colors,3,N/A,2,N/A,na
team,create-event,3,1,4,12,low
team,create-events,3,3,4,36,medium
team,update-event,3,1,4,12,low
team,delete-event,3,1,5,15,high
team,get-freebusy,3,3,2,18,medium
team,get-current-time,3,N/A,1,N/A,na
team,respond-to-event,3,1,4,12,low
team,manage-accounts,3,N/A,4,N/A,na
executive,list-calendars,4,2,2,16,low
executive,list-events,4,3,2,24,medium
executive,search-events,4,3,3,36,medium
executive,get-event,4,1,3,12,medium
executive,list-colors,4,N/A,2,N/A,na
executive,create-event,4,3,4,48,medium
executive,create-events,4,3,4,48,medium
executive,update-event,4,3,4,48,medium
executive,delete-event,4,3,5,60,high
executive,get-freebusy,4,3,2,24,medium
executive,get-current-time,4,N/A,1,N/A,na
executive,respond-to-event,4,3,4,48,medium
executive,manage-accounts,4,N/A,4,N/A,na
recruiting,list-calendars,4,1,2,8,low
recruiting,list-events,4,4,2,32,medium
recruiting,search-events,4,3,3,36,medium
recruiting,get-event,4,1,3,12,medium
recruiting,list-colors,4,N/A,2,N/A,na
recruiting,create-event,4,3,4,48,medium
recruiting,create-events,4,3,4,48,medium
recruiting,update-event,4,3,4,48,medium
recruiting,delete-event,4,3,5,60,high
recruiting,get-freebusy,4,2,2,16,low
recruiting,get-current-time,4,N/A,1,N/A,na
recruiting,respond-to-event,4,3,4,48,medium
recruiting,manage-accounts,4,N/A,4,N/A,na
contacts,list-calendars,4,N/A,2,N/A,na
contacts,list-events,4,N/A,2,N/A,na
contacts,search-events,4,N/A,3,N/A,na
contacts,get-event,4,N/A,3,N/A,na
contacts,list-colors,4,N/A,2,N/A,na
contacts,create-event,4,N/A,4,N/A,na
contacts,create-events,4,N/A,4,N/A,na
contacts,update-event,4,N/A,4,N/A,na
contacts,delete-event,4,N/A,5,N/A,na
contacts,get-freebusy,4,N/A,2,N/A,na
contacts,get-current-time,4,N/A,1,N/A,na
contacts,respond-to-event,4,N/A,4,N/A,na
contacts,manage-accounts,4,N/A,4,N/A,na
holidays,list-calendars,1,1,2,2,low
holidays,list-events,1,4,2,8,low
holidays,search-events,1,2,3,6,low
holidays,get-event,1,1,3,3,low
holidays,list-colors,1,N/A,2,N/A,na
holidays,create-event,1,1,4,4,low
holidays,create-events,1,2,4,8,low
holidays,update-event,1,1,4,4,low
holidays,delete-event,1,N/A,5,N/A,na
holidays,get-freebusy,1,2,2,4,low
holidays,get-current-time,1,N/A,1,N/A,na
holidays,respond-to-event,1,N/A,4,N/A,na
holidays,manage-accounts,1,N/A,4,N/A,na
event-records,list-calendars,3,N/A,2,N/A,na
event-records,list-events,3,3,2,18,medium
event-records,search-events,3,3,3,27,medium
event-records,get-event,3,1,3,9,low
event-records,list-colors,3,N/A,2,N/A,na
event-records,create-event,3,1,4,12,low
event-records,create-events,3,3,4,36,medium
event-records,update-event,3,1,4,12,low
event-records,delete-event,3,1,5,15,high
event-records,get-freebusy,3,N/A,2,N/A,na
event-records,get-current-time,3,N/A,1,N/A,na
event-records,respond-to-event,3,1,4,12,low
event-records,manage-accounts,3,N/A,4,N/A,na
event-attendee-lists,list-calendars,4,N/A,2,N/A,na
event-attendee-lists,list-events,4,5,2,40,medium
event-attendee-lists,search-events,4,3,3,36,medium
event-attendee-lists,get-event,4,1,3,12,medium
event-attendee-lists,list-colors,4,N/A,2,N/A,na
event-attendee-lists,create-event,4,3,4,48,medium
event-attendee-lists,create-events,4,3,4,48,medium
event-attendee-lists,update-event,4,3,4,48,medium
event-attendee-lists,delete-event,4,3,5,60,high
event-attendee-lists,get-freebusy,4,N/A,2,N/A,na
event-attendee-lists,get-current-time,4,N/A,1,N/A,na
event-attendee-lists,respond-to-event,4,N/A,4,N/A,na
event-attendee-lists,manage-accounts,4,N/A,4,N/A,na
outbound-invite-email,list-calendars,4,N/A,2,N/A,na
outbound-invite-email,list-events,4,N/A,2,N/A,na
outbound-invite-email,search-events,4,N/A,3,N/A,na
outbound-invite-email,get-event,4,N/A,3,N/A,na
outbound-invite-email,list-colors,4,N/A,2,N/A,na
outbound-invite-email,create-event,4,N/A,4,N/A,na
outbound-invite-email,create-events,4,N/A,4,N/A,na
outbound-invite-email,update-event,4,N/A,4,N/A,na
outbound-invite-email,delete-event,4,N/A,5,N/A,na
outbound-invite-email,get-freebusy,4,N/A,2,N/A,na
outbound-invite-email,get-current-time,4,N/A,1,N/A,na
outbound-invite-email,respond-to-event,4,3,4,48,medium
outbound-invite-email,manage-accounts,4,N/A,4,N/A,na
rsvp-state,list-calendars,2,N/A,2,N/A,na
rsvp-state,list-events,2,N/A,2,N/A,na
rsvp-state,search-events,2,N/A,3,N/A,na
rsvp-state,get-event,2,N/A,3,N/A,na
rsvp-state,list-colors,2,N/A,2,N/A,na
rsvp-state,create-event,2,N/A,4,N/A,na
rsvp-state,create-events,2,N/A,4,N/A,na
rsvp-state,update-event,2,N/A,4,N/A,na
rsvp-state,delete-event,2,N/A,5,N/A,na
rsvp-state,get-freebusy,2,N/A,2,N/A,na
rsvp-state,get-current-time,2,N/A,1,N/A,na
rsvp-state,respond-to-event,2,2,4,16,low
rsvp-state,manage-accounts,2,N/A,4,N/A,na
connected-account-config,list-calendars,5,N/A,2,N/A,na
connected-account-config,list-events,5,N/A,2,N/A,na
connected-account-config,search-events,5,N/A,3,N/A,na
connected-account-config,get-event,5,N/A,3,N/A,na
connected-account-config,list-colors,5,N/A,2,N/A,na
connected-account-config,create-event,5,N/A,4,N/A,na
connected-account-config,create-events,5,N/A,4,N/A,na
connected-account-config,update-event,5,N/A,4,N/A,na
