asset,tool,sens,impact,flags,blast_none,blast_conservative,blast_user,blast_aggressive,band_none,band_conservative,band_user,band_aggressive
personal,list-events,3,3,,3,3,3,3,medium,medium,medium,medium
personal,search-events,3,3,,3,3,3,3,medium,medium,medium,medium
personal,get-event,3,3,,1,1,1,1,low,low,low,low
personal,create-event,3,4,,2,2,2,2,medium,medium,medium,medium
personal,create-events,3,5,,3,3,3,3,medium,medium,medium,medium
personal,update-event,3,4,,2,2,2,2,medium,medium,medium,medium
personal,delete-event,3,5,,3,3,3,3,medium,medium,medium,medium
personal,get-freebusy,3,2,,3,3,3,3,medium,medium,medium,medium
personal,respond-to-event,3,5,,3,3,3,3,medium,medium,medium,medium
team,list-calendars,3,2,,2,2,2,2,low,low,low,low
team,list-events,3,3,,3,3,3,3,medium,medium,medium,medium
team,search-events,3,3,,3,3,3,3,medium,medium,medium,medium
team,get-event,3,3,,1,1,1,1,low,low,low,low
team,create-event,3,4,,2,2,2,2,medium,medium,medium,medium
team,create-events,3,5,,3,3,3,3,medium,medium,medium,medium
team,update-event,3,4,,2,2,2,2,medium,medium,medium,medium
team,delete-event,3,5,,3,3,3,3,medium,medium,medium,medium
team,get-freebusy,3,2,,3,3,3,3,medium,medium,medium,medium
team,respond-to-event,3,5,,3,3,3,3,medium,medium,medium,medium
executive,list-calendars,4,2,,1,1,1,1,low,low,low,low
executive,list-events,4,3,,4,4,4,4,medium,medium,medium,medium
executive,search-events,4,3,,3,3,3,3,medium,medium,medium,medium
executive,get-event,4,3,,1,1,1,1,low,low,low,low
executive,create-event,4,4,,3,3,3,3,medium,medium,medium,medium
executive,create-events,4,5,,4,4,4,4,high,high,high,high
executive,update-event,4,4,,3,3,3,3,medium,medium,medium,medium
executive,delete-event,4,5,,3,3,3,3,high,high,high,high
executive,get-freebusy,4,2,,4,4,3,4,medium,medium,medium,medium
executive,respond-to-event,4,5,,3,3,3,3,high,high,high,high
recruiting,list-calendars,4,2,,1,1,1,1,low,low,low,low
recruiting,list-events,4,3,,4,4,4,4,medium,medium,medium,medium
recruiting,search-events,4,3,,4,4,4,4,medium,medium,medium,medium
recruiting,get-event,4,3,,1,1,1,1,low,low,low,low
recruiting,create-event,4,4,,3,3,3,3,medium,medium,medium,medium
recruiting,create-events,4,5,,4,4,4,4,high,high,high,high
recruiting,update-event,4,4,,3,3,3,3,medium,medium,medium,medium
recruiting,delete-event,4,5,,3,3,3,3,high,high,high,high
recruiting,get-freebusy,4,2,,3,3,3,3,medium,medium,medium,medium
recruiting,respond-to-event,4,5,,3,3,3,3,high,high,high,high
holidays,list-calendars,1,2,public,1,1,1,1,low,low,low,low
holidays,list-events,1,3,public,4,4,3,3,low,low,low,low
holidays,search-events,1,3,public,2,2,2,2,low,low,low,low
holidays,get-event,1,3,public,1,1,1,1,low,low,low,low
holidays,update-event,1,4,public,2,2,2,2,low,low,low,low
holidays,delete-event,1,5,public,3,3,3,3,low,low,low,low
holidays,get-freebusy,1,2,public,3,3,3,2,low,low,low,low
event-records,list-events,3,3,,3,3,3,3,medium,medium,medium,medium
event-records,search-events,3,3,,3,3,3,3,medium,medium,medium,medium
event-records,get-event,3,3,,1,1,1,1,low,low,low,low
event-records,create-event,3,4,,2,2,2,2,medium,medium,medium,medium
event-records,create-events,3,5,,3,3,3,3,medium,medium,medium,medium
event-records,update-event,3,4,,2,2,2,2,medium,medium,medium,medium
event-records,delete-event,3,5,,3,3,3,3,medium,medium,medium,medium
event-records,respond-to-event,3,5,,3,3,3,3,medium,medium,medium,medium
event-attendee-lists,list-events,4,3,population,3,3,3,3,medium,medium,medium,medium
event-attendee-lists,search-events,4,3,population,3,3,3,3,medium,medium,medium,medium
event-attendee-lists,get-event,4,3,population,1,1,1,1,low,low,low,low
event-attendee-lists,create-event,4,4,population,3,3,3,3,medium,medium,medium,medium
event-attendee-lists,create-events,4,5,population,4,4,4,4,high,high,high,high
event-attendee-lists,update-event,4,4,population,3,3,3,3,medium,medium,medium,medium
event-attendee-lists,delete-event,4,5,population,3,3,3,3,high,high,high,high
rsvp-state,respond-to-event,2,5,metadata-only,3,3,3,3,medium,medium,medium,medium
connected-account-config,manage-accounts,5,5,self-sufficient|hub,5,5,5,5,critical,critical,critical,critical
free-busy-availability,list-events,3,3,metadata-only,3,3,3,3,medium,medium,medium,medium
free-busy-availability,search-events,3,3,metadata-only,3,3,3,3,medium,medium,medium,medium
free-busy-availability,delete-event,3,5,metadata-only,3,3,3,3,medium,medium,medium,medium
free-busy-availability,get-freebusy,3,2,metadata-only,4,4,3,4,medium,medium,medium,medium
calendar-directory,list-calendars,2,2,metadata-only,2,2,2,2,low,low,low,low
calendar-directory,get-freebusy,2,2,metadata-only,4,4,3,2,low,low,low,low
color-catalog,list-colors,1,2,public,4,4,3,2,low,low,low,low
calendar-records,list-calendars,3,2,,4,4,3,4,medium,medium,medium,medium
calendar-records,create-events,3,5,,3,3,3,3,medium,medium,medium,medium
account-directory,list-calendars,4,2,metadata-only,4,4,3,4,medium,medium,medium,medium
account-directory,manage-accounts,4,5,metadata-only,5,5,5,5,critical,critical,critical,critical
