asset,tool,sensitivity,blast,impact,score,band
general,channels_list,1,2,2,4,low
general,channels_me,1,1,2,2,low
general,conversations_add_message,1,2,4,8,low
general,conversations_history,1,4,3,12,low
general,conversations_join,1,2,4,8,low
general,conversations_leave,1,2,4,8,low
general,conversations_mark,1,1,2,2,low
general,conversations_replies,1,3,3,9,low
general,conversations_search_messages,1,3,3,9,low
general,conversations_unreads,1,1,3,3,low
general,usergroups_create,1,N/A,4,N/A,na
general,usergroups_list,1,N/A,2,N/A,na
general,usergroups_me,1,N/A,5,N/A,na
general,usergroups_update,1,N/A,4,N/A,na
general,usergroups_users_update,1,N/A,5,N/A,na
general,users_search,1,N/A,3,N/A,na
announcements,channels_list,1,1,2,2,low
announcements,channels_me,1,1,2,2,low
announcements,conversations_add_message,1,2,4,8,low
announcements,conversations_history,1,4,3,12,low
announcements,conversations_join,1,2,4,8,low
announcements,conversations_leave,1,2,4,8,low
announcements,conversations_mark,1,4,2,8,low
announcements,conversations_replies,1,1,3,3,low
announcements,conversations_search_messages,1,3,3,9,low
announcements,conversations_unreads,1,1,3,3,low
announcements,usergroups_create,1,N/A,4,N/A,na
announcements,usergroups_list,1,N/A,2,N/A,na
announcements,usergroups_me,1,N/A,5,N/A,na
announcements,usergroups_update,1,N/A,4,N/A,na
announcements,usergroups_users_update,1,N/A,5,N/A,na
announcements,users_search,1,N/A,3,N/A,na
random,channels_list,1,1,2,2,low
random,channels_me,1,1,2,2,low
random,conversations_add_message,1,2,4,8,low
random,conversations_history,1,4,3,12,low
random,conversations_join,1,2,4,8,low
random,conversations_leave,1,2,4,8,low
random,conversations_mark,1,1,2,2,low
random,conversations_replies,1,3,3,9,low
random,conversations_search_messages,1,1,3,3,low
random,conversations_unreads,1,1,3,3,low
random,usergroups_create,1,N/A,4,N/A,na
random,usergroups_list,1,N/A,2,N/A,na
random,usergroups_me,1,N/A,5,N/A,na
random,usergroups_update,1,N/A,4,N/A,na
random,usergroups_users_update,1,N/A,5,N/A,na
random,users_search,1,N/A,3,N/A,na
engineering,channels_list,3,2,2,12,low
engineering,channels_me,3,1,2,6,low
engineering,conversations_add_message,3,2,4,24,medium
engineering,conversations_history,3,4,3,36,medium
engineering,conversations_join,3,2,4,24,medium
engineering,conversations_leave,3,2,4,24,medium
engineering,conversations_mark,3,1,2,6,low
engineering,conversations_replies,3,2,3,18,medium
engineering,conversations_search_messages,3,3,3,27,medium
engineering,conversations_unreads,3,3,3,27,medium
engineering,usergroups_create,3,N/A,4,N/A,na
engineering,usergroups_list,3,N/A,2,N/A,na
engineering,usergroups_me,3,N/A,5,N/A,na
engineering,usergroups_update,3,N/A,4,N/A,na
engineering,usergroups_users_update,3,N/A,5,N/A,na
engineering,users_search,3,N/A,3,N/A,na
