server,asset,org_truth,v5_derived,error,v4_from_table,flags
calendar_real,connected-account-config,5,5,0,5,"self-sufficient,hub"
calendar_real,contacts,4,4,0,4,population
calendar_real,event-attendee-lists,4,4,0,4,population
calendar_real,executive,4,4,0,4,
calendar_real,recruiting,4,4,0,4,
calendar_real,outbound-invite-email,4,4,0,4,
calendar_real,account-directory,4,5,1,4,metadata-only
calendar_real,personal,3,3,0,3,
calendar_real,team,3,3,0,3,
calendar_real,event-records,3,3,0,3,
calendar_real,calendar-records,3,2,-1,3,
calendar_real,free-busy-availability,3,3,0,3,metadata-only
calendar_real,calendar-directory,2,2,0,2,metadata-only
calendar_real,rsvp-state,2,2,0,2,metadata-only
calendar_real,holidays,1,1,0,1,public
calendar_real,color-catalog,1,1,0,1,public
github_real,infra-config,5,4,-1,5,hub
github_real,payments-service,4,4,0,4,hub
github_real,backend-api,4,4,0,4,hub
github_real,ml-research,4,4,0,4,
github_real,internal-docs,3,3,0,3,
github_real,public-website,1,1,0,1,public
github_real,repository-contents,4,4,0,4,
github_real,code-records,4,4,0,4,population
github_real,branch-heads,4,4,0,4,hub
github_real,pull-requests-and-reviews,4,4,0,4,hub
github_real,pull-request-records,4,4,0,4,hub
github_real,issues-and-comments,3,3,0,3,
github_real,issue-records,3,3,0,3,
github_real,org-external-copies,4,4,0,4,population
github_real,repository-records,3,3,0,3,hub
github_real,repository-catalog,2,3,1,2,metadata-only
github_real,branch-directory,2,2,0,2,metadata-only
github_real,commit-list,2,2,0,2,metadata-only
github_real,issue-catalog,2,2,0,2,metadata-only
github_real,platform-user-directory,1,1,0,1,public
slack_real,exec-private,4,4,0,4,
slack_real,hr-internal,4,4,0,4,
slack_real,incident-response,4,5,1,4,self-sufficient
slack_real,on-call,4,4,0,4,
slack_real,team-leads,4,4,0,4,
slack_real,research-team,3,4,1,3,
slack_real,engineering,3,3,0,3,
slack_real,general,1,1,0,1,public
slack_real,announcements,1,1,0,1,public
slack_real,random,1,1,0,1,public
slack_real,channel-messages,4,4,0,4,population
slack_real,usergroup-membership,4,4,0,4,hub
slack_real,user-group-membership,4,4,0,4,hub
slack_real,agent-channel-membership,4,4,0,4,hub
slack_real,user-directory,4,4,0,4,population
slack_real,channel-directory,2,2,0,2,metadata-only
slack_real,usergroup-directory,2,2,0,2,metadata-only
slack_real,usergroup-metadata,2,2,0,2,metadata-only
slack_real,read-markers,2,2,0,2,metadata-only
slack_real,message-reactions,2,2,0,2,metadata-only
