asset,tool,sensitivity,blast,impact,score,band
connected-account-config,list-calendars,4,N/A,2,N/A,na
connected-account-config,list-events,4,N/A,2,N/A,na
connected-account-config,search-events,4,N/A,3,N/A,na
connected-account-config,get-event,4,N/A,3,N/A,na
connected-account-config,list-colors,4,N/A,2,N/A,na
connected-account-config,create-event,4,N/A,4,N/A,na
connected-account-config,create-events,4,N/A,4,N/A,na
connected-account-config,update-event,4,N/A,4,N/A,na
connected-account-config,delete-event,4,N/A,5,N/A,na
connected-account-config,get-freebusy,4,N/A,2,N/A,na
connected-account-config,get-current-time,4,N/A,1,N/A,na
connected-account-config,respond-to-event,4,N/A,2,N/A,na
connected-account-config,manage-accounts,4,5,5,100,critical
contacts,list-calendars,4,N/A,2,N/A,na
contacts,list-events,4,4,2,32,medium
contacts,search-events,4,4,3,48,medium
contacts,get-event,4,4,3,48,medium
contacts,list-colors,4,N/A,2,N/A,na
contacts,create-event,4,4,4,64,high
contacts,create-events,4,5,4,80,high
contacts,update-event,4,5,4,80,high
contacts,delete-event,4,N/A,5,N/A,na
contacts,get-freebusy,4,N/A,2,N/A,na
contacts,get-current-time,4,N/A,1,N/A,na
contacts,respond-to-event,4,N/A,2,N/A,na
contacts,manage-accounts,4,N/A,5,N/A,na
event-attendee-lists,list-calendars,4,N/A,2,N/A,na
event-attendee-lists,list-events,4,4,2,32,medium
event-attendee-lists,search-events,4,4,3,48,medium
event-attendee-lists,get-event,4,4,3,48,medium
event-attendee-lists,list-colors,4,N/A,2,N/A,na
event-attendee-lists,create-event,4,4,4,64,high
event-attendee-lists,create-events,4,5,4,80,high
event-attendee-lists,update-event,4,5,4,80,high
event-attendee-lists,delete-event,4,4,5,80,high
event-attendee-lists,get-freebusy,4,N/A,2,N/A,na
event-attendee-lists,get-current-time,4,N/A,1,N/A,na
event-attendee-lists,respond-to-event,4,N/A,2,N/A,na
event-attendee-lists,manage-accounts,4,N/A,5,N/A,na
aurora-exec,list-calendars,5,N/A,2,N/A,na
aurora-exec,list-events,5,4,2,40,medium
aurora-exec,search-events,5,4,3,60,high
aurora-exec,get-event,5,4,3,60,high
aurora-exec,list-colors,5,N/A,2,N/A,na
aurora-exec,create-event,5,4,4,80,high
aurora-exec,create-events,5,5,4,100,critical
aurora-exec,update-event,5,4,4,80,high
aurora-exec,delete-event,5,4,5,100,critical
aurora-exec,get-freebusy,5,N/A,2,N/A,na
aurora-exec,get-current-time,5,N/A,1,N/A,na
aurora-exec,respond-to-event,5,N/A,2,N/A,na
aurora-exec,manage-accounts,5,N/A,5,N/A,na
aurora-regulatory,list-calendars,4,N/A,2,N/A,na
aurora-regulatory,list-events,4,4,2,32,medium
aurora-regulatory,search-events,4,4,3,48,medium
aurora-regulatory,get-event,4,4,3,48,medium
aurora-regulatory,list-colors,4,N/A,2,N/A,na
aurora-regulatory,create-event,4,4,4,64,high
aurora-regulatory,create-events,4,5,4,80,high
aurora-regulatory,update-event,4,4,4,64,high
aurora-regulatory,delete-event,4,4,5,80,high
aurora-regulatory,get-freebusy,4,N/A,2,N/A,na
aurora-regulatory,get-current-time,4,N/A,1,N/A,na
aurora-regulatory,respond-to-event,4,N/A,2,N/A,na
aurora-regulatory,manage-accounts,4,N/A,5,N/A,na
aurora-crew-roster,list-calendars,3,N/A,2,N/A,na
aurora-crew-roster,list-events,3,3,2,18,medium
aurora-crew-roster,search-events,3,3,3,27,medium
aurora-crew-roster,get-event,3,3,3,27,medium
aurora-crew-roster,list-colors,3,N/A,2,N/A,na
aurora-crew-roster,create-event,3,3,4,36,medium
aurora-crew-roster,create-events,3,4,4,48,medium
aurora-crew-roster,update-event,3,4,4,48,medium
aurora-crew-roster,delete-event,3,4,5,60,high
aurora-crew-roster,get-freebusy,3,3,2,18,medium
aurora-crew-roster,get-current-time,3,N/A,1,N/A,na
aurora-crew-roster,respond-to-event,3,N/A,2,N/A,na
aurora-crew-roster,manage-accounts,3,N/A,5,N/A,na
aurora-maintenance,list-calendars,3,N/A,2,N/A,na
aurora-maintenance,list-events,3,3,2,18,medium
