asset,tool,sensitivity,blast,impact,score,band
connected-account-config,list-calendars,5,N/A,2,N/A,na
connected-account-config,list-events,5,N/A,2,N/A,na
connected-account-config,search-events,5,N/A,3,N/A,na
connected-account-config,get-event,5,N/A,3,N/A,na
connected-account-config,list-colors,5,N/A,2,N/A,na
connected-account-config,create-event,5,N/A,4,N/A,na
connected-account-config,create-events,5,N/A,4,N/A,na
connected-account-config,update-event,5,N/A,4,N/A,na
connected-account-config,delete-event,5,N/A,5,N/A,na
connected-account-config,get-freebusy,5,N/A,2,N/A,na
connected-account-config,get-current-time,5,N/A,1,N/A,na
connected-account-config,respond-to-event,5,N/A,2,N/A,na
connected-account-config,manage-accounts,5,5,5,125,critical
contacts,list-calendars,4,N/A,2,N/A,na
contacts,list-events,4,2,2,16,low
contacts,search-events,4,3,3,36,medium
contacts,get-event,4,3,3,36,medium
contacts,list-colors,4,N/A,2,N/A,na
contacts,create-event,4,3,4,48,medium
contacts,create-events,4,4,4,64,high
contacts,update-event,4,4,4,64,high
contacts,delete-event,4,N/A,5,N/A,na
contacts,get-freebusy,4,N/A,2,N/A,na
contacts,get-current-time,4,N/A,1,N/A,na
contacts,respond-to-event,4,N/A,2,N/A,na
contacts,manage-accounts,4,N/A,5,N/A,na
event-attendee-lists,list-calendars,4,N/A,2,N/A,na
event-attendee-lists,list-events,4,2,2,16,low
event-attendee-lists,search-events,4,3,3,36,medium
event-attendee-lists,get-event,4,3,3,36,medium
event-attendee-lists,list-colors,4,N/A,2,N/A,na
event-attendee-lists,create-event,4,2,4,32,medium
event-attendee-lists,create-events,4,4,4,64,high
event-attendee-lists,update-event,4,3,4,48,medium
event-attendee-lists,delete-event,4,N/A,5,N/A,na
event-attendee-lists,get-freebusy,4,N/A,2,N/A,na
event-attendee-lists,get-current-time,4,N/A,1,N/A,na
event-attendee-lists,respond-to-event,4,N/A,2,N/A,na
event-attendee-lists,manage-accounts,4,N/A,5,N/A,na
executive,list-calendars,4,N/A,2,N/A,na
executive,list-events,4,3,2,24,medium
executive,search-events,4,3,3,36,medium
executive,get-event,4,3,3,36,medium
executive,list-colors,4,N/A,2,N/A,na
executive,create-event,4,4,4,64,high
executive,create-events,4,5,4,80,high
executive,update-event,4,4,4,64,high
executive,delete-event,4,5,5,100,critical
executive,get-freebusy,4,2,2,16,low
executive,get-current-time,4,N/A,1,N/A,na
executive,respond-to-event,4,2,2,16,low
executive,manage-accounts,4,N/A,5,N/A,na
recruiting,list-calendars,4,N/A,2,N/A,na
recruiting,list-events,4,3,2,24,medium
recruiting,search-events,4,3,3,36,medium
recruiting,get-event,4,3,3,36,medium
recruiting,list-colors,4,N/A,2,N/A,na
recruiting,create-event,4,4,4,64,high
recruiting,create-events,4,5,4,80,high
recruiting,update-event,4,4,4,64,high
recruiting,delete-event,4,5,5,100,critical
recruiting,get-freebusy,4,N/A,2,N/A,na
recruiting,get-current-time,4,N/A,1,N/A,na
recruiting,respond-to-event,4,N/A,2,N/A,na
recruiting,manage-accounts,4,N/A,5,N/A,na
outbound-invite-email,list-calendars,4,N/A,2,N/A,na
outbound-invite-email,list-events,4,N/A,2,N/A,na
outbound-invite-email,search-events,4,N/A,3,N/A,na
outbound-invite-email,get-event,4,N/A,3,N/A,na
outbound-invite-email,list-colors,4,N/A,2,N/A,na
outbound-invite-email,create-event,4,5,4,80,high
