asset,tool,sensitivity,blast,impact,score,band
expression-evaluator,get_ticker_data,4,N/A,3,N/A,na
expression-evaluator,get_price_history,4,N/A,3,N/A,na
expression-evaluator,get_financial_statements,4,N/A,3,N/A,na
expression-evaluator,get_earnings_history,4,N/A,3,N/A,na
expression-evaluator,get_ticker_news_tool,4,N/A,3,N/A,na
expression-evaluator,super_option_tool,4,N/A,3,N/A,na
expression-evaluator,get_top25_holders,4,N/A,3,N/A,na
expression-evaluator,get_insider_trades,4,N/A,3,N/A,na
expression-evaluator,get_overall_sentiment_tool,4,N/A,3,N/A,na
expression-evaluator,get_historical_fng_tool,4,N/A,3,N/A,na
expression-evaluator,analyze_fng_trend,4,N/A,3,N/A,na
expression-evaluator,calculate,4,3,3,36,medium
expression-evaluator,get_current_time,4,N/A,1,N/A,na
expression-evaluator,get_fred_series,4,N/A,2,N/A,na
expression-evaluator,search_fred_series,4,N/A,2,N/A,na
expression-evaluator,cnbc_news_feed,4,N/A,3,N/A,na
expression-evaluator,social_media_feed,4,N/A,3,N/A,na
research-query-pattern,get_ticker_data,3,3,3,27,medium
research-query-pattern,get_price_history,3,3,3,27,medium
research-query-pattern,get_financial_statements,3,3,3,27,medium
research-query-pattern,get_earnings_history,3,3,3,27,medium
research-query-pattern,get_ticker_news_tool,3,3,3,27,medium
research-query-pattern,super_option_tool,3,3,3,27,medium
research-query-pattern,get_top25_holders,3,3,3,27,medium
research-query-pattern,get_insider_trades,3,3,3,27,medium
research-query-pattern,get_overall_sentiment_tool,3,N/A,3,N/A,na
research-query-pattern,get_historical_fng_tool,3,N/A,3,N/A,na
research-query-pattern,analyze_fng_trend,3,N/A,3,N/A,na
research-query-pattern,calculate,3,N/A,3,N/A,na
research-query-pattern,get_current_time,3,N/A,1,N/A,na
research-query-pattern,get_fred_series,3,2,2,12,low
research-query-pattern,search_fred_series,3,2,2,12,low
research-query-pattern,cnbc_news_feed,3,N/A,3,N/A,na
research-query-pattern,social_media_feed,3,N/A,3,N/A,na
public-market-data,get_ticker_data,1,2,3,6,low
public-market-data,get_price_history,1,2,3,6,low
public-market-data,get_financial_statements,1,2,3,6,low
public-market-data,get_earnings_history,1,2,3,6,low
public-market-data,get_ticker_news_tool,1,N/A,3,N/A,na
public-market-data,super_option_tool,1,2,3,6,low
public-market-data,get_top25_holders,1,3,3,9,low
public-market-data,get_insider_trades,1,2,3,6,low
public-market-data,get_overall_sentiment_tool,1,N/A,3,N/A,na
public-market-data,get_historical_fng_tool,1,N/A,3,N/A,na
public-market-data,analyze_fng_trend,1,N/A,3,N/A,na
public-market-data,calculate,1,N/A,3,N/A,na
public-market-data,get_current_time,1,N/A,1,N/A,na
public-market-data,get_fred_series,1,N/A,2,N/A,na
public-market-data,search_fred_series,1,N/A,2,N/A,na
public-market-data,cnbc_news_feed,1,N/A,3,N/A,na
public-market-data,social_media_feed,1,N/A,3,N/A,na
public-macro-series,get_ticker_data,1,N/A,3,N/A,na
public-macro-series,get_price_history,1,N/A,3,N/A,na
public-macro-series,get_financial_statements,1,N/A,3,N/A,na
public-macro-series,get_earnings_history,1,N/A,3,N/A,na
public-macro-series,get_ticker_news_tool,1,N/A,3,N/A,na
public-macro-series,super_option_tool,1,N/A,3,N/A,na
public-macro-series,get_top25_holders,1,N/A,3,N/A,na
public-macro-series,get_insider_trades,1,N/A,3,N/A,na
public-macro-series,get_overall_sentiment_tool,1,N/A,3,N/A,na
public-macro-series,get_historical_fng_tool,1,N/A,3,N/A,na
public-macro-series,analyze_fng_trend,1,N/A,3,N/A,na
public-macro-series,calculate,1,N/A,3,N/A,na
public-macro-series,get_current_time,1,N/A,1,N/A,na
public-macro-series,get_fred_series,1,2,2,4,low
public-macro-series,search_fred_series,1,2,2,4,low
public-macro-series,cnbc_news_feed,1,N/A,3,N/A,na
public-macro-series,social_media_feed,1,N/A,3,N/A,na
public-news-and-sentiment,get_ticker_data,1,N/A,3,N/A,na
public-news-and-sentiment,get_price_history,1,N/A,3,N/A,na
public-news-and-sentiment,get_financial_statements,1,N/A,3,N/A,na
public-news-and-sentiment,get_earnings_history,1,N/A,3,N/A,na
public-news-and-sentiment,get_ticker_news_tool,1,2,3,6,low
public-news-and-sentiment,super_option_tool,1,N/A,3,N/A,na
public-news-and-sentiment,get_top25_holders,1,N/A,3,N/A,na
public-news-and-sentiment,get_insider_trades,1,N/A,3,N/A,na
public-news-and-sentiment,get_overall_sentiment_tool,1,2,3,6,low
public-news-and-sentiment,get_historical_fng_tool,1,2,3,6,low
public-news-and-sentiment,analyze_fng_trend,1,2,3,6,low
public-news-and-sentiment,calculate,1,N/A,3,N/A,na
public-news-and-sentiment,get_current_time,1,N/A,1,N/A,na
public-news-and-sentiment,get_fred_series,1,N/A,2,N/A,na
public-news-and-sentiment,search_fred_series,1,N/A,2,N/A,na
public-news-and-sentiment,cnbc_news_feed,1,2,3,6,low
public-news-and-sentiment,social_media_feed,1,2,3,6,low
server-clock,get_ticker_data,2,N/A,3,N/A,na
server-clock,get_price_history,2,N/A,3,N/A,na
server-clock,get_financial_statements,2,N/A,3,N/A,na
server-clock,get_earnings_history,2,N/A,3,N/A,na
server-clock,get_ticker_news_tool,2,N/A,3,N/A,na
server-clock,super_option_tool,2,N/A,3,N/A,na
server-clock,get_top25_holders,2,N/A,3,N/A,na
server-clock,get_insider_trades,2,N/A,3,N/A,na
server-clock,get_overall_sentiment_tool,2,N/A,3,N/A,na
server-clock,get_historical_fng_tool,2,N/A,3,N/A,na
server-clock,analyze_fng_trend,2,N/A,3,N/A,na
server-clock,calculate,2,N/A,3,N/A,na
server-clock,get_current_time,2,1,1,2,low
server-clock,get_fred_series,2,N/A,2,N/A,na
server-clock,search_fred_series,2,N/A,2,N/A,na
server-clock,cnbc_news_feed,2,N/A,3,N/A,na
server-clock,social_media_feed,2,N/A,3,N/A,na
