asset,tool,sensitivity,blast,impact,score,band
card-vault,read_file,5,5,3,75,high
card-vault,read_text_file,5,5,3,75,high
card-vault,read_media_file,5,N/A,3,N/A,na
card-vault,read_multiple_files,5,5,3,75,high
card-vault,write_file,5,5,4,100,critical
card-vault,edit_file,5,5,4,100,critical
card-vault,create_directory,5,N/A,4,N/A,na
card-vault,list_directory,5,N/A,2,N/A,na
card-vault,list_directory_with_sizes,5,N/A,2,N/A,na
card-vault,directory_tree,5,N/A,2,N/A,na
card-vault,move_file,5,5,2,50,high
card-vault,search_files,5,5,2,50,high
card-vault,get_file_info,5,N/A,2,N/A,na
card-vault,list_allowed_directories,5,N/A,2,N/A,na
settlement-ledger,read_file,4,3,3,36,medium
settlement-ledger,read_text_file,4,3,3,36,medium
settlement-ledger,read_media_file,4,N/A,3,N/A,na
settlement-ledger,read_multiple_files,4,4,3,48,medium
settlement-ledger,write_file,4,4,4,64,high
settlement-ledger,edit_file,4,4,4,64,high
settlement-ledger,create_directory,4,N/A,4,N/A,na
settlement-ledger,list_directory,4,2,2,16,low
settlement-ledger,list_directory_with_sizes,4,N/A,2,N/A,na
settlement-ledger,directory_tree,4,N/A,2,N/A,na
settlement-ledger,move_file,4,2,2,16,low
settlement-ledger,search_files,4,2,2,16,low
settlement-ledger,get_file_info,4,2,2,16,low
settlement-ledger,list_allowed_directories,4,N/A,2,N/A,na
customer-records,read_file,4,3,3,36,medium
customer-records,read_text_file,4,3,3,36,medium
customer-records,read_media_file,4,N/A,3,N/A,na
customer-records,read_multiple_files,4,4,3,48,medium
customer-records,write_file,4,4,4,64,high
customer-records,edit_file,4,4,4,64,high
customer-records,create_directory,4,N/A,4,N/A,na
customer-records,list_directory,4,4,2,32,medium
customer-records,list_directory_with_sizes,4,4,2,32,medium
customer-records,directory_tree,4,N/A,2,N/A,na
customer-records,move_file,4,2,2,16,low
customer-records,search_files,4,4,2,32,medium
customer-records,get_file_info,4,N/A,2,N/A,na
customer-records,list_allowed_directories,4,N/A,2,N/A,na
kyc-identity-documents,read_file,5,3,3,45,medium
kyc-identity-documents,read_text_file,5,3,3,45,medium
kyc-identity-documents,read_media_file,5,3,3,45,medium
kyc-identity-documents,read_multiple_files,5,4,3,60,high
kyc-identity-documents,write_file,5,N/A,4,N/A,na
kyc-identity-documents,edit_file,5,N/A,4,N/A,na
kyc-identity-documents,create_directory,5,N/A,4,N/A,na
kyc-identity-documents,list_directory,5,2,2,20,medium
kyc-identity-documents,list_directory_with_sizes,5,3,2,30,medium
kyc-identity-documents,directory_tree,5,N/A,2,N/A,na
kyc-identity-documents,move_file,5,2,2,20,medium
kyc-identity-documents,search_files,5,4,2,40,medium
kyc-identity-documents,get_file_info,5,2,2,20,medium
kyc-identity-documents,list_allowed_directories,5,N/A,2,N/A,na
credential-store,read_file,5,5,3,75,high
credential-store,read_text_file,5,5,3,75,high
credential-store,read_media_file,5,N/A,3,N/A,na
credential-store,read_multiple_files,5,5,3,75,high
credential-store,write_file,5,5,4,100,critical
credential-store,edit_file,5,5,4,100,critical
credential-store,create_directory,5,N/A,4,N/A,na
credential-store,list_directory,5,N/A,2,N/A,na
credential-store,list_directory_with_sizes,5,N/A,2,N/A,na
credential-store,directory_tree,5,N/A,2,N/A,na
credential-store,move_file,5,5,2,50,high
credential-store,search_files,5,N/A,2,N/A,na
credential-store,get_file_info,5,N/A,2,N/A,na
credential-store,list_allowed_directories,5,N/A,2,N/A,na
audit-records,read_file,4,3,3,36,medium
audit-records,read_text_file,4,3,3,36,medium
audit-records,read_media_file,4,N/A,3,N/A,na
audit-records,read_multiple_files,4,4,3,48,medium
audit-records,write_file,4,5,4,80,high
audit-records,edit_file,4,5,4,80,high
audit-records,create_directory,4,N/A,4,N/A,na
audit-records,list_directory,4,N/A,2,N/A,na
audit-records,list_directory_with_sizes,4,N/A,2,N/A,na
audit-records,directory_tree,4,N/A,2,N/A,na
audit-records,move_file,4,2,2,16,low
audit-records,search_files,4,2,2,16,low
audit-records,get_file_info,4,N/A,2,N/A,na
audit-records,list_allowed_directories,4,N/A,2,N/A,na
payment-source,read_file,4,4,3,48,medium
payment-source,read_text_file,4,4,3,48,medium
payment-source,read_media_file,4,N/A,3,N/A,na
payment-source,read_multiple_files,4,5,3,60,high
payment-source,write_file,4,4,4,64,high
payment-source,edit_file,4,4,4,64,high
payment-source,create_directory,4,N/A,4,N/A,na
payment-source,list_directory,4,N/A,2,N/A,na
payment-source,list_directory_with_sizes,4,N/A,2,N/A,na
payment-source,directory_tree,4,N/A,2,N/A,na
payment-source,move_file,4,4,2,32,medium
payment-source,search_files,4,2,2,16,low
payment-source,get_file_info,4,N/A,2,N/A,na
payment-source,list_allowed_directories,4,N/A,2,N/A,na
marketing-embargoed,read_file,3,3,3,27,medium
marketing-embargoed,read_text_file,3,3,3,27,medium
marketing-embargoed,read_media_file,3,N/A,3,N/A,na
marketing-embargoed,read_multiple_files,3,4,3,36,medium
marketing-embargoed,write_file,3,2,4,24,medium
marketing-embargoed,edit_file,3,2,4,24,medium
marketing-embargoed,create_directory,3,N/A,4,N/A,na
marketing-embargoed,list_directory,3,N/A,2,N/A,na
marketing-embargoed,list_directory_with_sizes,3,N/A,2,N/A,na
marketing-embargoed,directory_tree,3,N/A,2,N/A,na
marketing-embargoed,move_file,3,2,2,12,low
marketing-embargoed,search_files,3,2,2,12,low
marketing-embargoed,get_file_info,3,2,2,12,low
marketing-embargoed,list_allowed_directories,3,N/A,2,N/A,na
public-overview,read_file,1,1,3,3,low
public-overview,read_text_file,1,1,3,3,low
public-overview,read_media_file,1,N/A,3,N/A,na
public-overview,read_multiple_files,1,N/A,3,N/A,na
public-overview,write_file,1,N/A,4,N/A,na
public-overview,edit_file,1,N/A,4,N/A,na
public-overview,create_directory,1,N/A,4,N/A,na
public-overview,list_directory,1,N/A,2,N/A,na
public-overview,list_directory_with_sizes,1,N/A,2,N/A,na
public-overview,directory_tree,1,N/A,2,N/A,na
public-overview,move_file,1,N/A,2,N/A,na
public-overview,search_files,1,N/A,2,N/A,na
public-overview,get_file_info,1,N/A,2,N/A,na
public-overview,list_allowed_directories,1,N/A,2,N/A,na
file-contents,read_file,5,5,3,75,high
file-contents,read_text_file,5,5,3,75,high
file-contents,read_media_file,5,5,3,75,high
file-contents,read_multiple_files,5,5,3,75,high
file-contents,write_file,5,N/A,4,N/A,na
file-contents,edit_file,5,4,4,80,high
file-contents,create_directory,5,N/A,4,N/A,na
file-contents,list_directory,5,N/A,2,N/A,na
file-contents,list_directory_with_sizes,5,N/A,2,N/A,na
file-contents,directory_tree,5,N/A,2,N/A,na
file-contents,move_file,5,N/A,2,N/A,na
file-contents,search_files,5,4,2,40,medium
file-contents,get_file_info,5,N/A,2,N/A,na
file-contents,list_allowed_directories,5,N/A,2,N/A,na
media-records,read_file,4,N/A,3,N/A,na
media-records,read_text_file,4,N/A,3,N/A,na
media-records,read_media_file,4,3,3,36,medium
media-records,read_multiple_files,4,N/A,3,N/A,na
media-records,write_file,4,N/A,4,N/A,na
media-records,edit_file,4,N/A,4,N/A,na
