asset,tool,sensitivity,blast,impact,score,band
matter-files,read_file,5,4,3,60,high
matter-files,read_text_file,5,4,3,60,high
matter-files,read_media_file,5,2,3,30,medium
matter-files,read_multiple_files,5,5,3,75,high
matter-files,write_file,5,4,4,80,high
matter-files,edit_file,5,4,4,80,high
matter-files,create_directory,5,N/A,4,N/A,na
matter-files,list_directory,5,2,2,20,medium
matter-files,list_directory_with_sizes,5,2,2,20,medium
matter-files,directory_tree,5,2,2,20,medium
matter-files,move_file,5,2,2,20,medium
matter-files,search_files,5,2,2,20,medium
matter-files,get_file_info,5,2,2,20,medium
matter-files,list_allowed_directories,5,N/A,2,N/A,na
client-intake,read_file,4,4,3,48,medium
client-intake,read_text_file,4,4,3,48,medium
client-intake,read_media_file,4,N/A,3,N/A,na
client-intake,read_multiple_files,4,5,3,60,high
client-intake,write_file,4,4,4,64,high
client-intake,edit_file,4,4,4,64,high
client-intake,create_directory,4,N/A,4,N/A,na
client-intake,list_directory,4,2,2,16,low
client-intake,list_directory_with_sizes,4,3,2,24,medium
client-intake,directory_tree,4,N/A,2,N/A,na
client-intake,move_file,4,2,2,16,low
client-intake,search_files,4,3,2,24,medium
client-intake,get_file_info,4,2,2,16,low
client-intake,list_allowed_directories,4,N/A,2,N/A,na
executed-agreements,read_file,4,3,3,36,medium
executed-agreements,read_text_file,4,3,3,36,medium
executed-agreements,read_media_file,4,3,3,36,medium
executed-agreements,read_multiple_files,4,4,3,48,medium
executed-agreements,write_file,4,4,4,64,high
executed-agreements,edit_file,4,4,4,64,high
executed-agreements,create_directory,4,N/A,4,N/A,na
executed-agreements,list_directory,4,N/A,2,N/A,na
executed-agreements,list_directory_with_sizes,4,N/A,2,N/A,na
executed-agreements,directory_tree,4,N/A,2,N/A,na
executed-agreements,move_file,4,2,2,16,low
executed-agreements,search_files,4,N/A,2,N/A,na
executed-agreements,get_file_info,4,N/A,2,N/A,na
executed-agreements,list_allowed_directories,4,N/A,2,N/A,na
billing-timesheets,read_file,4,3,3,36,medium
billing-timesheets,read_text_file,4,3,3,36,medium
billing-timesheets,read_media_file,4,N/A,3,N/A,na
billing-timesheets,read_multiple_files,4,4,3,48,medium
billing-timesheets,write_file,4,2,4,32,medium
billing-timesheets,edit_file,4,4,4,64,high
billing-timesheets,create_directory,4,N/A,4,N/A,na
billing-timesheets,list_directory,4,2,2,16,low
billing-timesheets,list_directory_with_sizes,4,2,2,16,low
billing-timesheets,directory_tree,4,N/A,2,N/A,na
billing-timesheets,move_file,4,2,2,16,low
billing-timesheets,search_files,4,2,2,16,low
billing-timesheets,get_file_info,4,2,2,16,low
billing-timesheets,list_allowed_directories,4,N/A,2,N/A,na
document-templates,read_file,3,2,3,18,medium
document-templates,read_text_file,3,2,3,18,medium
document-templates,read_media_file,3,N/A,3,N/A,na
document-templates,read_multiple_files,3,3,3,27,medium
document-templates,write_file,3,4,4,48,medium
document-templates,edit_file,3,4,4,48,medium
document-templates,create_directory,3,N/A,4,N/A,na
document-templates,list_directory,3,2,2,12,low
document-templates,list_directory_with_sizes,3,2,2,12,low
document-templates,directory_tree,3,2,2,12,low
document-templates,move_file,3,2,2,12,low
document-templates,search_files,3,2,2,12,low
document-templates,get_file_info,3,2,2,12,low
document-templates,list_allowed_directories,3,N/A,2,N/A,na
public-overview,read_file,1,2,3,6,low
public-overview,read_text_file,1,2,3,6,low
public-overview,read_media_file,1,N/A,3,N/A,na
public-overview,read_multiple_files,1,N/A,3,N/A,na
public-overview,write_file,1,N/A,4,N/A,na
public-overview,edit_file,1,N/A,4,N/A,na
public-overview,create_directory,1,N/A,4,N/A,na
public-overview,list_directory,1,N/A,2,N/A,na
public-overview,list_directory_with_sizes,1,N/A,2,N/A,na
public-overview,directory_tree,1,N/A,2,N/A,na
public-overview,move_file,1,N/A,2,N/A,na
public-overview,search_files,1,N/A,2,N/A,na
public-overview,get_file_info,1,N/A,2,N/A,na
public-overview,list_allowed_directories,1,N/A,2,N/A,na
file-contents,read_file,4,3,3,36,medium
file-contents,read_text_file,4,3,3,36,medium
file-contents,read_media_file,4,3,3,36,medium
file-contents,read_multiple_files,4,4,3,48,medium
file-contents,write_file,4,4,4,64,high
file-contents,edit_file,4,4,4,64,high
file-contents,create_directory,4,N/A,4,N/A,na
file-contents,list_directory,4,N/A,2,N/A,na
