asset,tool,sensitivity,blast,impact,score,band
unreleased-imagery,read_file,4,3,3,36,medium
unreleased-imagery,read_text_file,4,3,3,36,medium
unreleased-imagery,read_media_file,4,3,3,36,medium
unreleased-imagery,read_multiple_files,4,4,3,48,medium
unreleased-imagery,write_file,4,4,4,64,high
unreleased-imagery,edit_file,4,N/A,4,N/A,na
unreleased-imagery,create_directory,4,N/A,4,N/A,na
unreleased-imagery,list_directory,4,2,2,16,low
unreleased-imagery,list_directory_with_sizes,4,2,2,16,low
unreleased-imagery,directory_tree,4,2,2,16,low
unreleased-imagery,move_file,4,2,2,16,low
unreleased-imagery,search_files,4,2,2,16,low
unreleased-imagery,get_file_info,4,2,2,16,low
unreleased-imagery,list_allowed_directories,4,N/A,2,N/A,na
campaign-briefs,read_file,4,3,3,36,medium
campaign-briefs,read_text_file,4,3,3,36,medium
campaign-briefs,read_media_file,4,N/A,3,N/A,na
campaign-briefs,read_multiple_files,4,4,3,48,medium
campaign-briefs,write_file,4,4,4,64,high
campaign-briefs,edit_file,4,4,4,64,high
campaign-briefs,create_directory,4,N/A,4,N/A,na
campaign-briefs,list_directory,4,2,2,16,low
campaign-briefs,list_directory_with_sizes,4,2,2,16,low
campaign-briefs,directory_tree,4,2,2,16,low
campaign-briefs,move_file,4,2,2,16,low
campaign-briefs,search_files,4,2,2,16,low
campaign-briefs,get_file_info,4,2,2,16,low
campaign-briefs,list_allowed_directories,4,N/A,2,N/A,na
client-contracts,read_file,4,4,3,48,medium
client-contracts,read_text_file,4,4,3,48,medium
client-contracts,read_media_file,4,N/A,3,N/A,na
client-contracts,read_multiple_files,4,5,3,60,high
client-contracts,write_file,4,4,4,64,high
client-contracts,edit_file,4,4,4,64,high
client-contracts,create_directory,4,N/A,4,N/A,na
client-contracts,list_directory,4,3,2,24,medium
client-contracts,list_directory_with_sizes,4,4,2,32,medium
client-contracts,directory_tree,4,2,2,16,low
client-contracts,move_file,4,2,2,16,low
client-contracts,search_files,4,3,2,24,medium
client-contracts,get_file_info,4,2,2,16,low
client-contracts,list_allowed_directories,4,N/A,2,N/A,na
invoices,read_file,4,3,3,36,medium
invoices,read_text_file,4,3,3,36,medium
invoices,read_media_file,4,N/A,3,N/A,na
invoices,read_multiple_files,4,4,3,48,medium
invoices,write_file,4,4,4,64,high
invoices,edit_file,4,4,4,64,high
invoices,create_directory,4,N/A,4,N/A,na
invoices,list_directory,4,2,2,16,low
invoices,list_directory_with_sizes,4,2,2,16,low
invoices,directory_tree,4,N/A,2,N/A,na
invoices,move_file,4,2,2,16,low
invoices,search_files,4,2,2,16,low
invoices,get_file_info,4,2,2,16,low
invoices,list_allowed_directories,4,N/A,2,N/A,na
shoot-notes,read_file,3,2,3,18,medium
shoot-notes,read_text_file,3,2,3,18,medium
shoot-notes,read_media_file,3,N/A,3,N/A,na
shoot-notes,read_multiple_files,3,3,3,27,medium
shoot-notes,write_file,3,2,4,24,medium
shoot-notes,edit_file,3,2,4,24,medium
shoot-notes,create_directory,3,N/A,4,N/A,na
shoot-notes,list_directory,3,2,2,12,low
shoot-notes,list_directory_with_sizes,3,2,2,12,low
shoot-notes,directory_tree,3,N/A,2,N/A,na
shoot-notes,move_file,3,2,2,12,low
shoot-notes,search_files,3,2,2,12,low
shoot-notes,get_file_info,3,2,2,12,low
shoot-notes,list_allowed_directories,3,N/A,2,N/A,na
project-pipeline,read_file,4,3,3,36,medium
project-pipeline,read_text_file,4,3,3,36,medium
project-pipeline,read_media_file,4,N/A,3,N/A,na
project-pipeline,read_multiple_files,4,4,3,48,medium
project-pipeline,write_file,4,4,4,64,high
project-pipeline,edit_file,4,4,4,64,high
project-pipeline,create_directory,4,N/A,4,N/A,na
project-pipeline,list_directory,4,2,2,16,low
project-pipeline,list_directory_with_sizes,4,2,2,16,low
project-pipeline,directory_tree,4,N/A,2,N/A,na
project-pipeline,move_file,4,2,2,16,low
project-pipeline,search_files,4,2,2,16,low
project-pipeline,get_file_info,4,2,2,16,low
project-pipeline,list_allowed_directories,4,N/A,2,N/A,na
public-overview,read_file,1,2,3,6,low
public-overview,read_text_file,1,2,3,6,low
public-overview,read_media_file,1,N/A,3,N/A,na
public-overview,read_multiple_files,1,N/A,3,N/A,na
public-overview,write_file,1,N/A,4,N/A,na
public-overview,edit_file,1,N/A,4,N/A,na
public-overview,create_directory,1,N/A,4,N/A,na
public-overview,list_directory,1,2,2,4,low
public-overview,list_directory_with_sizes,1,N/A,2,N/A,na
public-overview,directory_tree,1,N/A,2,N/A,na
public-overview,move_file,1,N/A,2,N/A,na
public-overview,search_files,1,N/A,2,N/A,na
public-overview,get_file_info,1,N/A,2,N/A,na
public-overview,list_allowed_directories,1,N/A,2,N/A,na
file-contents,read_file,4,3,3,36,medium
file-contents,read_text_file,4,3,3,36,medium
file-contents,read_media_file,4,3,3,36,medium
file-contents,read_multiple_files,4,4,3,48,medium
file-contents,write_file,4,4,4,64,high
file-contents,edit_file,4,4,4,64,high
file-contents,create_directory,4,N/A,4,N/A,na
file-contents,list_directory,4,N/A,2,N/A,na
file-contents,list_directory_with_sizes,4,2,2,16,low
file-contents,directory_tree,4,N/A,2,N/A,na
file-contents,move_file,4,2,2,16,low
file-contents,search_files,4,3,2,24,medium
file-contents,get_file_info,4,N/A,2,N/A,na
file-contents,list_allowed_directories,4,N/A,2,N/A,na
media-records,read_file,4,N/A,3,N/A,na
media-records,read_text_file,4,N/A,3,N/A,na
media-records,read_media_file,4,3,3,36,medium
