asset,tool,sensitivity,blast,impact,score,band
patient-charts,read_file,5,5,3,75,high
patient-charts,read_text_file,5,5,3,75,high
patient-charts,read_media_file,5,N/A,3,N/A,na
patient-charts,read_multiple_files,5,5,3,75,high
patient-charts,write_file,5,4,4,80,high
patient-charts,edit_file,5,4,4,80,high
patient-charts,create_directory,5,N/A,4,N/A,na
patient-charts,list_directory,5,4,2,40,medium
patient-charts,list_directory_with_sizes,5,3,2,30,medium
patient-charts,directory_tree,5,N/A,2,N/A,na
patient-charts,move_file,5,4,2,40,medium
patient-charts,search_files,5,5,2,50,high
patient-charts,get_file_info,5,N/A,2,N/A,na
patient-charts,list_allowed_directories,5,N/A,2,N/A,na
prescriptions,read_file,4,3,3,36,medium
prescriptions,read_text_file,4,3,3,36,medium
prescriptions,read_media_file,4,N/A,3,N/A,na
prescriptions,read_multiple_files,4,4,3,48,medium
prescriptions,write_file,4,4,4,64,high
prescriptions,edit_file,4,4,4,64,high
prescriptions,create_directory,4,N/A,4,N/A,na
prescriptions,list_directory,4,N/A,2,N/A,na
prescriptions,list_directory_with_sizes,4,N/A,2,N/A,na
prescriptions,directory_tree,4,N/A,2,N/A,na
prescriptions,move_file,4,2,2,16,low
prescriptions,search_files,4,N/A,2,N/A,na
prescriptions,get_file_info,4,2,2,16,low
prescriptions,list_allowed_directories,4,N/A,2,N/A,na
diagnostic-images,read_file,5,5,3,75,high
diagnostic-images,read_text_file,5,5,3,75,high
diagnostic-images,read_media_file,5,5,3,75,high
diagnostic-images,read_multiple_files,5,5,3,75,high
diagnostic-images,write_file,5,N/A,4,N/A,na
diagnostic-images,edit_file,5,N/A,4,N/A,na
diagnostic-images,create_directory,5,N/A,4,N/A,na
diagnostic-images,list_directory,5,5,2,50,high
diagnostic-images,list_directory_with_sizes,5,4,2,40,medium
diagnostic-images,directory_tree,5,4,2,40,medium
diagnostic-images,move_file,5,2,2,20,medium
diagnostic-images,search_files,5,4,2,40,medium
diagnostic-images,get_file_info,5,2,2,20,medium
diagnostic-images,list_allowed_directories,5,N/A,2,N/A,na
billing-records,read_file,4,3,3,36,medium
billing-records,read_text_file,4,3,3,36,medium
billing-records,read_media_file,4,N/A,3,N/A,na
billing-records,read_multiple_files,4,4,3,48,medium
billing-records,write_file,4,4,4,64,high
billing-records,edit_file,4,4,4,64,high
billing-records,create_directory,4,N/A,4,N/A,na
billing-records,list_directory,4,2,2,16,low
billing-records,list_directory_with_sizes,4,2,2,16,low
billing-records,directory_tree,4,N/A,2,N/A,na
billing-records,move_file,4,2,2,16,low
billing-records,search_files,4,2,2,16,low
billing-records,get_file_info,4,N/A,2,N/A,na
billing-records,list_allowed_directories,4,N/A,2,N/A,na
staff-directory,read_file,4,2,3,24,medium
staff-directory,read_text_file,4,2,3,24,medium
staff-directory,read_media_file,4,N/A,3,N/A,na
staff-directory,read_multiple_files,4,3,3,36,medium
staff-directory,write_file,4,N/A,4,N/A,na
staff-directory,edit_file,4,2,4,32,medium
staff-directory,create_directory,4,N/A,4,N/A,na
