asset,tool,sensitivity,blast,impact,score,band
server-capability-install,install_skill,4,4,4,64,high
server-capability-install,crypto_price_historical,4,N/A,3,N/A,na
server-capability-install,derivatives_options_chains,4,N/A,3,N/A,na
server-capability-install,derivatives_options_surface,4,N/A,2,N/A,na
server-capability-install,derivatives_futures_historical,4,N/A,3,N/A,na
server-capability-install,derivatives_futures_curve,4,N/A,3,N/A,na
server-capability-install,equity_estimates_consensus,4,N/A,3,N/A,na
server-capability-install,equity_discovery_gainers,4,N/A,3,N/A,na
server-capability-install,equity_discovery_losers,4,N/A,3,N/A,na
server-capability-install,equity_discovery_active,4,N/A,3,N/A,na
server-capability-install,equity_discovery_undervalued_large_caps,4,N/A,3,N/A,na
server-capability-install,equity_discovery_undervalued_growth,4,N/A,3,N/A,na
server-capability-install,equity_discovery_aggressive_small_caps,4,N/A,3,N/A,na
server-capability-install,equity_discovery_growth_tech,4,N/A,3,N/A,na
server-capability-install,equity_fundamental_balance,4,N/A,3,N/A,na
server-capability-install,equity_fundamental_cash,4,N/A,3,N/A,na
server-capability-install,equity_fundamental_dividends,4,N/A,3,N/A,na
server-capability-install,equity_fundamental_income,4,N/A,3,N/A,na
server-capability-install,equity_fundamental_metrics,4,N/A,3,N/A,na
server-capability-install,equity_fundamental_management,4,N/A,3,N/A,na
server-capability-install,equity_ownership_share_statistics,4,N/A,3,N/A,na
server-capability-install,equity_price_quote,4,N/A,3,N/A,na
server-capability-install,equity_price_historical,4,N/A,3,N/A,na
server-capability-install,equity_screener,4,N/A,3,N/A,na
server-capability-install,equity_profile,4,N/A,2,N/A,na
server-capability-install,news_company,4,N/A,3,N/A,na
server-capability-install,list_prompts,4,N/A,2,N/A,na
server-capability-install,get_prompt,4,N/A,2,N/A,na
server-capability-install,list_resources,4,N/A,2,N/A,na
server-capability-install,read_resource,4,N/A,3,N/A,na
screening-and-fanout,install_skill,4,N/A,4,N/A,na
screening-and-fanout,crypto_price_historical,4,N/A,3,N/A,na
screening-and-fanout,derivatives_options_chains,4,N/A,3,N/A,na
screening-and-fanout,derivatives_options_surface,4,2,2,16,low
screening-and-fanout,derivatives_futures_historical,4,3,3,36,medium
screening-and-fanout,derivatives_futures_curve,4,3,3,36,medium
screening-and-fanout,equity_estimates_consensus,4,N/A,3,N/A,na
screening-and-fanout,equity_discovery_gainers,4,3,3,36,medium
screening-and-fanout,equity_discovery_losers,4,3,3,36,medium
screening-and-fanout,equity_discovery_active,4,3,3,36,medium
screening-and-fanout,equity_discovery_undervalued_large_caps,4,3,3,36,medium
screening-and-fanout,equity_discovery_undervalued_growth,4,3,3,36,medium
screening-and-fanout,equity_discovery_aggressive_small_caps,4,3,3,36,medium
screening-and-fanout,equity_discovery_growth_tech,4,3,3,36,medium
screening-and-fanout,equity_fundamental_balance,4,N/A,3,N/A,na
screening-and-fanout,equity_fundamental_cash,4,N/A,3,N/A,na
screening-and-fanout,equity_fundamental_dividends,4,N/A,3,N/A,na
screening-and-fanout,equity_fundamental_income,4,N/A,3,N/A,na
screening-and-fanout,equity_fundamental_metrics,4,N/A,3,N/A,na
screening-and-fanout,equity_fundamental_management,4,N/A,3,N/A,na
screening-and-fanout,equity_ownership_share_statistics,4,N/A,3,N/A,na
screening-and-fanout,equity_price_quote,4,N/A,3,N/A,na
screening-and-fanout,equity_price_historical,4,N/A,3,N/A,na
screening-and-fanout,equity_screener,4,4,3,48,medium
screening-and-fanout,equity_profile,4,N/A,2,N/A,na
screening-and-fanout,news_company,4,N/A,3,N/A,na
screening-and-fanout,list_prompts,4,N/A,2,N/A,na
screening-and-fanout,get_prompt,4,N/A,2,N/A,na
screening-and-fanout,list_resources,4,N/A,2,N/A,na
screening-and-fanout,read_resource,4,N/A,3,N/A,na
public-market-data,install_skill,1,N/A,4,N/A,na
public-market-data,crypto_price_historical,1,2,3,6,low
public-market-data,derivatives_options_chains,1,2,3,6,low
public-market-data,derivatives_options_surface,1,2,2,4,low
public-market-data,derivatives_futures_historical,1,2,3,6,low
public-market-data,derivatives_futures_curve,1,2,3,6,low
public-market-data,equity_estimates_consensus,1,N/A,3,N/A,na
public-market-data,equity_discovery_gainers,1,N/A,3,N/A,na
public-market-data,equity_discovery_losers,1,N/A,3,N/A,na
public-market-data,equity_discovery_active,1,N/A,3,N/A,na
public-market-data,equity_discovery_undervalued_large_caps,1,N/A,3,N/A,na
public-market-data,equity_discovery_undervalued_growth,1,N/A,3,N/A,na
public-market-data,equity_discovery_aggressive_small_caps,1,N/A,3,N/A,na
public-market-data,equity_discovery_growth_tech,1,N/A,3,N/A,na
public-market-data,equity_fundamental_balance,1,N/A,3,N/A,na
public-market-data,equity_fundamental_cash,1,N/A,3,N/A,na
public-market-data,equity_fundamental_dividends,1,N/A,3,N/A,na
public-market-data,equity_fundamental_income,1,N/A,3,N/A,na
public-market-data,equity_fundamental_metrics,1,N/A,3,N/A,na
public-market-data,equity_fundamental_management,1,N/A,3,N/A,na
public-market-data,equity_ownership_share_statistics,1,N/A,3,N/A,na
public-market-data,equity_price_quote,1,2,3,6,low
public-market-data,equity_price_historical,1,2,3,6,low
public-market-data,equity_screener,1,N/A,3,N/A,na
public-market-data,equity_profile,1,2,2,4,low
public-market-data,news_company,1,N/A,3,N/A,na
public-market-data,list_prompts,1,N/A,2,N/A,na
public-market-data,get_prompt,1,N/A,2,N/A,na
public-market-data,list_resources,1,N/A,2,N/A,na
public-market-data,read_resource,1,2,3,6,low
public-fundamentals-and-ownership,install_skill,1,N/A,4,N/A,na
public-fundamentals-and-ownership,crypto_price_historical,1,N/A,3,N/A,na
public-fundamentals-and-ownership,derivatives_options_chains,1,N/A,3,N/A,na
public-fundamentals-and-ownership,derivatives_options_surface,1,N/A,2,N/A,na
public-fundamentals-and-ownership,derivatives_futures_historical,1,N/A,3,N/A,na
public-fundamentals-and-ownership,derivatives_futures_curve,1,N/A,3,N/A,na
public-fundamentals-and-ownership,equity_estimates_consensus,1,2,3,6,low
public-fundamentals-and-ownership,equity_discovery_gainers,1,N/A,3,N/A,na
public-fundamentals-and-ownership,equity_discovery_losers,1,N/A,3,N/A,na
public-fundamentals-and-ownership,equity_discovery_active,1,N/A,3,N/A,na
public-fundamentals-and-ownership,equity_discovery_undervalued_large_caps,1,N/A,3,N/A,na
public-fundamentals-and-ownership,equity_discovery_undervalued_growth,1,N/A,3,N/A,na
