asset,tool,sensitivity,blast,impact,score,band
public-filings,get_cik_by_ticker,1,N/A,3,N/A,na
public-filings,get_company_info,1,N/A,2,N/A,na
public-filings,search_companies,1,N/A,2,N/A,na
public-filings,get_company_facts,1,N/A,3,N/A,na
public-filings,get_recent_filings,1,2,2,4,low
public-filings,get_filing_content,1,2,3,6,low
public-filings,analyze_8k,1,2,3,6,low
public-filings,get_filing_sections,1,2,3,6,low
public-filings,get_financials,1,N/A,3,N/A,na
public-filings,get_segment_data,1,N/A,3,N/A,na
public-filings,get_key_metrics,1,N/A,2,N/A,na
public-filings,compare_periods,1,N/A,3,N/A,na
public-filings,discover_company_metrics,1,N/A,2,N/A,na
public-filings,get_xbrl_concepts,1,N/A,3,N/A,na
public-filings,discover_xbrl_concepts,1,N/A,2,N/A,na
public-filings,get_insider_transactions,1,N/A,2,N/A,na
public-filings,get_insider_summary,1,N/A,3,N/A,na
public-filings,get_form4_details,1,N/A,3,N/A,na
public-filings,analyze_form4_transactions,1,N/A,3,N/A,na
public-filings,analyze_insider_sentiment,1,N/A,3,N/A,na
public-filings,get_recommended_tools,1,N/A,3,N/A,na
public-financials,get_cik_by_ticker,1,N/A,3,N/A,na
public-financials,get_company_info,1,N/A,2,N/A,na
public-financials,search_companies,1,N/A,2,N/A,na
public-financials,get_company_facts,1,3,3,9,low
public-financials,get_recent_filings,1,N/A,2,N/A,na
public-financials,get_filing_content,1,N/A,3,N/A,na
public-financials,analyze_8k,1,N/A,3,N/A,na
public-financials,get_filing_sections,1,N/A,3,N/A,na
public-financials,get_financials,1,3,3,9,low
public-financials,get_segment_data,1,3,3,9,low
public-financials,get_key_metrics,1,2,2,4,low
public-financials,compare_periods,1,2,3,6,low
public-financials,discover_company_metrics,1,N/A,2,N/A,na
public-financials,get_xbrl_concepts,1,3,3,9,low
public-financials,discover_xbrl_concepts,1,2,2,4,low
public-financials,get_insider_transactions,1,N/A,2,N/A,na
public-financials,get_insider_summary,1,N/A,3,N/A,na
public-financials,get_form4_details,1,N/A,3,N/A,na
public-financials,analyze_form4_transactions,1,N/A,3,N/A,na
public-financials,analyze_insider_sentiment,1,N/A,3,N/A,na
public-financials,get_recommended_tools,1,N/A,3,N/A,na
public-insider-transactions,get_cik_by_ticker,1,N/A,3,N/A,na
public-insider-transactions,get_company_info,1,N/A,2,N/A,na
public-insider-transactions,search_companies,1,N/A,2,N/A,na
public-insider-transactions,get_company_facts,1,N/A,3,N/A,na
public-insider-transactions,get_recent_filings,1,N/A,2,N/A,na
public-insider-transactions,get_filing_content,1,N/A,3,N/A,na
public-insider-transactions,analyze_8k,1,N/A,3,N/A,na
public-insider-transactions,get_filing_sections,1,N/A,3,N/A,na
public-insider-transactions,get_financials,1,N/A,3,N/A,na
public-insider-transactions,get_segment_data,1,N/A,3,N/A,na
public-insider-transactions,get_key_metrics,1,N/A,2,N/A,na
public-insider-transactions,compare_periods,1,N/A,3,N/A,na
public-insider-transactions,discover_company_metrics,1,N/A,2,N/A,na
public-insider-transactions,get_xbrl_concepts,1,N/A,3,N/A,na
public-insider-transactions,discover_xbrl_concepts,1,N/A,2,N/A,na
public-insider-transactions,get_insider_transactions,1,2,2,4,low
public-insider-transactions,get_insider_summary,1,3,3,9,low
public-insider-transactions,get_form4_details,1,2,3,6,low
public-insider-transactions,analyze_form4_transactions,1,3,3,9,low
public-insider-transactions,analyze_insider_sentiment,1,2,3,6,low
public-insider-transactions,get_recommended_tools,1,N/A,3,N/A,na
company-identifiers,get_cik_by_ticker,2,2,3,12,low
company-identifiers,get_company_info,2,2,2,8,low
company-identifiers,search_companies,2,2,2,8,low
company-identifiers,get_company_facts,2,N/A,3,N/A,na
company-identifiers,get_recent_filings,2,N/A,2,N/A,na
company-identifiers,get_filing_content,2,N/A,3,N/A,na
company-identifiers,analyze_8k,2,N/A,3,N/A,na
company-identifiers,get_filing_sections,2,N/A,3,N/A,na
company-identifiers,get_financials,2,N/A,3,N/A,na
company-identifiers,get_segment_data,2,N/A,3,N/A,na
company-identifiers,get_key_metrics,2,N/A,2,N/A,na
company-identifiers,compare_periods,2,N/A,3,N/A,na
company-identifiers,discover_company_metrics,2,N/A,2,N/A,na
company-identifiers,get_xbrl_concepts,2,N/A,3,N/A,na
company-identifiers,discover_xbrl_concepts,2,N/A,2,N/A,na
company-identifiers,get_insider_transactions,2,N/A,2,N/A,na
company-identifiers,get_insider_summary,2,N/A,3,N/A,na
company-identifiers,get_form4_details,2,N/A,3,N/A,na
company-identifiers,analyze_form4_transactions,2,N/A,3,N/A,na
company-identifiers,analyze_insider_sentiment,2,N/A,3,N/A,na
company-identifiers,get_recommended_tools,2,N/A,3,N/A,na
