asset,tool,sensitivity,blast,impact,score,band
exec-private,channels_list,4,N/A,2,N/A,na
exec-private,channels_me,4,N/A,2,N/A,na
exec-private,conversations_add_message,4,3,3,36,medium
exec-private,conversations_history,4,3,3,36,medium
exec-private,conversations_join,4,5,2,40,medium
exec-private,conversations_leave,4,5,5,100,critical
exec-private,conversations_mark,4,N/A,2,N/A,na
exec-private,conversations_replies,4,3,3,36,medium
exec-private,conversations_search_messages,4,3,3,36,medium
exec-private,conversations_unreads,4,N/A,2,N/A,na
exec-private,usergroups_create,4,N/A,4,N/A,na
exec-private,usergroups_list,4,N/A,2,N/A,na
exec-private,usergroups_me,4,N/A,5,N/A,na
exec-private,usergroups_update,4,N/A,3,N/A,na
exec-private,usergroups_users_update,4,N/A,5,N/A,na
exec-private,users_search,4,N/A,3,N/A,na
hr-internal,channels_list,4,N/A,2,N/A,na
hr-internal,channels_me,4,N/A,2,N/A,na
hr-internal,conversations_add_message,4,3,3,36,medium
hr-internal,conversations_history,4,3,3,36,medium
hr-internal,conversations_join,4,5,2,40,medium
hr-internal,conversations_leave,4,5,5,100,critical
hr-internal,conversations_mark,4,N/A,2,N/A,na
hr-internal,conversations_replies,4,3,3,36,medium
hr-internal,conversations_search_messages,4,3,3,36,medium
hr-internal,conversations_unreads,4,N/A,2,N/A,na
hr-internal,usergroups_create,4,N/A,4,N/A,na
hr-internal,usergroups_list,4,N/A,2,N/A,na
hr-internal,usergroups_me,4,N/A,5,N/A,na
hr-internal,usergroups_update,4,N/A,3,N/A,na
hr-internal,usergroups_users_update,4,N/A,5,N/A,na
hr-internal,users_search,4,N/A,3,N/A,na
incident-response,channels_list,5,N/A,2,N/A,na
incident-response,channels_me,5,N/A,2,N/A,na
incident-response,conversations_add_message,5,3,3,45,medium
incident-response,conversations_history,5,3,3,45,medium
incident-response,conversations_join,5,5,2,50,high
incident-response,conversations_leave,5,5,5,125,critical
incident-response,conversations_mark,5,N/A,2,N/A,na
incident-response,conversations_replies,5,5,3,75,high
incident-response,conversations_search_messages,5,3,3,45,medium
incident-response,conversations_unreads,5,N/A,2,N/A,na
incident-response,usergroups_create,5,N/A,4,N/A,na
incident-response,usergroups_list,5,N/A,2,N/A,na
incident-response,usergroups_me,5,N/A,5,N/A,na
incident-response,usergroups_update,5,N/A,3,N/A,na
incident-response,usergroups_users_update,5,N/A,5,N/A,na
incident-response,users_search,5,N/A,3,N/A,na
on-call,channels_list,5,N/A,2,N/A,na
on-call,channels_me,5,N/A,2,N/A,na
on-call,conversations_add_message,5,3,3,45,medium
on-call,conversations_history,5,3,3,45,medium
on-call,conversations_join,5,5,2,50,high
on-call,conversations_leave,5,5,5,125,critical
on-call,conversations_mark,5,N/A,2,N/A,na
on-call,conversations_replies,5,3,3,45,medium
on-call,conversations_search_messages,5,3,3,45,medium
on-call,conversations_unreads,5,N/A,2,N/A,na
on-call,usergroups_create,5,N/A,4,N/A,na
on-call,usergroups_list,5,N/A,2,N/A,na
on-call,usergroups_me,5,N/A,5,N/A,na
on-call,usergroups_update,5,N/A,3,N/A,na
on-call,usergroups_users_update,5,N/A,5,N/A,na
on-call,users_search,5,N/A,3,N/A,na
team-leads,channels_list,4,N/A,2,N/A,na
team-leads,channels_me,4,N/A,2,N/A,na
team-leads,conversations_add_message,4,2,3,24,medium
team-leads,conversations_history,4,3,3,36,medium
team-leads,conversations_join,4,2,2,16,low
team-leads,conversations_leave,4,2,5,40,medium
team-leads,conversations_mark,4,2,2,16,low
team-leads,conversations_replies,4,3,3,36,medium
team-leads,conversations_search_messages,4,3,3,36,medium
team-leads,conversations_unreads,4,N/A,2,N/A,na
team-leads,usergroups_create,4,N/A,4,N/A,na
team-leads,usergroups_list,4,N/A,2,N/A,na
team-leads,usergroups_me,4,N/A,5,N/A,na
team-leads,usergroups_update,4,N/A,3,N/A,na
team-leads,usergroups_users_update,4,N/A,5,N/A,na
team-leads,users_search,4,N/A,3,N/A,na
research-team,channels_list,4,N/A,2,N/A,na
research-team,channels_me,4,N/A,2,N/A,na
research-team,conversations_add_message,4,3,3,36,medium
research-team,conversations_history,4,2,3,24,medium
research-team,conversations_join,4,2,2,16,low
research-team,conversations_leave,4,5,5,100,critical
research-team,conversations_mark,4,N/A,2,N/A,na
research-team,conversations_replies,4,3,3,36,medium
research-team,conversations_search_messages,4,2,3,24,medium
research-team,conversations_unreads,4,N/A,2,N/A,na
research-team,usergroups_create,4,N/A,4,N/A,na
research-team,usergroups_list,4,N/A,2,N/A,na
research-team,usergroups_me,4,N/A,5,N/A,na
research-team,usergroups_update,4,N/A,3,N/A,na
research-team,usergroups_users_update,4,N/A,5,N/A,na
research-team,users_search,4,N/A,3,N/A,na
engineering,channels_list,3,N/A,2,N/A,na
engineering,channels_me,3,N/A,2,N/A,na
engineering,conversations_add_message,3,2,3,18,medium
engineering,conversations_history,3,3,3,27,medium
engineering,conversations_join,3,2,2,12,low
engineering,conversations_leave,3,2,5,30,medium
engineering,conversations_mark,3,N/A,2,N/A,na
engineering,conversations_replies,3,2,3,18,medium
engineering,conversations_search_messages,3,3,3,27,medium
engineering,conversations_unreads,3,N/A,2,N/A,na
engineering,usergroups_create,3,N/A,4,N/A,na
engineering,usergroups_list,3,N/A,2,N/A,na
engineering,usergroups_me,3,N/A,5,N/A,na
engineering,usergroups_update,3,N/A,3,N/A,na
engineering,usergroups_users_update,3,N/A,5,N/A,na
engineering,users_search,3,N/A,3,N/A,na
general,channels_list,1,N/A,2,N/A,na
general,channels_me,1,N/A,2,N/A,na
general,conversations_add_message,1,4,3,12,low
general,conversations_history,1,4,3,12,low
general,conversations_join,1,2,2,4,low
general,conversations_leave,1,1,5,5,low
general,conversations_mark,1,4,2,8,low
general,conversations_replies,1,4,3,12,low
general,conversations_search_messages,1,4,3,12,low
general,conversations_unreads,1,4,2,8,low
general,usergroups_create,1,N/A,4,N/A,na
general,usergroups_list,1,N/A,2,N/A,na
general,usergroups_me,1,N/A,5,N/A,na
general,usergroups_update,1,N/A,3,N/A,na
general,usergroups_users_update,1,N/A,5,N/A,na
general,users_search,1,N/A,3,N/A,na
announcements,channels_list,1,N/A,2,N/A,na
announcements,channels_me,1,N/A,2,N/A,na
announcements,conversations_add_message,1,4,3,12,low
announcements,conversations_history,1,4,3,12,low
announcements,conversations_join,1,2,2,4,low
announcements,conversations_leave,1,N/A,5,N/A,na
announcements,conversations_mark,1,2,2,4,low
announcements,conversations_replies,1,4,3,12,low
announcements,conversations_search_messages,1,4,3,12,low
announcements,conversations_unreads,1,2,2,4,low
announcements,usergroups_create,1,N/A,4,N/A,na
announcements,usergroups_list,1,N/A,2,N/A,na
announcements,usergroups_me,1,N/A,5,N/A,na
announcements,usergroups_update,1,N/A,3,N/A,na
announcements,usergroups_users_update,1,N/A,5,N/A,na
announcements,users_search,1,N/A,3,N/A,na
random,channels_list,1,N/A,2,N/A,na
random,channels_me,1,N/A,2,N/A,na
random,conversations_add_message,1,2,3,6,low
random,conversations_history,1,2,3,6,low
random,conversations_join,1,2,2,4,low
random,conversations_leave,1,2,5,10,low
random,conversations_mark,1,N/A,2,N/A,na
random,conversations_replies,1,2,3,6,low
random,conversations_search_messages,1,2,3,6,low
random,conversations_unreads,1,N/A,2,N/A,na
random,usergroups_create,1,N/A,4,N/A,na
random,usergroups_list,1,N/A,2,N/A,na
random,usergroups_me,1,N/A,5,N/A,na
random,usergroups_update,1,N/A,3,N/A,na
random,usergroups_users_update,1,N/A,5,N/A,na
random,users_search,1,N/A,3,N/A,na
channel-messages,channels_list,4,N/A,2,N/A,na
channel-messages,channels_me,4,N/A,2,N/A,na
channel-messages,conversations_add_message,4,3,3,36,medium
channel-messages,conversations_history,4,4,3,48,medium
channel-messages,conversations_join,4,N/A,2,N/A,na
channel-messages,conversations_leave,4,N/A,5,N/A,na
channel-messages,conversations_mark,4,N/A,2,N/A,na
channel-messages,conversations_replies,4,3,3,36,medium
channel-messages,conversations_search_messages,4,4,3,48,medium
channel-messages,conversations_unreads,4,3,2,24,medium
channel-messages,usergroups_create,4,N/A,4,N/A,na
channel-messages,usergroups_list,4,N/A,2,N/A,na
channel-messages,usergroups_me,4,N/A,5,N/A,na
channel-messages,usergroups_update,4,N/A,3,N/A,na
channel-messages,usergroups_users_update,4,N/A,5,N/A,na
channel-messages,users_search,4,N/A,3,N/A,na
usergroup-membership,channels_list,4,N/A,2,N/A,na
usergroup-membership,channels_me,4,N/A,2,N/A,na
usergroup-membership,conversations_add_message,4,N/A,3,N/A,na
usergroup-membership,conversations_history,4,N/A,3,N/A,na
usergroup-membership,conversations_join,4,N/A,2,N/A,na
usergroup-membership,conversations_leave,4,N/A,5,N/A,na
usergroup-membership,conversations_mark,4,N/A,2,N/A,na
usergroup-membership,conversations_replies,4,N/A,3,N/A,na
usergroup-membership,conversations_search_messages,4,N/A,3,N/A,na
usergroup-membership,conversations_unreads,4,N/A,2,N/A,na
usergroup-membership,usergroups_create,4,4,4,64,high
usergroup-membership,usergroups_list,4,4,2,32,medium
usergroup-membership,usergroups_me,4,5,5,100,critical
usergroup-membership,usergroups_update,4,3,3,36,medium
usergroup-membership,usergroups_users_update,4,5,5,100,critical
usergroup-membership,users_search,4,N/A,3,N/A,na
user-group-membership,channels_list,4,N/A,2,N/A,na
user-group-membership,channels_me,4,N/A,2,N/A,na
user-group-membership,conversations_add_message,4,N/A,3,N/A,na
user-group-membership,conversations_history,4,N/A,3,N/A,na
user-group-membership,conversations_join,4,N/A,2,N/A,na
user-group-membership,conversations_leave,4,N/A,5,N/A,na
user-group-membership,conversations_mark,4,N/A,2,N/A,na
user-group-membership,conversations_replies,4,N/A,3,N/A,na
user-group-membership,conversations_search_messages,4,N/A,3,N/A,na
user-group-membership,conversations_unreads,4,N/A,2,N/A,na
user-group-membership,usergroups_create,4,4,4,64,high
user-group-membership,usergroups_list,4,3,2,24,medium
user-group-membership,usergroups_me,4,5,5,100,critical
user-group-membership,usergroups_update,4,3,3,36,medium
user-group-membership,usergroups_users_update,4,5,5,100,critical
user-group-membership,users_search,4,N/A,3,N/A,na
agent-channel-membership,channels_list,4,N/A,2,N/A,na
agent-channel-membership,channels_me,4,2,2,16,low
agent-channel-membership,conversations_add_message,4,N/A,3,N/A,na
agent-channel-membership,conversations_history,4,N/A,3,N/A,na
agent-channel-membership,conversations_join,4,2,2,16,low
agent-channel-membership,conversations_leave,4,5,5,100,critical
agent-channel-membership,conversations_mark,4,N/A,2,N/A,na
agent-channel-membership,conversations_replies,4,N/A,3,N/A,na
agent-channel-membership,conversations_search_messages,4,3,3,36,medium
agent-channel-membership,conversations_unreads,4,N/A,2,N/A,na
agent-channel-membership,usergroups_create,4,N/A,4,N/A,na
agent-channel-membership,usergroups_list,4,N/A,2,N/A,na
agent-channel-membership,usergroups_me,4,N/A,5,N/A,na
agent-channel-membership,usergroups_update,4,N/A,3,N/A,na
agent-channel-membership,usergroups_users_update,4,N/A,5,N/A,na
agent-channel-membership,users_search,4,N/A,3,N/A,na
user-directory,channels_list,4,N/A,2,N/A,na
user-directory,channels_me,4,N/A,2,N/A,na
user-directory,conversations_add_message,4,N/A,3,N/A,na
user-directory,conversations_history,4,N/A,3,N/A,na
user-directory,conversations_join,4,N/A,2,N/A,na
user-directory,conversations_leave,4,N/A,5,N/A,na
user-directory,conversations_mark,4,N/A,2,N/A,na
user-directory,conversations_replies,4,N/A,3,N/A,na
user-directory,conversations_search_messages,4,N/A,3,N/A,na
user-directory,conversations_unreads,4,N/A,2,N/A,na
user-directory,usergroups_create,4,N/A,4,N/A,na
user-directory,usergroups_list,4,N/A,2,N/A,na
user-directory,usergroups_me,4,N/A,5,N/A,na
user-directory,usergroups_update,4,N/A,3,N/A,na
user-directory,usergroups_users_update,4,N/A,5,N/A,na
user-directory,users_search,4,4,3,48,medium
channel-directory,channels_list,3,2,2,12,low
channel-directory,channels_me,3,2,2,12,low
channel-directory,conversations_add_message,3,N/A,3,N/A,na
channel-directory,conversations_history,3,N/A,3,N/A,na
channel-directory,conversations_join,3,N/A,2,N/A,na
channel-directory,conversations_leave,3,N/A,5,N/A,na
channel-directory,conversations_mark,3,N/A,2,N/A,na
channel-directory,conversations_replies,3,N/A,3,N/A,na
channel-directory,conversations_search_messages,3,3,3,27,medium
channel-directory,conversations_unreads,3,2,2,12,low
channel-directory,usergroups_create,3,N/A,4,N/A,na
channel-directory,usergroups_list,3,N/A,2,N/A,na
channel-directory,usergroups_me,3,N/A,5,N/A,na
