asset,tool,sensitivity,blast,impact,score,band
api_keys,list_tables,5,N/A,2,N/A,na
api_keys,describe_table,5,5,2,50,high
api_keys,read_query,5,5,3,75,high
api_keys,write_query,5,5,5,125,critical
api_keys,insert_row,5,5,4,100,critical
employees,list_tables,4,N/A,2,N/A,na
employees,describe_table,4,2,2,16,low
employees,read_query,4,4,3,48,medium
employees,write_query,4,5,5,100,critical
employees,insert_row,4,2,4,32,medium
grants,list_tables,4,N/A,2,N/A,na
grants,describe_table,4,2,2,16,low
grants,read_query,4,3,3,36,medium
grants,write_query,4,4,5,80,high
grants,insert_row,4,4,4,64,high
datasets,list_tables,3,N/A,2,N/A,na
datasets,describe_table,3,1,2,6,low
datasets,read_query,3,3,3,27,medium
datasets,write_query,3,2,5,30,medium
datasets,insert_row,3,2,4,24,medium
experiments,list_tables,3,N/A,2,N/A,na
experiments,describe_table,3,2,2,12,low
experiments,read_query,3,3,3,27,medium
experiments,write_query,3,4,5,60,high
experiments,insert_row,3,3,4,36,medium
projects,list_tables,3,N/A,2,N/A,na
projects,describe_table,3,2,2,12,low
projects,read_query,3,2,3,18,medium
projects,write_query,3,2,5,30,medium
projects,insert_row,3,2,4,24,medium
publications,list_tables,1,N/A,2,N/A,na
publications,describe_table,1,2,2,4,low
publications,read_query,1,2,3,6,low
publications,write_query,1,2,5,10,low
publications,insert_row,1,2,4,8,low
database-records,list_tables,5,N/A,2,N/A,na
database-records,describe_table,5,1,2,10,low
database-records,read_query,5,5,3,75,high
database-records,write_query,5,5,5,125,critical
database-records,insert_row,5,N/A,4,N/A,na
table-records,list_tables,3,N/A,2,N/A,na
table-records,describe_table,3,N/A,2,N/A,na
table-records,read_query,3,N/A,3,N/A,na
table-records,write_query,3,5,5,75,high
table-records,insert_row,3,4,4,48,medium
table-catalog,list_tables,3,2,2,12,low
table-catalog,describe_table,3,N/A,2,N/A,na
table-catalog,read_query,3,3,3,27,medium
table-catalog,write_query,3,N/A,5,N/A,na
table-catalog,insert_row,3,N/A,4,N/A,na
table-metadata,list_tables,2,N/A,2,N/A,na
table-metadata,describe_table,2,2,2,8,low
table-metadata,read_query,2,1,3,6,low
table-metadata,write_query,2,N/A,5,N/A,na
table-metadata,insert_row,2,N/A,4,N/A,na
