asset,tool,sensitivity,blast,impact,score,band
public-market-data,get_historical_stock_prices,1,2,3,6,low
public-market-data,get_stock_info,1,2,3,6,low
public-market-data,get_yahoo_finance_news,1,N/A,3,N/A,na
public-market-data,get_stock_actions,1,2,3,6,low
public-market-data,get_financial_statement,1,N/A,3,N/A,na
public-market-data,get_holder_info,1,N/A,3,N/A,na
public-market-data,get_option_expiration_dates,1,N/A,3,N/A,na
public-market-data,get_option_chain,1,2,3,6,low
public-market-data,get_recommendations,1,N/A,3,N/A,na
public-fundamentals,get_historical_stock_prices,1,N/A,3,N/A,na
public-fundamentals,get_stock_info,1,N/A,3,N/A,na
public-fundamentals,get_yahoo_finance_news,1,N/A,3,N/A,na
public-fundamentals,get_stock_actions,1,N/A,3,N/A,na
public-fundamentals,get_financial_statement,1,2,3,6,low
public-fundamentals,get_holder_info,1,2,3,6,low
public-fundamentals,get_option_expiration_dates,1,N/A,3,N/A,na
public-fundamentals,get_option_chain,1,N/A,3,N/A,na
public-fundamentals,get_recommendations,1,2,3,6,low
public-news,get_historical_stock_prices,1,N/A,3,N/A,na
public-news,get_stock_info,1,N/A,3,N/A,na
public-news,get_yahoo_finance_news,1,2,3,6,low
public-news,get_stock_actions,1,N/A,3,N/A,na
public-news,get_financial_statement,1,N/A,3,N/A,na
public-news,get_holder_info,1,N/A,3,N/A,na
public-news,get_option_expiration_dates,1,N/A,3,N/A,na
public-news,get_option_chain,1,N/A,3,N/A,na
public-news,get_recommendations,1,N/A,3,N/A,na
option-expiry-catalog,get_historical_stock_prices,2,N/A,3,N/A,na
option-expiry-catalog,get_stock_info,2,N/A,3,N/A,na
option-expiry-catalog,get_yahoo_finance_news,2,N/A,3,N/A,na
option-expiry-catalog,get_stock_actions,2,N/A,3,N/A,na
option-expiry-catalog,get_financial_statement,2,N/A,3,N/A,na
option-expiry-catalog,get_holder_info,2,N/A,3,N/A,na
option-expiry-catalog,get_option_expiration_dates,2,2,3,12,low
option-expiry-catalog,get_option_chain,2,N/A,3,N/A,na
option-expiry-catalog,get_recommendations,2,N/A,3,N/A,na
research-query-pattern,get_historical_stock_prices,3,3,3,27,medium
research-query-pattern,get_stock_info,3,3,3,27,medium
research-query-pattern,get_yahoo_finance_news,3,N/A,3,N/A,na
research-query-pattern,get_stock_actions,3,N/A,3,N/A,na
research-query-pattern,get_financial_statement,3,3,3,27,medium
research-query-pattern,get_holder_info,3,N/A,3,N/A,na
research-query-pattern,get_option_expiration_dates,3,N/A,3,N/A,na
research-query-pattern,get_option_chain,3,N/A,3,N/A,na
research-query-pattern,get_recommendations,3,N/A,3,N/A,na
