asset,tool,sensitivity,blast,impact,score,band
connected-account-config,list-calendars,4,4,2,32,medium
connected-account-config,list-events,4,1,2,8,low
connected-account-config,search-events,4,1,3,12,low
connected-account-config,get-event,4,1,3,12,low
connected-account-config,list-colors,4,1,2,8,low
connected-account-config,create-event,4,1,4,16,low
connected-account-config,create-events,4,2,4,32,medium
connected-account-config,update-event,4,1,4,16,low
connected-account-config,delete-event,4,1,5,20,medium
connected-account-config,get-freebusy,4,1,2,8,low
connected-account-config,get-current-time,4,1,1,4,low
connected-account-config,respond-to-event,4,1,2,8,low
connected-account-config,manage-accounts,4,5,5,100,critical
contacts,list-calendars,4,1,2,8,low
contacts,list-events,4,3,2,24,medium
contacts,search-events,4,3,3,36,medium
contacts,get-event,4,3,3,36,medium
contacts,list-colors,4,1,2,8,low
contacts,create-event,4,3,4,48,medium
contacts,create-events,4,4,4,64,high
contacts,update-event,4,4,4,64,high
contacts,delete-event,4,1,5,20,medium
contacts,get-freebusy,4,2,2,16,low
contacts,get-current-time,4,1,1,4,low
contacts,respond-to-event,4,1,2,8,low
contacts,manage-accounts,4,4,5,80,high
event-attendee-lists,list-calendars,4,1,2,8,low
event-attendee-lists,list-events,4,3,2,24,medium
event-attendee-lists,search-events,4,3,3,36,medium
event-attendee-lists,get-event,4,3,3,36,medium
event-attendee-lists,list-colors,4,1,2,8,low
event-attendee-lists,create-event,4,3,4,48,medium
event-attendee-lists,create-events,4,4,4,64,high
event-attendee-lists,update-event,4,3,4,48,medium
event-attendee-lists,delete-event,4,3,5,60,high
event-attendee-lists,get-freebusy,4,2,2,16,low
event-attendee-lists,get-current-time,4,1,1,4,low
event-attendee-lists,respond-to-event,4,1,2,8,low
event-attendee-lists,manage-accounts,4,1,5,20,medium
aurora-exec,list-calendars,5,2,2,20,medium
aurora-exec,list-events,5,5,2,50,high
aurora-exec,search-events,5,3,3,45,medium
aurora-exec,get-event,5,4,3,60,high
aurora-exec,list-colors,5,1,2,10,low
aurora-exec,create-event,5,2,4,40,medium
aurora-exec,create-events,5,5,4,100,critical
aurora-exec,update-event,5,4,4,80,high
aurora-exec,delete-event,5,4,5,100,critical
aurora-exec,get-freebusy,5,2,2,20,medium
aurora-exec,get-current-time,5,1,1,5,low
aurora-exec,respond-to-event,5,1,2,10,low
aurora-exec,manage-accounts,5,1,5,25,medium
aurora-regulatory,list-calendars,4,2,2,16,low
aurora-regulatory,list-events,4,3,2,24,medium
aurora-regulatory,search-events,4,3,3,36,medium
aurora-regulatory,get-event,4,3,3,36,medium
aurora-regulatory,list-colors,4,1,2,8,low
aurora-regulatory,create-event,4,3,4,48,medium
aurora-regulatory,create-events,4,4,4,64,high
aurora-regulatory,update-event,4,4,4,64,high
aurora-regulatory,delete-event,4,5,5,100,critical
aurora-regulatory,get-freebusy,4,1,2,8,low
aurora-regulatory,get-current-time,4,1,1,4,low
aurora-regulatory,respond-to-event,4,1,2,8,low
aurora-regulatory,manage-accounts,4,1,5,20,medium
aurora-crew-roster,list-calendars,3,1,2,6,low
aurora-crew-roster,list-events,3,3,2,18,medium
aurora-crew-roster,search-events,3,3,3,27,medium
aurora-crew-roster,get-event,3,3,3,27,medium
aurora-crew-roster,list-colors,3,1,2,6,low
aurora-crew-roster,create-event,3,3,4,36,medium
aurora-crew-roster,create-events,3,4,4,48,medium
aurora-crew-roster,update-event,3,4,4,48,medium
aurora-crew-roster,delete-event,3,4,5,60,high
aurora-crew-roster,get-freebusy,3,2,2,12,low
aurora-crew-roster,get-current-time,3,1,1,3,low
aurora-crew-roster,respond-to-event,3,1,2,6,low
aurora-crew-roster,manage-accounts,3,1,5,15,low
aurora-maintenance,list-calendars,3,1,2,6,low
aurora-maintenance,list-events,3,3,2,18,medium
aurora-maintenance,search-events,3,3,3,27,medium
aurora-maintenance,get-event,3,2,3,18,medium
aurora-maintenance,list-colors,3,1,2,6,low
aurora-maintenance,create-event,3,3,4,36,medium
aurora-maintenance,create-events,3,4,4,48,medium
aurora-maintenance,update-event,3,4,4,48,medium
aurora-maintenance,delete-event,3,4,5,60,high
aurora-maintenance,get-freebusy,3,3,2,18,medium
aurora-maintenance,get-current-time,3,1,1,3,low
aurora-maintenance,respond-to-event,3,1,2,6,low
aurora-maintenance,manage-accounts,3,1,5,15,low
aurora-team,list-calendars,3,2,2,12,low
aurora-team,list-events,3,2,2,12,low
aurora-team,search-events,3,3,3,27,medium
aurora-team,get-event,3,2,3,18,medium
aurora-team,list-colors,3,1,2,6,low
aurora-team,create-event,3,2,4,24,medium
aurora-team,create-events,3,3,4,36,medium
aurora-team,update-event,3,3,4,36,medium
aurora-team,delete-event,3,2,5,30,medium
aurora-team,get-freebusy,3,2,2,12,low
aurora-team,get-current-time,3,1,1,3,low
aurora-team,respond-to-event,3,1,2,6,low
aurora-team,manage-accounts,3,1,5,15,low
outbound-invite-email,list-calendars,3,1,2,6,low
outbound-invite-email,list-events,3,1,2,6,low
outbound-invite-email,search-events,3,4,3,36,medium
outbound-invite-email,get-event,3,5,3,45,medium
outbound-invite-email,list-colors,3,1,2,6,low
outbound-invite-email,create-event,3,5,4,60,high
outbound-invite-email,create-events,3,5,4,60,high
outbound-invite-email,update-event,3,5,4,60,high
outbound-invite-email,delete-event,3,5,5,75,high
outbound-invite-email,get-freebusy,3,1,2,6,low
outbound-invite-email,get-current-time,3,1,1,3,low
outbound-invite-email,respond-to-event,3,1,2,6,low
outbound-invite-email,manage-accounts,3,1,5,15,low
event-records,list-calendars,4,1,2,8,low
event-records,list-events,4,3,2,24,medium
event-records,search-events,4,4,3,48,medium
event-records,get-event,4,3,3,36,medium
event-records,list-colors,4,1,2,8,low
event-records,create-event,4,4,4,64,high
event-records,create-events,4,5,4,80,high
event-records,update-event,4,4,4,64,high
event-records,delete-event,4,5,5,100,critical
event-records,get-freebusy,4,1,2,8,low
event-records,get-current-time,4,1,1,4,low
event-records,respond-to-event,4,2,2,16,low
event-records,manage-accounts,4,1,5,20,medium
calendar-records,list-calendars,2,3,2,12,low
calendar-records,list-events,2,2,2,8,low
calendar-records,search-events,2,3,3,18,medium
calendar-records,get-event,2,1,3,6,low
calendar-records,list-colors,2,1,2,4,low
calendar-records,create-event,2,1,4,8,low
calendar-records,create-events,2,2,4,16,low
calendar-records,update-event,2,1,4,8,low
calendar-records,delete-event,2,1,5,10,low
