asset,tool,sensitivity,blast,impact,score,band
infra-config,create_or_update_file,5,4,4,80,high
infra-config,search_repositories,5,N/A,3,N/A,na
infra-config,create_repository,5,N/A,4,N/A,na
infra-config,get_file_contents,5,5,3,75,high
infra-config,push_files,5,4,4,80,high
infra-config,create_issue,5,N/A,4,N/A,na
infra-config,create_pull_request,5,4,4,80,high
infra-config,fork_repository,5,5,4,100,critical
infra-config,create_branch,5,4,4,80,high
infra-config,list_commits,5,4,2,40,medium
infra-config,list_issues,5,N/A,2,N/A,na
infra-config,update_issue,5,N/A,4,N/A,na
infra-config,add_issue_comment,5,N/A,3,N/A,na
infra-config,search_code,5,4,3,60,high
infra-config,search_issues,5,N/A,3,N/A,na
infra-config,search_users,5,N/A,3,N/A,na
infra-config,get_issue,5,N/A,3,N/A,na
infra-config,get_pull_request,5,N/A,3,N/A,na
infra-config,list_pull_requests,5,2,2,20,medium
infra-config,create_pull_request_review,5,4,4,80,high
infra-config,merge_pull_request,5,4,4,80,high
infra-config,get_pull_request_files,5,4,2,40,medium
infra-config,get_pull_request_status,5,N/A,2,N/A,na
infra-config,update_pull_request_branch,5,5,4,100,critical
infra-config,get_pull_request_comments,5,N/A,3,N/A,na
infra-config,get_pull_request_reviews,5,N/A,3,N/A,na
payments-service,create_or_update_file,5,4,4,80,high
payments-service,search_repositories,5,N/A,3,N/A,na
payments-service,create_repository,5,N/A,4,N/A,na
payments-service,get_file_contents,5,5,3,75,high
payments-service,push_files,5,4,4,80,high
payments-service,create_issue,5,N/A,4,N/A,na
payments-service,create_pull_request,5,4,4,80,high
payments-service,fork_repository,5,5,4,100,critical
payments-service,create_branch,5,4,4,80,high
payments-service,list_commits,5,2,2,20,medium
payments-service,list_issues,5,2,2,20,medium
payments-service,update_issue,5,N/A,4,N/A,na
payments-service,add_issue_comment,5,N/A,3,N/A,na
payments-service,search_code,5,3,3,45,medium
payments-service,search_issues,5,N/A,3,N/A,na
payments-service,search_users,5,N/A,3,N/A,na
payments-service,get_issue,5,N/A,3,N/A,na
payments-service,get_pull_request,5,3,3,45,medium
payments-service,list_pull_requests,5,2,2,20,medium
payments-service,create_pull_request_review,5,4,4,80,high
payments-service,merge_pull_request,5,4,4,80,high
payments-service,get_pull_request_files,5,2,2,20,medium
payments-service,get_pull_request_status,5,N/A,2,N/A,na
payments-service,update_pull_request_branch,5,4,4,80,high
payments-service,get_pull_request_comments,5,3,3,45,medium
payments-service,get_pull_request_reviews,5,3,3,45,medium
backend-api,create_or_update_file,4,4,4,64,high
backend-api,search_repositories,4,N/A,3,N/A,na
backend-api,create_repository,4,N/A,4,N/A,na
backend-api,get_file_contents,4,5,3,60,high
backend-api,push_files,4,4,4,64,high
backend-api,create_issue,4,N/A,4,N/A,na
backend-api,create_pull_request,4,4,4,64,high
backend-api,fork_repository,4,N/A,4,N/A,na
backend-api,create_branch,4,4,4,64,high
backend-api,list_commits,4,2,2,16,low
backend-api,list_issues,4,N/A,2,N/A,na
backend-api,update_issue,4,N/A,4,N/A,na
backend-api,add_issue_comment,4,N/A,3,N/A,na
backend-api,search_code,4,4,3,48,medium
backend-api,search_issues,4,N/A,3,N/A,na
backend-api,search_users,4,N/A,3,N/A,na
backend-api,get_issue,4,N/A,3,N/A,na
backend-api,get_pull_request,4,3,3,36,medium
backend-api,list_pull_requests,4,2,2,16,low
backend-api,create_pull_request_review,4,4,4,64,high
backend-api,merge_pull_request,4,4,4,64,high
backend-api,get_pull_request_files,4,2,2,16,low
backend-api,get_pull_request_status,4,N/A,2,N/A,na
backend-api,update_pull_request_branch,4,4,4,64,high
backend-api,get_pull_request_comments,4,3,3,36,medium
backend-api,get_pull_request_reviews,4,2,3,24,medium
