asset,tool,loss_axis,flags,violates,blast,sens_asset,S,I_C,I_I,I_A,score_C,score_I,score_A,driver,score_v6,band_v6,raised_by_cia,floored_by_sensitivity,workings,control,score_v5,band_v5,delta
connected-account-config,manage-accounts,I≈C>A,self-sufficient hub,I,5,5,5,5,5,0,125,125,0,C,125,critical,False,False,5×5×5,"deny — disclosure cannot be undone, so approval buys nothing",125.0,critical,0.0
contacts,list-events,C>I>A,population,C,5,4,4,2,0,0,50,0,0,C,50,high,True,False,4×5×2,"deny — disclosure cannot be undone, so approval buys nothing",40.0,medium,10.0
contacts,search-events,C>I>A,population,C,5,4,4,4,0,0,100,0,0,C,100,critical,True,False,4×5×4,"deny — disclosure cannot be undone, so approval buys nothing",60.0,high,40.0
contacts,get-event,C>I>A,population,C,1,4,4,5,0,0,20,0,0,C,25,medium,True,True,4×1×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,13.0
contacts,create-event,C>I>A,population,I,5,4,4,4,4,0,100,80,0,C,100,critical,True,False,4×5×4,"deny — disclosure cannot be undone, so approval buys nothing",80.0,high,20.0
contacts,create-events,C>I>A,population,I,5,4,4,4,4,0,100,80,0,C,100,critical,True,False,4×5×4,"deny — disclosure cannot be undone, so approval buys nothing",80.0,high,20.0
contacts,update-event,C>I>A,population,I,5,4,4,4,4,0,100,80,0,C,100,critical,True,False,4×5×4,"deny — disclosure cannot be undone, so approval buys nothing",80.0,high,20.0
event-attendee-lists,list-events,C>I>A,population,C,5,4,4,2,0,0,50,0,0,C,50,high,True,False,4×5×2,"deny — disclosure cannot be undone, so approval buys nothing",40.0,medium,10.0
event-attendee-lists,search-events,C>I>A,population,C,5,4,4,4,0,0,100,0,0,C,100,critical,True,False,4×5×4,"deny — disclosure cannot be undone, so approval buys nothing",60.0,high,40.0
event-attendee-lists,get-event,C>I>A,population,C,1,4,4,5,0,0,20,0,0,C,25,medium,True,True,4×1×5,"deny — disclosure cannot be undone, so approval buys nothing",12.0,low,13.0
event-attendee-lists,create-event,C>I>A,population,I,3,4,4,4,4,0,48,48,0,C,48,medium,False,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",48.0,medium,0.0
event-attendee-lists,create-events,C>I>A,population,I,5,4,4,4,4,0,100,80,0,C,100,critical,True,False,4×5×4,"deny — disclosure cannot be undone, so approval buys nothing",80.0,high,20.0
event-attendee-lists,update-event,C>I>A,population,I,3,4,4,4,4,0,48,48,0,C,48,medium,False,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",48.0,medium,0.0
event-attendee-lists,delete-event,C>I>A,population,I+A,3,4,4,5,5,5,60,60,60,C,60,high,False,False,4×3×5,"deny — disclosure cannot be undone, so approval buys nothing",60.0,high,0.0
