asset,tool,loss_axis,flags,violates,blast,sens_asset,S,I_C,I_I,I_A,score_C,score_I,score_A,driver,score_v6,band_v6,raised_by_cia,floored_by_sensitivity,workings,control,score_v5,band_v5,delta
exec-private,conversations_add_message,C>I>A,,C+I,4,4,4,4,5,0,64,80,0,I,80,high,True,False,4×4×5,require human confirmation — recoverable only if a restore path exists,64.0,high,16.0
exec-private,conversations_history,C>I>A,,C,4,4,4,5,0,0,80,0,0,C,80,high,True,False,4×4×5,"deny — disclosure cannot be undone, so approval buys nothing",48.0,medium,32.0
exec-private,conversations_join,C>I>A,,I,3,4,4,4,4,0,48,48,0,C,48,medium,False,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",48.0,medium,0.0
exec-private,conversations_leave,C>I>A,,I,3,4,4,4,4,0,48,48,0,C,48,medium,False,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",48.0,medium,0.0
exec-private,conversations_mark,C>I>A,,I,1,4,4,2,4,0,8,16,0,I,25,medium,True,True,4×1×4,require human confirmation — recoverable only if a restore path exists,8.0,low,17.0
exec-private,conversations_replies,C>I>A,,C,3,4,4,5,0,0,60,0,0,C,60,high,True,False,4×3×5,"deny — disclosure cannot be undone, so approval buys nothing",36.0,medium,24.0
exec-private,conversations_search_messages,C>I>A,,C+I,4,4,4,4,5,0,64,80,0,I,80,high,True,False,4×4×5,require human confirmation — recoverable only if a restore path exists,48.0,medium,32.0
exec-private,conversations_unreads,C>I>A,,C,1,4,4,3,0,0,12,0,0,,25,medium,False,True,existing score,existing control (CIA adds no reason here),12.0,low,13.0
hr-internal,conversations_add_message,C>I>A,,C+I,4,4,4,4,5,0,64,80,0,I,80,high,True,False,4×4×5,require human confirmation — recoverable only if a restore path exists,64.0,high,16.0
hr-internal,conversations_history,C>I>A,,C,4,4,4,5,0,0,80,0,0,C,80,high,True,False,4×4×5,"deny — disclosure cannot be undone, so approval buys nothing",48.0,medium,32.0
hr-internal,conversations_join,C>I>A,,I,4,4,4,4,4,0,64,64,0,C,64,high,False,False,4×4×4,"deny — disclosure cannot be undone, so approval buys nothing",64.0,high,0.0
hr-internal,conversations_leave,C>I>A,,I,3,4,4,4,4,0,48,48,0,C,48,medium,False,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",48.0,medium,0.0
hr-internal,conversations_mark,C>I>A,,I,1,4,4,2,4,0,8,16,0,I,25,medium,True,True,4×1×4,require human confirmation — recoverable only if a restore path exists,8.0,low,17.0
hr-internal,conversations_replies,C>I>A,,C,3,4,4,5,0,0,60,0,0,C,60,high,True,False,4×3×5,"deny — disclosure cannot be undone, so approval buys nothing",36.0,medium,24.0
hr-internal,conversations_search_messages,C>I>A,,C+I,4,4,4,4,5,0,64,80,0,I,80,high,True,False,4×4×5,require human confirmation — recoverable only if a restore path exists,48.0,medium,32.0
hr-internal,conversations_unreads,C>I>A,,C,2,4,4,3,0,0,24,0,0,,25,medium,False,True,existing score,existing control (CIA adds no reason here),24.0,medium,1.0
incident-response,channels_me,C>I>A,self-sufficient,C,1,5,5,2,0,0,10,0,0,,50,high,False,True,existing score,existing control (CIA adds no reason here),10.0,low,40.0
incident-response,conversations_add_message,C>I>A,self-sufficient,C+I,4,5,5,4,5,0,80,125,0,I,125,critical,True,False,5×4×5,require human confirmation — recoverable only if a restore path exists,80.0,high,45.0
incident-response,conversations_history,C>I>A,self-sufficient,C,5,5,5,5,0,0,125,0,0,C,125,critical,True,False,5×5×5,"deny — disclosure cannot be undone, so approval buys nothing",75.0,high,50.0
incident-response,conversations_join,C>I>A,self-sufficient,I,4,5,5,4,4,0,100,80,0,C,100,critical,True,False,5×4×4,"deny — disclosure cannot be undone, so approval buys nothing",80.0,high,20.0
incident-response,conversations_leave,C>I>A,self-sufficient,I,4,5,5,4,4,0,100,80,0,C,100,critical,True,False,5×4×4,"deny — disclosure cannot be undone, so approval buys nothing",80.0,high,20.0
incident-response,conversations_mark,C>I>A,self-sufficient,I,1,5,5,2,4,0,10,20,0,I,50,high,True,True,5×1×4,require human confirmation — recoverable only if a restore path exists,10.0,low,40.0
incident-response,conversations_replies,C>I>A,self-sufficient,C,5,5,5,5,0,0,125,0,0,C,125,critical,True,False,5×5×5,"deny — disclosure cannot be undone, so approval buys nothing",75.0,high,50.0
incident-response,conversations_search_messages,C>I>A,self-sufficient,C+I,4,5,5,4,5,0,80,125,0,I,125,critical,True,False,5×4×5,require human confirmation — recoverable only if a restore path exists,60.0,high,65.0
incident-response,conversations_unreads,C>I>A,self-sufficient,C,5,5,5,3,0,0,94,0,0,C,94,high,True,False,5×5×3,"deny — disclosure cannot be undone, so approval buys nothing",75.0,high,19.0
on-call,conversations_add_message,C>I>A,,C+I,4,4,4,4,5,0,64,80,0,I,80,high,True,False,4×4×5,require human confirmation — recoverable only if a restore path exists,64.0,high,16.0
on-call,conversations_history,C>I>A,,C,4,4,4,5,0,0,80,0,0,C,80,high,True,False,4×4×5,"deny — disclosure cannot be undone, so approval buys nothing",48.0,medium,32.0
on-call,conversations_join,C>I>A,,I,3,4,4,4,4,0,48,48,0,C,48,medium,False,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",48.0,medium,0.0
on-call,conversations_leave,C>I>A,,I,3,4,4,4,4,0,48,48,0,C,48,medium,False,False,4×3×4,"deny — disclosure cannot be undone, so approval buys nothing",48.0,medium,0.0
