asset,tool,sensitivity,blast,impact,score,band
connected-account-config,list-calendars,5,2,2,20,medium
connected-account-config,list-events,5,N/A,2,N/A,na
connected-account-config,search-events,5,N/A,3,N/A,na
connected-account-config,get-event,5,N/A,3,N/A,na
connected-account-config,list-colors,5,N/A,2,N/A,na
connected-account-config,create-event,5,N/A,4,N/A,na
connected-account-config,create-events,5,N/A,4,N/A,na
connected-account-config,update-event,5,N/A,4,N/A,na
connected-account-config,delete-event,5,N/A,5,N/A,na
connected-account-config,get-freebusy,5,N/A,2,N/A,na
connected-account-config,get-current-time,5,N/A,1,N/A,na
connected-account-config,respond-to-event,5,N/A,2,N/A,na
connected-account-config,manage-accounts,5,5,5,125,critical
person-records,list-calendars,4,N/A,2,N/A,na
person-records,list-events,4,2,2,16,low
person-records,search-events,4,3,3,36,medium
person-records,get-event,4,2,3,24,medium
person-records,list-colors,4,N/A,2,N/A,na
person-records,create-event,4,3,4,48,medium
person-records,create-events,4,N/A,4,N/A,na
person-records,update-event,4,2,4,32,medium
person-records,delete-event,4,N/A,5,N/A,na
person-records,get-freebusy,4,N/A,2,N/A,na
person-records,get-current-time,4,N/A,1,N/A,na
person-records,respond-to-event,4,N/A,2,N/A,na
person-records,manage-accounts,4,N/A,5,N/A,na
aurora-exec,list-calendars,5,N/A,2,N/A,na
aurora-exec,list-events,5,2,2,20,medium
aurora-exec,search-events,5,3,3,45,medium
aurora-exec,get-event,5,5,3,75,high
aurora-exec,list-colors,5,N/A,2,N/A,na
aurora-exec,create-event,5,4,4,80,high
aurora-exec,create-events,5,5,4,100,critical
aurora-exec,update-event,5,4,4,80,high
aurora-exec,delete-event,5,5,5,125,critical
aurora-exec,get-freebusy,5,2,2,20,medium
aurora-exec,get-current-time,5,N/A,1,N/A,na
aurora-exec,respond-to-event,5,2,2,20,medium
aurora-exec,manage-accounts,5,N/A,5,N/A,na
aurora-regulatory,list-calendars,4,N/A,2,N/A,na
aurora-regulatory,list-events,4,2,2,16,low
aurora-regulatory,search-events,4,3,3,36,medium
aurora-regulatory,get-event,4,2,3,24,medium
aurora-regulatory,list-colors,4,N/A,2,N/A,na
aurora-regulatory,create-event,4,4,4,64,high
aurora-regulatory,create-events,4,5,4,80,high
aurora-regulatory,update-event,4,3,4,48,medium
aurora-regulatory,delete-event,4,5,5,100,critical
aurora-regulatory,get-freebusy,4,2,2,16,low
aurora-regulatory,get-current-time,4,N/A,1,N/A,na
aurora-regulatory,respond-to-event,4,2,2,16,low
aurora-regulatory,manage-accounts,4,N/A,5,N/A,na
aurora-crew-roster,list-calendars,4,N/A,2,N/A,na
aurora-crew-roster,list-events,4,2,2,16,low
aurora-crew-roster,search-events,4,3,3,36,medium
aurora-crew-roster,get-event,4,2,3,24,medium
aurora-crew-roster,list-colors,4,N/A,2,N/A,na
aurora-crew-roster,create-event,4,4,4,64,high
aurora-crew-roster,create-events,4,5,4,80,high
aurora-crew-roster,update-event,4,4,4,64,high
aurora-crew-roster,delete-event,4,4,5,80,high
aurora-crew-roster,get-freebusy,4,N/A,2,N/A,na
aurora-crew-roster,get-current-time,4,N/A,1,N/A,na
aurora-crew-roster,respond-to-event,4,2,2,16,low
aurora-crew-roster,manage-accounts,4,N/A,5,N/A,na
aurora-maintenance,list-calendars,5,N/A,2,N/A,na
aurora-maintenance,list-events,5,2,2,20,medium
aurora-maintenance,search-events,5,3,3,45,medium
aurora-maintenance,get-event,5,2,3,30,medium
aurora-maintenance,list-colors,5,N/A,2,N/A,na
aurora-maintenance,create-event,5,4,4,80,high
aurora-maintenance,create-events,5,5,4,100,critical
aurora-maintenance,update-event,5,4,4,80,high
aurora-maintenance,delete-event,5,5,5,125,critical
aurora-maintenance,get-freebusy,5,N/A,2,N/A,na
aurora-maintenance,get-current-time,5,N/A,1,N/A,na
aurora-maintenance,respond-to-event,5,2,2,20,medium
aurora-maintenance,manage-accounts,5,N/A,5,N/A,na
outbound-invite-email,list-calendars,4,N/A,2,N/A,na
outbound-invite-email,list-events,4,N/A,2,N/A,na
outbound-invite-email,search-events,4,N/A,3,N/A,na
