asset,tool,sensitivity,blast,impact,score,band
security-keys,read_file,5,5,3,75,high
security-keys,read_text_file,5,5,3,75,high
security-keys,read_media_file,5,N/A,3,N/A,na
security-keys,read_multiple_files,5,5,3,75,high
security-keys,write_file,5,5,4,100,critical
security-keys,edit_file,5,5,4,100,critical
security-keys,create_directory,5,N/A,4,N/A,na
security-keys,list_directory,5,N/A,2,N/A,na
security-keys,list_directory_with_sizes,5,N/A,2,N/A,na
security-keys,directory_tree,5,N/A,2,N/A,na
security-keys,move_file,5,5,4,100,critical
security-keys,search_files,5,5,2,50,high
security-keys,get_file_info,5,N/A,2,N/A,na
security-keys,list_allowed_directories,5,N/A,2,N/A,na
payroll-records,read_file,5,5,3,75,high
payroll-records,read_text_file,5,5,3,75,high
payroll-records,read_media_file,5,N/A,3,N/A,na
payroll-records,read_multiple_files,5,5,3,75,high
payroll-records,write_file,5,5,4,100,critical
payroll-records,edit_file,5,5,4,100,critical
payroll-records,create_directory,5,N/A,4,N/A,na
payroll-records,list_directory,5,N/A,2,N/A,na
payroll-records,list_directory_with_sizes,5,N/A,2,N/A,na
payroll-records,directory_tree,5,N/A,2,N/A,na
payroll-records,move_file,5,4,4,80,high
payroll-records,search_files,5,5,2,50,high
payroll-records,get_file_info,5,N/A,2,N/A,na
payroll-records,list_allowed_directories,5,N/A,2,N/A,na
audit-records,read_file,4,4,3,48,medium
audit-records,read_text_file,4,4,3,48,medium
audit-records,read_media_file,4,N/A,3,N/A,na
audit-records,read_multiple_files,4,5,3,60,high
audit-records,write_file,4,4,4,64,high
audit-records,edit_file,4,4,4,64,high
audit-records,create_directory,4,N/A,4,N/A,na
audit-records,list_directory,4,N/A,2,N/A,na
audit-records,list_directory_with_sizes,4,N/A,2,N/A,na
audit-records,directory_tree,4,N/A,2,N/A,na
audit-records,move_file,4,4,4,64,high
audit-records,search_files,4,2,2,16,low
audit-records,get_file_info,4,N/A,2,N/A,na
audit-records,list_allowed_directories,4,N/A,2,N/A,na
product-source,read_file,4,5,3,60,high
product-source,read_text_file,4,5,3,60,high
product-source,read_media_file,4,N/A,3,N/A,na
product-source,read_multiple_files,4,5,3,60,high
product-source,write_file,4,5,4,80,high
product-source,edit_file,4,5,4,80,high
product-source,create_directory,4,N/A,4,N/A,na
product-source,list_directory,4,3,2,24,medium
product-source,list_directory_with_sizes,4,2,2,16,low
product-source,directory_tree,4,N/A,2,N/A,na
product-source,move_file,4,5,4,80,high
product-source,search_files,4,5,2,40,medium
product-source,get_file_info,4,5,2,40,medium
product-source,list_allowed_directories,4,N/A,2,N/A,na
file-read-surface,read_file,4,5,3,60,high
file-read-surface,read_text_file,4,5,3,60,high
file-read-surface,read_media_file,4,4,3,48,medium
file-read-surface,read_multiple_files,4,5,3,60,high
file-read-surface,write_file,4,N/A,4,N/A,na
file-read-surface,edit_file,4,N/A,4,N/A,na
file-read-surface,create_directory,4,N/A,4,N/A,na
file-read-surface,list_directory,4,4,2,32,medium
file-read-surface,list_directory_with_sizes,4,4,2,32,medium
file-read-surface,directory_tree,4,5,2,40,medium
file-read-surface,move_file,4,N/A,4,N/A,na
file-read-surface,search_files,4,5,2,40,medium
file-read-surface,get_file_info,4,4,2,32,medium
file-read-surface,list_allowed_directories,4,N/A,2,N/A,na
file-write-surface,read_file,4,N/A,3,N/A,na
file-write-surface,read_text_file,4,N/A,3,N/A,na
file-write-surface,read_media_file,4,N/A,3,N/A,na
file-write-surface,read_multiple_files,4,N/A,3,N/A,na
file-write-surface,write_file,4,4,4,64,high
file-write-surface,edit_file,4,4,4,64,high
file-write-surface,create_directory,4,4,4,64,high
