asset,tool,sensitivity,blast,impact,score,band
helios-perimeter-code,create_or_update_file,5,5,4,100,critical
helios-perimeter-code,search_repositories,5,4,3,60,high
helios-perimeter-code,create_repository,5,N/A,4,N/A,na
helios-perimeter-code,get_file_contents,5,5,3,75,high
helios-perimeter-code,push_files,5,5,4,100,critical
helios-perimeter-code,create_issue,5,N/A,4,N/A,na
helios-perimeter-code,create_pull_request,5,4,4,80,high
helios-perimeter-code,fork_repository,5,N/A,4,N/A,na
helios-perimeter-code,create_branch,5,4,4,80,high
helios-perimeter-code,list_commits,5,4,2,40,medium
helios-perimeter-code,list_issues,5,N/A,2,N/A,na
helios-perimeter-code,update_issue,5,N/A,4,N/A,na
helios-perimeter-code,add_issue_comment,5,N/A,3,N/A,na
helios-perimeter-code,search_code,5,4,3,60,high
helios-perimeter-code,search_issues,5,N/A,3,N/A,na
helios-perimeter-code,search_users,5,N/A,3,N/A,na
helios-perimeter-code,get_issue,5,N/A,3,N/A,na
helios-perimeter-code,get_pull_request,5,4,3,60,high
helios-perimeter-code,list_pull_requests,5,4,2,40,medium
helios-perimeter-code,create_pull_request_review,5,4,4,80,high
helios-perimeter-code,merge_pull_request,5,5,4,100,critical
helios-perimeter-code,get_pull_request_files,5,4,2,40,medium
helios-perimeter-code,get_pull_request_status,5,N/A,2,N/A,na
helios-perimeter-code,update_pull_request_branch,5,4,4,80,high
helios-perimeter-code,get_pull_request_comments,5,N/A,3,N/A,na
helios-perimeter-code,get_pull_request_reviews,5,N/A,3,N/A,na
helios-ot-runbooks,create_or_update_file,5,4,4,80,high
helios-ot-runbooks,search_repositories,5,3,3,45,medium
helios-ot-runbooks,create_repository,5,N/A,4,N/A,na
helios-ot-runbooks,get_file_contents,5,4,3,60,high
helios-ot-runbooks,push_files,5,4,4,80,high
helios-ot-runbooks,create_issue,5,N/A,4,N/A,na
helios-ot-runbooks,create_pull_request,5,4,4,80,high
helios-ot-runbooks,fork_repository,5,5,4,100,critical
helios-ot-runbooks,create_branch,5,4,4,80,high
helios-ot-runbooks,list_commits,5,3,2,30,medium
helios-ot-runbooks,list_issues,5,N/A,2,N/A,na
helios-ot-runbooks,update_issue,5,N/A,4,N/A,na
helios-ot-runbooks,add_issue_comment,5,N/A,3,N/A,na
helios-ot-runbooks,search_code,5,4,3,60,high
helios-ot-runbooks,search_issues,5,N/A,3,N/A,na
helios-ot-runbooks,search_users,5,N/A,3,N/A,na
helios-ot-runbooks,get_issue,5,N/A,3,N/A,na
helios-ot-runbooks,get_pull_request,5,2,3,30,medium
helios-ot-runbooks,list_pull_requests,5,4,2,40,medium
helios-ot-runbooks,create_pull_request_review,5,2,4,40,medium
helios-ot-runbooks,merge_pull_request,5,4,4,80,high
helios-ot-runbooks,get_pull_request_files,5,4,2,40,medium
helios-ot-runbooks,get_pull_request_status,5,N/A,2,N/A,na
helios-ot-runbooks,update_pull_request_branch,5,4,4,80,high
helios-ot-runbooks,get_pull_request_comments,5,N/A,3,N/A,na
helios-ot-runbooks,get_pull_request_reviews,5,N/A,3,N/A,na
branch-heads,create_or_update_file,5,4,4,80,high
branch-heads,search_repositories,5,N/A,3,N/A,na
branch-heads,create_repository,5,N/A,4,N/A,na
branch-heads,get_file_contents,5,4,3,60,high
branch-heads,push_files,5,4,4,80,high
branch-heads,create_issue,5,N/A,4,N/A,na
branch-heads,create_pull_request,5,4,4,80,high
branch-heads,fork_repository,5,N/A,4,N/A,na
branch-heads,create_branch,5,4,4,80,high
branch-heads,list_commits,5,4,2,40,medium
branch-heads,list_issues,5,N/A,2,N/A,na
branch-heads,update_issue,5,N/A,4,N/A,na
branch-heads,add_issue_comment,5,N/A,3,N/A,na
branch-heads,search_code,5,5,3,75,high
branch-heads,search_issues,5,N/A,3,N/A,na
branch-heads,search_users,5,N/A,3,N/A,na
branch-heads,get_issue,5,N/A,3,N/A,na
branch-heads,get_pull_request,5,N/A,3,N/A,na
branch-heads,list_pull_requests,5,N/A,2,N/A,na
branch-heads,create_pull_request_review,5,N/A,4,N/A,na
branch-heads,merge_pull_request,5,4,4,80,high
branch-heads,get_pull_request_files,5,N/A,2,N/A,na
branch-heads,get_pull_request_status,5,N/A,2,N/A,na
branch-heads,update_pull_request_branch,5,4,4,80,high
branch-heads,get_pull_request_comments,5,N/A,3,N/A,na
branch-heads,get_pull_request_reviews,5,N/A,3,N/A,na
helios-market-bidding-engine,create_or_update_file,4,4,4,64,high
helios-market-bidding-engine,search_repositories,4,2,3,24,medium
helios-market-bidding-engine,create_repository,4,N/A,4,N/A,na
helios-market-bidding-engine,get_file_contents,4,3,3,36,medium
helios-market-bidding-engine,push_files,4,4,4,64,high
helios-market-bidding-engine,create_issue,4,N/A,4,N/A,na
helios-market-bidding-engine,create_pull_request,4,3,4,48,medium
helios-market-bidding-engine,fork_repository,4,N/A,4,N/A,na
helios-market-bidding-engine,create_branch,4,4,4,64,high
helios-market-bidding-engine,list_commits,4,2,2,16,low
helios-market-bidding-engine,list_issues,4,2,2,16,low
helios-market-bidding-engine,update_issue,4,N/A,4,N/A,na
helios-market-bidding-engine,add_issue_comment,4,2,3,24,medium
helios-market-bidding-engine,search_code,4,3,3,36,medium
helios-market-bidding-engine,search_issues,4,2,3,24,medium
helios-market-bidding-engine,search_users,4,N/A,3,N/A,na
helios-market-bidding-engine,get_issue,4,N/A,3,N/A,na
helios-market-bidding-engine,get_pull_request,4,3,3,36,medium
helios-market-bidding-engine,list_pull_requests,4,2,2,16,low
helios-market-bidding-engine,create_pull_request_review,4,2,4,32,medium
helios-market-bidding-engine,merge_pull_request,4,4,4,64,high
helios-market-bidding-engine,get_pull_request_files,4,4,2,32,medium
helios-market-bidding-engine,get_pull_request_status,4,2,2,16,low
helios-market-bidding-engine,update_pull_request_branch,4,4,4,64,high
helios-market-bidding-engine,get_pull_request_comments,4,2,3,24,medium
helios-market-bidding-engine,get_pull_request_reviews,4,2,3,24,medium
code-read-surface,create_or_update_file,5,N/A,4,N/A,na
code-read-surface,search_repositories,5,4,3,60,high
code-read-surface,create_repository,5,N/A,4,N/A,na
code-read-surface,get_file_contents,5,5,3,75,high
code-read-surface,push_files,5,N/A,4,N/A,na
code-read-surface,create_issue,5,N/A,4,N/A,na
code-read-surface,create_pull_request,5,N/A,4,N/A,na
code-read-surface,fork_repository,5,N/A,4,N/A,na
code-read-surface,create_branch,5,N/A,4,N/A,na
code-read-surface,list_commits,5,4,2,40,medium
code-read-surface,list_issues,5,N/A,2,N/A,na
code-read-surface,update_issue,5,N/A,4,N/A,na
code-read-surface,add_issue_comment,5,N/A,3,N/A,na
code-read-surface,search_code,5,5,3,75,high
code-read-surface,search_issues,5,N/A,3,N/A,na
code-read-surface,search_users,5,N/A,3,N/A,na
code-read-surface,get_issue,5,N/A,3,N/A,na
code-read-surface,get_pull_request,5,N/A,3,N/A,na
code-read-surface,list_pull_requests,5,4,2,40,medium
code-read-surface,create_pull_request_review,5,N/A,4,N/A,na
code-read-surface,merge_pull_request,5,N/A,4,N/A,na
code-read-surface,get_pull_request_files,5,4,2,40,medium
code-read-surface,get_pull_request_status,5,N/A,2,N/A,na
code-read-surface,update_pull_request_branch,5,N/A,4,N/A,na
code-read-surface,get_pull_request_comments,5,N/A,3,N/A,na
code-read-surface,get_pull_request_reviews,5,N/A,3,N/A,na
code-write-surface,create_or_update_file,5,5,4,100,critical
code-write-surface,search_repositories,5,N/A,3,N/A,na
code-write-surface,create_repository,5,5,4,100,critical
code-write-surface,get_file_contents,5,N/A,3,N/A,na
code-write-surface,push_files,5,4,4,80,high
code-write-surface,create_issue,5,N/A,4,N/A,na
code-write-surface,create_pull_request,5,4,4,80,high
code-write-surface,fork_repository,5,N/A,4,N/A,na
code-write-surface,create_branch,5,4,4,80,high
code-write-surface,list_commits,5,N/A,2,N/A,na
code-write-surface,list_issues,5,N/A,2,N/A,na
code-write-surface,update_issue,5,N/A,4,N/A,na
code-write-surface,add_issue_comment,5,N/A,3,N/A,na
code-write-surface,search_code,5,5,3,75,high
code-write-surface,search_issues,5,N/A,3,N/A,na
code-write-surface,search_users,5,N/A,3,N/A,na
code-write-surface,get_issue,5,N/A,3,N/A,na
code-write-surface,get_pull_request,5,N/A,3,N/A,na
code-write-surface,list_pull_requests,5,N/A,2,N/A,na
code-write-surface,create_pull_request_review,5,N/A,4,N/A,na
code-write-surface,merge_pull_request,5,5,4,100,critical
code-write-surface,get_pull_request_files,5,N/A,2,N/A,na
code-write-surface,get_pull_request_status,5,N/A,2,N/A,na
code-write-surface,update_pull_request_branch,5,4,4,80,high
code-write-surface,get_pull_request_comments,5,N/A,3,N/A,na
code-write-surface,get_pull_request_reviews,5,N/A,3,N/A,na
change-control-records,create_or_update_file,4,N/A,4,N/A,na
change-control-records,search_repositories,4,N/A,3,N/A,na
change-control-records,create_repository,4,N/A,4,N/A,na
change-control-records,get_file_contents,4,N/A,3,N/A,na
change-control-records,push_files,4,N/A,4,N/A,na
change-control-records,create_issue,4,N/A,4,N/A,na
change-control-records,create_pull_request,4,4,4,64,high
change-control-records,fork_repository,4,N/A,4,N/A,na
change-control-records,create_branch,4,N/A,4,N/A,na
change-control-records,list_commits,4,2,2,16,low
change-control-records,list_issues,4,3,2,24,medium
change-control-records,update_issue,4,N/A,4,N/A,na
change-control-records,add_issue_comment,4,2,3,24,medium
change-control-records,search_code,4,4,3,48,medium
change-control-records,search_issues,4,2,3,24,medium
change-control-records,search_users,4,N/A,3,N/A,na
change-control-records,get_issue,4,N/A,3,N/A,na
change-control-records,get_pull_request,4,3,3,36,medium
change-control-records,list_pull_requests,4,3,2,24,medium
change-control-records,create_pull_request_review,4,4,4,64,high
change-control-records,merge_pull_request,4,4,4,64,high
change-control-records,get_pull_request_files,4,2,2,16,low
change-control-records,get_pull_request_status,4,2,2,16,low
change-control-records,update_pull_request_branch,4,4,4,64,high
change-control-records,get_pull_request_comments,4,2,3,24,medium
change-control-records,get_pull_request_reviews,4,3,3,36,medium
org-external-copies,create_or_update_file,4,N/A,4,N/A,na
org-external-copies,search_repositories,4,4,3,48,medium
org-external-copies,create_repository,4,5,4,80,high
org-external-copies,get_file_contents,4,N/A,3,N/A,na
org-external-copies,push_files,4,N/A,4,N/A,na
org-external-copies,create_issue,4,N/A,4,N/A,na
