asset,tool,sensitivity,blast,impact,score,band
vireo-unblinding,channels_list,5,2,2,20,medium
vireo-unblinding,channels_me,5,N/A,2,N/A,na
vireo-unblinding,conversations_add_message,5,5,3,75,high
vireo-unblinding,conversations_history,5,5,3,75,high
vireo-unblinding,conversations_join,5,4,2,40,medium
vireo-unblinding,conversations_leave,5,1,5,25,medium
vireo-unblinding,conversations_mark,5,N/A,2,N/A,na
vireo-unblinding,conversations_replies,5,3,3,45,medium
vireo-unblinding,conversations_search_messages,5,5,3,75,high
vireo-unblinding,conversations_unreads,5,4,2,40,medium
vireo-unblinding,usergroups_create,5,N/A,4,N/A,na
vireo-unblinding,usergroups_list,5,N/A,2,N/A,na
vireo-unblinding,usergroups_me,5,N/A,5,N/A,na
vireo-unblinding,usergroups_update,5,N/A,3,N/A,na
vireo-unblinding,usergroups_users_update,5,N/A,5,N/A,na
vireo-unblinding,users_search,5,N/A,3,N/A,na
vireo-safety-pv,channels_list,4,N/A,2,N/A,na
vireo-safety-pv,channels_me,4,N/A,2,N/A,na
vireo-safety-pv,conversations_add_message,4,3,3,36,medium
vireo-safety-pv,conversations_history,4,3,3,36,medium
vireo-safety-pv,conversations_join,4,2,2,16,low
vireo-safety-pv,conversations_leave,4,2,5,40,medium
vireo-safety-pv,conversations_mark,4,N/A,2,N/A,na
vireo-safety-pv,conversations_replies,4,3,3,36,medium
vireo-safety-pv,conversations_search_messages,4,3,3,36,medium
vireo-safety-pv,conversations_unreads,4,N/A,2,N/A,na
vireo-safety-pv,usergroups_create,4,N/A,4,N/A,na
vireo-safety-pv,usergroups_list,4,N/A,2,N/A,na
vireo-safety-pv,usergroups_me,4,N/A,5,N/A,na
vireo-safety-pv,usergroups_update,4,N/A,3,N/A,na
vireo-safety-pv,usergroups_users_update,4,N/A,5,N/A,na
vireo-safety-pv,users_search,4,N/A,3,N/A,na
vireo-regulatory-fda,channels_list,4,N/A,2,N/A,na
vireo-regulatory-fda,channels_me,4,N/A,2,N/A,na
vireo-regulatory-fda,conversations_add_message,4,3,3,36,medium
vireo-regulatory-fda,conversations_history,4,3,3,36,medium
vireo-regulatory-fda,conversations_join,4,2,2,16,low
vireo-regulatory-fda,conversations_leave,4,2,5,40,medium
vireo-regulatory-fda,conversations_mark,4,N/A,2,N/A,na
vireo-regulatory-fda,conversations_replies,4,3,3,36,medium
vireo-regulatory-fda,conversations_search_messages,4,3,3,36,medium
vireo-regulatory-fda,conversations_unreads,4,N/A,2,N/A,na
vireo-regulatory-fda,usergroups_create,4,N/A,4,N/A,na
vireo-regulatory-fda,usergroups_list,4,N/A,2,N/A,na
vireo-regulatory-fda,usergroups_me,4,N/A,5,N/A,na
vireo-regulatory-fda,usergroups_update,4,N/A,3,N/A,na
vireo-regulatory-fda,usergroups_users_update,4,N/A,5,N/A,na
vireo-regulatory-fda,users_search,4,N/A,3,N/A,na
vireo-trial-conduct,channels_list,4,N/A,2,N/A,na
vireo-trial-conduct,channels_me,4,N/A,2,N/A,na
vireo-trial-conduct,conversations_add_message,4,3,3,36,medium
vireo-trial-conduct,conversations_history,4,3,3,36,medium
vireo-trial-conduct,conversations_join,4,2,2,16,low
vireo-trial-conduct,conversations_leave,4,2,5,40,medium
vireo-trial-conduct,conversations_mark,4,2,2,16,low
vireo-trial-conduct,conversations_replies,4,3,3,36,medium
vireo-trial-conduct,conversations_search_messages,4,3,3,36,medium
vireo-trial-conduct,conversations_unreads,4,2,2,16,low
vireo-trial-conduct,usergroups_create,4,N/A,4,N/A,na
vireo-trial-conduct,usergroups_list,4,N/A,2,N/A,na
vireo-trial-conduct,usergroups_me,4,N/A,5,N/A,na
vireo-trial-conduct,usergroups_update,4,N/A,3,N/A,na
vireo-trial-conduct,usergroups_users_update,4,N/A,5,N/A,na
vireo-trial-conduct,users_search,4,N/A,3,N/A,na
channel-message-surface,channels_list,5,4,2,40,medium
channel-message-surface,channels_me,5,N/A,2,N/A,na
channel-message-surface,conversations_add_message,5,3,3,45,medium
channel-message-surface,conversations_history,5,3,3,45,medium
channel-message-surface,conversations_join,5,3,2,30,medium
channel-message-surface,conversations_leave,5,2,5,50,high
channel-message-surface,conversations_mark,5,2,2,20,medium
channel-message-surface,conversations_replies,5,3,3,45,medium
channel-message-surface,conversations_search_messages,5,3,3,45,medium
channel-message-surface,conversations_unreads,5,4,2,40,medium
channel-message-surface,usergroups_create,5,N/A,4,N/A,na
channel-message-surface,usergroups_list,5,N/A,2,N/A,na
channel-message-surface,usergroups_me,5,N/A,5,N/A,na
channel-message-surface,usergroups_update,5,N/A,3,N/A,na
channel-message-surface,usergroups_users_update,5,N/A,5,N/A,na
channel-message-surface,users_search,5,N/A,3,N/A,na
access-control-state,channels_list,4,4,2,32,medium
access-control-state,channels_me,4,2,2,16,low
access-control-state,conversations_add_message,4,N/A,3,N/A,na
access-control-state,conversations_history,4,3,3,36,medium
access-control-state,conversations_join,4,3,2,24,medium
access-control-state,conversations_leave,4,2,5,40,medium
access-control-state,conversations_mark,4,N/A,2,N/A,na
access-control-state,conversations_replies,4,3,3,36,medium
access-control-state,conversations_search_messages,4,3,3,36,medium
access-control-state,conversations_unreads,4,3,2,24,medium
access-control-state,usergroups_create,4,4,4,64,high
access-control-state,usergroups_list,4,4,2,32,medium
access-control-state,usergroups_me,4,4,5,80,high
access-control-state,usergroups_update,4,3,3,36,medium
access-control-state,usergroups_users_update,4,5,5,100,critical
access-control-state,users_search,4,N/A,3,N/A,na
