asset,tool,sensitivity,blast,impact,score,band
security-keys,read_file,4,5,3,60,high
security-keys,read_text_file,4,5,3,60,high
security-keys,read_media_file,4,N/A,3,N/A,na
security-keys,read_multiple_files,4,5,3,60,high
security-keys,write_file,4,5,4,80,high
security-keys,edit_file,4,5,4,80,high
security-keys,create_directory,4,N/A,4,N/A,na
security-keys,list_directory,4,N/A,2,N/A,na
security-keys,list_directory_with_sizes,4,5,2,40,medium
security-keys,directory_tree,4,5,2,40,medium
security-keys,move_file,4,5,4,80,high
security-keys,search_files,4,5,2,40,medium
security-keys,get_file_info,4,N/A,2,N/A,na
security-keys,list_allowed_directories,4,N/A,2,N/A,na
payroll-records,read_file,4,5,3,60,high
payroll-records,read_text_file,4,5,3,60,high
payroll-records,read_media_file,4,N/A,3,N/A,na
payroll-records,read_multiple_files,4,5,3,60,high
payroll-records,write_file,4,4,4,64,high
payroll-records,edit_file,4,5,4,80,high
payroll-records,create_directory,4,N/A,4,N/A,na
payroll-records,list_directory,4,2,2,16,low
payroll-records,list_directory_with_sizes,4,4,2,32,medium
payroll-records,directory_tree,4,N/A,2,N/A,na
payroll-records,move_file,4,4,4,64,high
payroll-records,search_files,4,4,2,32,medium
payroll-records,get_file_info,4,2,2,16,low
payroll-records,list_allowed_directories,4,N/A,2,N/A,na
audit-records,read_file,4,4,3,48,medium
audit-records,read_text_file,4,4,3,48,medium
audit-records,read_media_file,4,N/A,3,N/A,na
audit-records,read_multiple_files,4,5,3,60,high
audit-records,write_file,4,4,4,64,high
audit-records,edit_file,4,4,4,64,high
audit-records,create_directory,4,N/A,4,N/A,na
audit-records,list_directory,4,N/A,2,N/A,na
audit-records,list_directory_with_sizes,4,N/A,2,N/A,na
audit-records,directory_tree,4,N/A,2,N/A,na
audit-records,move_file,4,4,4,64,high
audit-records,search_files,4,2,2,16,low
audit-records,get_file_info,4,2,2,16,low
audit-records,list_allowed_directories,4,N/A,2,N/A,na
product-source,read_file,4,5,3,60,high
product-source,read_text_file,4,5,3,60,high
product-source,read_media_file,4,N/A,3,N/A,na
product-source,read_multiple_files,4,5,3,60,high
product-source,write_file,4,5,4,80,high
product-source,edit_file,4,5,4,80,high
product-source,create_directory,4,N/A,4,N/A,na
product-source,list_directory,4,2,2,16,low
product-source,list_directory_with_sizes,4,2,2,16,low
product-source,directory_tree,4,N/A,2,N/A,na
product-source,move_file,4,5,4,80,high
product-source,search_files,4,5,2,40,medium
product-source,get_file_info,4,2,2,16,low
product-source,list_allowed_directories,4,N/A,2,N/A,na
project-material,read_file,4,2,3,24,medium
project-material,read_text_file,4,2,3,24,medium
project-material,read_media_file,4,N/A,3,N/A,na
project-material,read_multiple_files,4,3,3,36,medium
project-material,write_file,4,3,4,48,medium
project-material,edit_file,4,2,4,32,medium
project-material,create_directory,4,2,4,32,medium
project-material,list_directory,4,2,2,16,low
project-material,list_directory_with_sizes,4,2,2,16,low
project-material,directory_tree,4,N/A,2,N/A,na
project-material,move_file,4,2,4,32,medium
project-material,search_files,4,2,2,16,low
project-material,get_file_info,4,2,2,16,low
project-material,list_allowed_directories,4,N/A,2,N/A,na
onboarding-material,read_file,3,2,3,18,medium
onboarding-material,read_text_file,3,2,3,18,medium
onboarding-material,read_media_file,3,2,3,18,medium
onboarding-material,read_multiple_files,3,3,3,27,medium
onboarding-material,write_file,3,3,4,36,medium
onboarding-material,edit_file,3,2,4,24,medium
onboarding-material,create_directory,3,N/A,4,N/A,na
onboarding-material,list_directory,3,2,2,12,low
onboarding-material,list_directory_with_sizes,3,2,2,12,low
onboarding-material,directory_tree,3,2,2,12,low
onboarding-material,move_file,3,2,4,24,medium
onboarding-material,search_files,3,2,2,12,low
onboarding-material,get_file_info,3,2,2,12,low
onboarding-material,list_allowed_directories,3,2,2,12,low
public-overview,read_file,1,2,3,6,low
public-overview,read_text_file,1,2,3,6,low
public-overview,read_media_file,1,N/A,3,N/A,na
public-overview,read_multiple_files,1,3,3,9,low
public-overview,write_file,1,N/A,4,N/A,na
public-overview,edit_file,1,N/A,4,N/A,na
public-overview,create_directory,1,N/A,4,N/A,na
public-overview,list_directory,1,N/A,2,N/A,na
public-overview,list_directory_with_sizes,1,2,2,4,low
public-overview,directory_tree,1,N/A,2,N/A,na
public-overview,move_file,1,5,4,20,medium
public-overview,search_files,1,N/A,2,N/A,na
public-overview,get_file_info,1,1,2,2,low
public-overview,list_allowed_directories,1,N/A,2,N/A,na
file-contents,read_file,4,5,3,60,high
file-contents,read_text_file,4,5,3,60,high
file-contents,read_media_file,4,5,3,60,high
file-contents,read_multiple_files,4,5,3,60,high
file-contents,write_file,4,5,4,80,high
file-contents,edit_file,4,5,4,80,high
file-contents,create_directory,4,N/A,4,N/A,na
file-contents,list_directory,4,N/A,2,N/A,na
file-contents,list_directory_with_sizes,4,N/A,2,N/A,na
file-contents,directory_tree,4,N/A,2,N/A,na
file-contents,move_file,4,N/A,4,N/A,na
file-contents,search_files,4,5,2,40,medium
file-contents,get_file_info,4,N/A,2,N/A,na
file-contents,list_allowed_directories,4,N/A,2,N/A,na
media-records,read_file,4,N/A,3,N/A,na
media-records,read_text_file,4,N/A,3,N/A,na
media-records,read_media_file,4,2,3,24,medium
media-records,read_multiple_files,4,N/A,3,N/A,na
media-records,write_file,4,N/A,4,N/A,na
media-records,edit_file,4,N/A,4,N/A,na
media-records,create_directory,4,N/A,4,N/A,na
media-records,list_directory,4,N/A,2,N/A,na
media-records,list_directory_with_sizes,4,N/A,2,N/A,na
media-records,directory_tree,4,N/A,2,N/A,na
media-records,move_file,4,N/A,4,N/A,na
