asset,tool,sensitivity,blast,impact,score,band
connected-account-config,list-calendars,5,N/A,2,N/A,na
connected-account-config,list-events,5,N/A,2,N/A,na
connected-account-config,search-events,5,N/A,3,N/A,na
connected-account-config,get-event,5,N/A,3,N/A,na
connected-account-config,list-colors,5,N/A,2,N/A,na
connected-account-config,create-event,5,N/A,4,N/A,na
connected-account-config,create-events,5,N/A,4,N/A,na
connected-account-config,update-event,5,N/A,4,N/A,na
connected-account-config,delete-event,5,N/A,5,N/A,na
connected-account-config,get-freebusy,5,N/A,2,N/A,na
connected-account-config,get-current-time,5,N/A,1,N/A,na
connected-account-config,respond-to-event,5,N/A,2,N/A,na
connected-account-config,manage-accounts,5,5,5,125,critical
contacts,list-calendars,3,N/A,2,N/A,na
contacts,list-events,3,2,2,12,low
contacts,search-events,3,3,3,27,medium
contacts,get-event,3,2,3,18,medium
contacts,list-colors,3,N/A,2,N/A,na
contacts,create-event,3,3,4,36,medium
contacts,create-events,3,4,4,48,medium
contacts,update-event,3,4,4,48,medium
contacts,delete-event,3,N/A,5,N/A,na
contacts,get-freebusy,3,N/A,2,N/A,na
contacts,get-current-time,3,N/A,1,N/A,na
contacts,respond-to-event,3,2,2,12,low
contacts,manage-accounts,3,N/A,5,N/A,na
event-attendee-lists,list-calendars,3,N/A,2,N/A,na
event-attendee-lists,list-events,3,2,2,12,low
event-attendee-lists,search-events,3,3,3,27,medium
event-attendee-lists,get-event,3,2,3,18,medium
event-attendee-lists,list-colors,3,N/A,2,N/A,na
event-attendee-lists,create-event,3,2,4,24,medium
event-attendee-lists,create-events,3,3,4,36,medium
event-attendee-lists,update-event,3,3,4,36,medium
event-attendee-lists,delete-event,3,2,5,30,medium
event-attendee-lists,get-freebusy,3,N/A,2,N/A,na
event-attendee-lists,get-current-time,3,N/A,1,N/A,na
event-attendee-lists,respond-to-event,3,2,2,12,low
event-attendee-lists,manage-accounts,3,N/A,5,N/A,na
aurora-exec,list-calendars,3,N/A,2,N/A,na
aurora-exec,list-events,3,2,2,12,low
aurora-exec,search-events,3,3,3,27,medium
aurora-exec,get-event,3,2,3,18,medium
aurora-exec,list-colors,3,N/A,2,N/A,na
aurora-exec,create-event,3,4,4,48,medium
aurora-exec,create-events,3,5,4,60,high
aurora-exec,update-event,3,4,4,48,medium
aurora-exec,delete-event,3,5,5,75,high
aurora-exec,get-freebusy,3,N/A,2,N/A,na
aurora-exec,get-current-time,3,N/A,1,N/A,na
aurora-exec,respond-to-event,3,N/A,2,N/A,na
aurora-exec,manage-accounts,3,N/A,5,N/A,na
aurora-regulatory,list-calendars,3,N/A,2,N/A,na
aurora-regulatory,list-events,3,2,2,12,low
aurora-regulatory,search-events,3,3,3,27,medium
aurora-regulatory,get-event,3,2,3,18,medium
aurora-regulatory,list-colors,3,N/A,2,N/A,na
aurora-regulatory,create-event,3,3,4,36,medium
aurora-regulatory,create-events,3,4,4,48,medium
aurora-regulatory,update-event,3,4,4,48,medium
aurora-regulatory,delete-event,3,5,5,75,high
aurora-regulatory,get-freebusy,3,N/A,2,N/A,na
aurora-regulatory,get-current-time,3,N/A,1,N/A,na
aurora-regulatory,respond-to-event,3,N/A,2,N/A,na
aurora-regulatory,manage-accounts,3,N/A,5,N/A,na
aurora-crew-roster,list-calendars,4,N/A,2,N/A,na
aurora-crew-roster,list-events,4,2,2,16,low
