asset,tool,sensitivity,blast,impact,score,band
security-keys,read_file,5,5,3,75,high
security-keys,read_text_file,5,5,3,75,high
security-keys,read_media_file,5,N/A,3,N/A,na
security-keys,read_multiple_files,5,5,3,75,high
security-keys,write_file,5,5,4,100,critical
security-keys,edit_file,5,5,4,100,critical
security-keys,create_directory,5,N/A,4,N/A,na
security-keys,list_directory,5,N/A,2,N/A,na
security-keys,list_directory_with_sizes,5,N/A,2,N/A,na
security-keys,directory_tree,5,N/A,2,N/A,na
security-keys,move_file,5,5,4,100,critical
security-keys,search_files,5,5,2,50,high
security-keys,get_file_info,5,N/A,2,N/A,na
security-keys,list_allowed_directories,5,N/A,2,N/A,na
payroll-records,read_file,3,5,3,45,medium
payroll-records,read_text_file,3,5,3,45,medium
payroll-records,read_media_file,3,N/A,3,N/A,na
payroll-records,read_multiple_files,3,5,3,45,medium
payroll-records,write_file,3,4,4,48,medium
payroll-records,edit_file,3,5,4,60,high
payroll-records,create_directory,3,N/A,4,N/A,na
payroll-records,list_directory,3,N/A,2,N/A,na
payroll-records,list_directory_with_sizes,3,N/A,2,N/A,na
payroll-records,directory_tree,3,N/A,2,N/A,na
payroll-records,move_file,3,5,4,60,high
payroll-records,search_files,3,5,2,30,medium
payroll-records,get_file_info,3,N/A,2,N/A,na
payroll-records,list_allowed_directories,3,N/A,2,N/A,na
audit-records,read_file,4,3,3,36,medium
audit-records,read_text_file,4,3,3,36,medium
audit-records,read_media_file,4,N/A,3,N/A,na
audit-records,read_multiple_files,4,4,3,48,medium
audit-records,write_file,4,N/A,4,N/A,na
audit-records,edit_file,4,N/A,4,N/A,na
audit-records,create_directory,4,N/A,4,N/A,na
audit-records,list_directory,4,N/A,2,N/A,na
audit-records,list_directory_with_sizes,4,N/A,2,N/A,na
audit-records,directory_tree,4,N/A,2,N/A,na
audit-records,move_file,4,N/A,4,N/A,na
audit-records,search_files,4,2,2,16,low
audit-records,get_file_info,4,N/A,2,N/A,na
audit-records,list_allowed_directories,4,N/A,2,N/A,na
audit-records-integrity,read_file,5,N/A,3,N/A,na
audit-records-integrity,read_text_file,5,N/A,3,N/A,na
audit-records-integrity,read_media_file,5,N/A,3,N/A,na
audit-records-integrity,read_multiple_files,5,N/A,3,N/A,na
audit-records-integrity,write_file,5,5,4,100,critical
audit-records-integrity,edit_file,5,4,4,80,high
audit-records-integrity,create_directory,5,N/A,4,N/A,na
audit-records-integrity,list_directory,5,N/A,2,N/A,na
audit-records-integrity,list_directory_with_sizes,5,N/A,2,N/A,na
audit-records-integrity,directory_tree,5,N/A,2,N/A,na
audit-records-integrity,move_file,5,4,4,80,high
audit-records-integrity,search_files,5,N/A,2,N/A,na
audit-records-integrity,get_file_info,5,N/A,2,N/A,na
audit-records-integrity,list_allowed_directories,5,N/A,2,N/A,na
product-source,read_file,3,4,3,36,medium
product-source,read_text_file,3,4,3,36,medium
product-source,read_media_file,3,N/A,3,N/A,na
product-source,read_multiple_files,3,5,3,45,medium
product-source,write_file,3,4,4,48,medium
product-source,edit_file,3,N/A,4,N/A,na
product-source,create_directory,3,N/A,4,N/A,na
product-source,list_directory,3,N/A,2,N/A,na
product-source,list_directory_with_sizes,3,N/A,2,N/A,na
product-source,directory_tree,3,N/A,2,N/A,na
product-source,move_file,3,N/A,4,N/A,na
product-source,search_files,3,4,2,24,medium
product-source,get_file_info,3,N/A,2,N/A,na
product-source,list_allowed_directories,3,N/A,2,N/A,na
product-source-build,read_file,5,N/A,3,N/A,na
product-source-build,read_text_file,5,N/A,3,N/A,na
product-source-build,read_media_file,5,N/A,3,N/A,na
