asset,tool,sensitivity,blast,impact,score,band
helios-grid-infra-config,create_or_update_file,3,4,4,48,medium
helios-grid-infra-config,search_repositories,3,N/A,3,N/A,na
helios-grid-infra-config,create_repository,3,N/A,4,N/A,na
helios-grid-infra-config,get_file_contents,3,4,3,36,medium
helios-grid-infra-config,push_files,3,4,4,48,medium
helios-grid-infra-config,create_issue,3,N/A,4,N/A,na
helios-grid-infra-config,create_pull_request,3,4,4,48,medium
helios-grid-infra-config,fork_repository,3,5,4,60,high
helios-grid-infra-config,create_branch,3,4,4,48,medium
helios-grid-infra-config,list_commits,3,3,2,18,medium
helios-grid-infra-config,list_issues,3,2,2,12,low
helios-grid-infra-config,update_issue,3,N/A,4,N/A,na
helios-grid-infra-config,add_issue_comment,3,N/A,3,N/A,na
helios-grid-infra-config,search_code,3,3,3,27,medium
helios-grid-infra-config,search_issues,3,3,3,27,medium
helios-grid-infra-config,search_users,3,N/A,3,N/A,na
helios-grid-infra-config,get_issue,3,N/A,3,N/A,na
helios-grid-infra-config,get_pull_request,3,N/A,3,N/A,na
helios-grid-infra-config,list_pull_requests,3,2,2,12,low
helios-grid-infra-config,create_pull_request_review,3,4,4,48,medium
helios-grid-infra-config,merge_pull_request,3,N/A,4,N/A,na
helios-grid-infra-config,get_pull_request_files,3,3,2,18,medium
helios-grid-infra-config,get_pull_request_status,3,N/A,2,N/A,na
helios-grid-infra-config,update_pull_request_branch,3,4,4,48,medium
helios-grid-infra-config,get_pull_request_comments,3,N/A,3,N/A,na
helios-grid-infra-config,get_pull_request_reviews,3,N/A,3,N/A,na
helios-grid-infra-config-change,create_or_update_file,5,4,4,80,high
helios-grid-infra-config-change,search_repositories,5,N/A,3,N/A,na
helios-grid-infra-config-change,create_repository,5,N/A,4,N/A,na
helios-grid-infra-config-change,get_file_contents,5,N/A,3,N/A,na
helios-grid-infra-config-change,push_files,5,4,4,80,high
helios-grid-infra-config-change,create_issue,5,N/A,4,N/A,na
helios-grid-infra-config-change,create_pull_request,5,4,4,80,high
helios-grid-infra-config-change,fork_repository,5,5,4,100,critical
helios-grid-infra-config-change,create_branch,5,4,4,80,high
helios-grid-infra-config-change,list_commits,5,4,2,40,medium
helios-grid-infra-config-change,list_issues,5,N/A,2,N/A,na
helios-grid-infra-config-change,update_issue,5,N/A,4,N/A,na
helios-grid-infra-config-change,add_issue_comment,5,N/A,3,N/A,na
helios-grid-infra-config-change,search_code,5,5,3,75,high
helios-grid-infra-config-change,search_issues,5,N/A,3,N/A,na
helios-grid-infra-config-change,search_users,5,N/A,3,N/A,na
helios-grid-infra-config-change,get_issue,5,N/A,3,N/A,na
helios-grid-infra-config-change,get_pull_request,5,4,3,60,high
helios-grid-infra-config-change,list_pull_requests,5,2,2,20,medium
helios-grid-infra-config-change,create_pull_request_review,5,4,4,80,high
helios-grid-infra-config-change,merge_pull_request,5,4,4,80,high
helios-grid-infra-config-change,get_pull_request_files,5,4,2,40,medium
helios-grid-infra-config-change,get_pull_request_status,5,N/A,2,N/A,na
helios-grid-infra-config-change,update_pull_request_branch,5,4,4,80,high
helios-grid-infra-config-change,get_pull_request_comments,5,N/A,3,N/A,na
helios-grid-infra-config-change,get_pull_request_reviews,5,3,3,45,medium
helios-scada-gateway,create_or_update_file,3,N/A,4,N/A,na
helios-scada-gateway,search_repositories,3,N/A,3,N/A,na
helios-scada-gateway,create_repository,3,N/A,4,N/A,na
helios-scada-gateway,get_file_contents,3,3,3,27,medium
helios-scada-gateway,push_files,3,N/A,4,N/A,na
helios-scada-gateway,create_issue,3,N/A,4,N/A,na
helios-scada-gateway,create_pull_request,3,N/A,4,N/A,na
helios-scada-gateway,fork_repository,3,N/A,4,N/A,na
helios-scada-gateway,create_branch,3,N/A,4,N/A,na
helios-scada-gateway,list_commits,3,2,2,12,low
helios-scada-gateway,list_issues,3,2,2,12,low
helios-scada-gateway,update_issue,3,N/A,4,N/A,na
helios-scada-gateway,add_issue_comment,3,N/A,3,N/A,na
helios-scada-gateway,search_code,3,3,3,27,medium
helios-scada-gateway,search_issues,3,2,3,18,medium
helios-scada-gateway,search_users,3,N/A,3,N/A,na
helios-scada-gateway,get_issue,3,N/A,3,N/A,na
helios-scada-gateway,get_pull_request,3,N/A,3,N/A,na
helios-scada-gateway,list_pull_requests,3,2,2,12,low
helios-scada-gateway,create_pull_request_review,3,N/A,4,N/A,na
helios-scada-gateway,merge_pull_request,3,N/A,4,N/A,na
helios-scada-gateway,get_pull_request_files,3,N/A,2,N/A,na
helios-scada-gateway,get_pull_request_status,3,N/A,2,N/A,na
helios-scada-gateway,update_pull_request_branch,3,N/A,4,N/A,na
helios-scada-gateway,get_pull_request_comments,3,N/A,3,N/A,na
helios-scada-gateway,get_pull_request_reviews,3,N/A,3,N/A,na
helios-scada-gateway-release,create_or_update_file,5,4,4,80,high
helios-scada-gateway-release,search_repositories,5,N/A,3,N/A,na
helios-scada-gateway-release,create_repository,5,N/A,4,N/A,na
helios-scada-gateway-release,get_file_contents,5,5,3,75,high
helios-scada-gateway-release,push_files,5,4,4,80,high
helios-scada-gateway-release,create_issue,5,N/A,4,N/A,na
helios-scada-gateway-release,create_pull_request,5,4,4,80,high
helios-scada-gateway-release,fork_repository,5,N/A,4,N/A,na
helios-scada-gateway-release,create_branch,5,4,4,80,high
helios-scada-gateway-release,list_commits,5,4,2,40,medium
helios-scada-gateway-release,list_issues,5,N/A,2,N/A,na
helios-scada-gateway-release,update_issue,5,N/A,4,N/A,na
helios-scada-gateway-release,add_issue_comment,5,N/A,3,N/A,na
helios-scada-gateway-release,search_code,5,3,3,45,medium
helios-scada-gateway-release,search_issues,5,N/A,3,N/A,na
helios-scada-gateway-release,search_users,5,N/A,3,N/A,na
helios-scada-gateway-release,get_issue,5,N/A,3,N/A,na
helios-scada-gateway-release,get_pull_request,5,4,3,60,high
helios-scada-gateway-release,list_pull_requests,5,3,2,30,medium
helios-scada-gateway-release,create_pull_request_review,5,4,4,80,high
helios-scada-gateway-release,merge_pull_request,5,5,4,100,critical
helios-scada-gateway-release,get_pull_request_files,5,4,2,40,medium
helios-scada-gateway-release,get_pull_request_status,5,2,2,20,medium
helios-scada-gateway-release,update_pull_request_branch,5,4,4,80,high
helios-scada-gateway-release,get_pull_request_comments,5,3,3,45,medium
helios-scada-gateway-release,get_pull_request_reviews,5,3,3,45,medium
helios-market-bidding-engine,create_or_update_file,4,4,4,64,high
helios-market-bidding-engine,search_repositories,4,N/A,3,N/A,na
helios-market-bidding-engine,create_repository,4,N/A,4,N/A,na
helios-market-bidding-engine,get_file_contents,4,4,3,48,medium
helios-market-bidding-engine,push_files,4,4,4,64,high
helios-market-bidding-engine,create_issue,4,N/A,4,N/A,na
helios-market-bidding-engine,create_pull_request,4,4,4,64,high
helios-market-bidding-engine,fork_repository,4,N/A,4,N/A,na
helios-market-bidding-engine,create_branch,4,4,4,64,high
helios-market-bidding-engine,list_commits,4,2,2,16,low
helios-market-bidding-engine,list_issues,4,2,2,16,low
helios-market-bidding-engine,update_issue,4,N/A,4,N/A,na
helios-market-bidding-engine,add_issue_comment,4,N/A,3,N/A,na
helios-market-bidding-engine,search_code,4,4,3,48,medium
helios-market-bidding-engine,search_issues,4,2,3,24,medium
helios-market-bidding-engine,search_users,4,N/A,3,N/A,na
helios-market-bidding-engine,get_issue,4,N/A,3,N/A,na
helios-market-bidding-engine,get_pull_request,4,2,3,24,medium
helios-market-bidding-engine,list_pull_requests,4,3,2,24,medium
helios-market-bidding-engine,create_pull_request_review,4,4,4,64,high
helios-market-bidding-engine,merge_pull_request,4,4,4,64,high
helios-market-bidding-engine,get_pull_request_files,4,4,2,32,medium
helios-market-bidding-engine,get_pull_request_status,4,2,2,16,low
helios-market-bidding-engine,update_pull_request_branch,4,4,4,64,high
helios-market-bidding-engine,get_pull_request_comments,4,2,3,24,medium
helios-market-bidding-engine,get_pull_request_reviews,4,3,3,36,medium
helios-ot-runbooks,create_or_update_file,3,4,4,48,medium
helios-ot-runbooks,search_repositories,3,N/A,3,N/A,na
helios-ot-runbooks,create_repository,3,N/A,4,N/A,na
helios-ot-runbooks,get_file_contents,3,3,3,27,medium
helios-ot-runbooks,push_files,3,4,4,48,medium
helios-ot-runbooks,create_issue,3,N/A,4,N/A,na
helios-ot-runbooks,create_pull_request,3,4,4,48,medium
helios-ot-runbooks,fork_repository,3,N/A,4,N/A,na
helios-ot-runbooks,create_branch,3,3,4,36,medium
helios-ot-runbooks,list_commits,3,2,2,12,low
helios-ot-runbooks,list_issues,3,3,2,18,medium
helios-ot-runbooks,update_issue,3,3,4,36,medium
helios-ot-runbooks,add_issue_comment,3,2,3,18,medium
helios-ot-runbooks,search_code,3,4,3,36,medium
helios-ot-runbooks,search_issues,3,3,3,27,medium
helios-ot-runbooks,search_users,3,N/A,3,N/A,na
helios-ot-runbooks,get_issue,3,N/A,3,N/A,na
helios-ot-runbooks,get_pull_request,3,N/A,3,N/A,na
helios-ot-runbooks,list_pull_requests,3,3,2,18,medium
helios-ot-runbooks,create_pull_request_review,3,4,4,48,medium
helios-ot-runbooks,merge_pull_request,3,4,4,48,medium
helios-ot-runbooks,get_pull_request_files,3,2,2,12,low
helios-ot-runbooks,get_pull_request_status,3,N/A,2,N/A,na
helios-ot-runbooks,update_pull_request_branch,3,4,4,48,medium
helios-ot-runbooks,get_pull_request_comments,3,N/A,3,N/A,na
helios-ot-runbooks,get_pull_request_reviews,3,3,3,27,medium
helios-public-site,create_or_update_file,1,4,4,16,low
helios-public-site,search_repositories,1,N/A,3,N/A,na
helios-public-site,create_repository,1,N/A,4,N/A,na
helios-public-site,get_file_contents,1,2,3,6,low
helios-public-site,push_files,1,4,4,16,low
helios-public-site,create_issue,1,N/A,4,N/A,na
helios-public-site,create_pull_request,1,4,4,16,low
helios-public-site,fork_repository,1,N/A,4,N/A,na
helios-public-site,create_branch,1,2,4,8,low
helios-public-site,list_commits,1,2,2,4,low
helios-public-site,list_issues,1,N/A,2,N/A,na
helios-public-site,update_issue,1,N/A,4,N/A,na
helios-public-site,add_issue_comment,1,N/A,3,N/A,na
helios-public-site,search_code,1,2,3,6,low
helios-public-site,search_issues,1,N/A,3,N/A,na
helios-public-site,search_users,1,N/A,3,N/A,na
helios-public-site,get_issue,1,N/A,3,N/A,na
helios-public-site,get_pull_request,1,N/A,3,N/A,na
helios-public-site,list_pull_requests,1,2,2,4,low
helios-public-site,create_pull_request_review,1,2,4,8,low
helios-public-site,merge_pull_request,1,4,4,16,low
helios-public-site,get_pull_request_files,1,2,2,4,low
helios-public-site,get_pull_request_status,1,N/A,2,N/A,na
helios-public-site,update_pull_request_branch,1,4,4,16,low
helios-public-site,get_pull_request_comments,1,N/A,3,N/A,na
helios-public-site,get_pull_request_reviews,1,N/A,3,N/A,na
repository-contents,create_or_update_file,3,4,4,48,medium
repository-contents,search_repositories,3,N/A,3,N/A,na
repository-contents,create_repository,3,N/A,4,N/A,na
repository-contents,get_file_contents,3,3,3,27,medium
repository-contents,push_files,3,4,4,48,medium
repository-contents,create_issue,3,N/A,4,N/A,na
repository-contents,create_pull_request,3,4,4,48,medium
repository-contents,fork_repository,3,5,4,60,high
repository-contents,create_branch,3,4,4,48,medium
repository-contents,list_commits,3,2,2,12,low
repository-contents,list_issues,3,N/A,2,N/A,na
repository-contents,update_issue,3,N/A,4,N/A,na
repository-contents,add_issue_comment,3,N/A,3,N/A,na
repository-contents,search_code,3,4,3,36,medium
repository-contents,search_issues,3,N/A,3,N/A,na
repository-contents,search_users,3,N/A,3,N/A,na
repository-contents,get_issue,3,N/A,3,N/A,na
repository-contents,get_pull_request,3,N/A,3,N/A,na
repository-contents,list_pull_requests,3,2,2,12,low
repository-contents,create_pull_request_review,3,N/A,4,N/A,na
repository-contents,merge_pull_request,3,4,4,48,medium
