server,asset,nacombo,iso,nist,cis
fs_corp_filesystem,audit-records,4,4,4,4
fs_corp_filesystem,audit-records-integrity,,,5,
fs_corp_filesystem,directory-contents,2,3,2,
fs_corp_filesystem,directory-records,3,4,2,
fs_corp_filesystem,directory-structure,2,4,2,
fs_corp_filesystem,file-contents,5,4,5,
fs_corp_filesystem,file-directory,2,3,3,
fs_corp_filesystem,file-metadata,2,2,2,
fs_corp_filesystem,file-read-surface,,,,4
fs_corp_filesystem,file-records,3,4,4,
fs_corp_filesystem,file-write-surface,,,,4
fs_corp_filesystem,filesystem-metadata,,,,3
fs_corp_filesystem,media-records,4,4,4,
fs_corp_filesystem,mount-directory,2,1,2,
fs_corp_filesystem,onboarding-material,3,3,2,
fs_corp_filesystem,payroll-records,4,4,3,5
fs_corp_filesystem,product-source,4,4,3,4
fs_corp_filesystem,product-source-build,,,5,
fs_corp_filesystem,project-material,3,4,3,2
fs_corp_filesystem,public-overview,1,1,1,
fs_corp_filesystem,published-material,,,,1
fs_corp_filesystem,security-keys,5,4,5,5
github_helios,branch-directory,2,2,2,
github_helios,branch-heads,4,4,4,5
github_helios,change-control-records,,,,4
github_helios,code-read-surface,,,,5
github_helios,code-records,4,3,4,
github_helios,code-write-surface,,,,5
github_helios,commit-list,2,3,2,
github_helios,helios-grid-infra-config,4,4,3,
github_helios,helios-grid-infra-config-change,,,5,
github_helios,helios-market-bidding-engine,4,3,4,4
github_helios,helios-ot-runbooks,4,3,3,5
github_helios,helios-perimeter-code,,,,5
github_helios,helios-public-site,1,1,1,1
github_helios,helios-scada-gateway,5,4,3,
github_helios,helios-scada-gateway-release,,,5,
github_helios,issue-catalog,2,3,3,
github_helios,issue-records,3,4,3,
github_helios,issues-and-comments,3,3,2,2
github_helios,org-external-copies,4,3,4,4
github_helios,platform-user-directory,1,3,2,1
github_helios,pull-request-records,4,4,3,
github_helios,pull-requests-and-reviews,4,4,3,
github_helios,repository-catalog,3,3,2,
github_helios,repository-contents,4,3,3,
github_helios,repository-metadata,,,,3
github_helios,repository-records,3,4,3,
slack_vireo,access-control-state,,,,4
slack_vireo,agent-channel-membership,4,4,5,
slack_vireo,channel-directory,2,3,2,
slack_vireo,channel-message-surface,,,,5
slack_vireo,channel-messages,4,4,5,
slack_vireo,message-reactions,2,4,2,
slack_vireo,read-markers,2,2,4,
slack_vireo,user-directory,4,3,4,4
slack_vireo,usergroup-directory,2,3,2,
slack_vireo,usergroup-membership,4,4,4,
slack_vireo,vireo-announcements,1,5,2,5
slack_vireo,vireo-eng-platform,3,3,2,5
slack_vireo,vireo-lab-informatics,4,3,3,
slack_vireo,vireo-regulatory-fda,4,4,3,4
slack_vireo,vireo-safety-pv,4,4,3,4
slack_vireo,vireo-safety-pv-post,,,4,
slack_vireo,vireo-trial-conduct,,,,4
slack_vireo,vireo-trial-ops,4,3,3,
slack_vireo,vireo-unblinding,5,4,5,5
slack_vireo,vireo-unblinding-relay,,,5,
slack_vireo,workspace-metadata,,,,3
calendar_aurora,account-directory,5,4,4,
calendar_aurora,aurora-crew-roster,3,3,4,4
calendar_aurora,aurora-crew-roster-commitment,,,5,
calendar_aurora,aurora-exec,5,4,3,5
calendar_aurora,aurora-maintenance,3,3,3,5
calendar_aurora,aurora-maintenance-window,,,5,
calendar_aurora,aurora-regulatory,4,3,3,4
calendar_aurora,aurora-team,3,3,3,2
calendar_aurora,calendar-directory,2,2,2,
calendar_aurora,calendar-metadata,,,,2
calendar_aurora,calendar-records,2,2,2,
calendar_aurora,color-catalog,1,1,1,
calendar_aurora,connected-account-config,4,4,5,5
calendar_aurora,contacts,4,4,3,
calendar_aurora,event-attendee-lists,4,4,3,
calendar_aurora,event-records,4,4,4,
calendar_aurora,event-write-surface,,,,4
calendar_aurora,free-busy-availability,2,3,2,
calendar_aurora,holidays,1,1,1,
calendar_aurora,outbound-invite-email,3,4,4,4
calendar_aurora,person-records,,,,4
calendar_aurora,rsvp-state,3,3,3,
