asset,tool,sensitivity,blast,impact,score,band
personal,list-calendars,3,1,1,3,low
personal,list-events,3,4,1,12,medium
personal,search-events,3,4,1,12,medium
personal,get-event,3,1,1,3,low
personal,list-colors,3,2,1,6,low
personal,create-event,3,2,3,18,high
personal,create-events,3,2,3,18,high
personal,update-event,3,2,2,12,medium
personal,delete-event,3,2,3,18,high
personal,get-freebusy,3,4,1,12,medium
personal,get-current-time,3,2,1,6,low
personal,respond-to-event,3,2,2,12,medium
personal,manage-accounts,3,1,3,9,high
team,list-calendars,3,1,1,3,low
team,list-events,3,4,1,12,medium
team,search-events,3,4,1,12,medium
team,get-event,3,1,1,3,low
team,list-colors,3,2,1,6,low
team,create-event,3,2,3,18,high
team,create-events,3,2,3,18,high
team,update-event,3,2,2,12,medium
team,delete-event,3,2,3,18,high
team,get-freebusy,3,4,1,12,medium
team,get-current-time,3,1,1,3,low
team,respond-to-event,3,2,2,12,medium
team,manage-accounts,3,1,3,9,high
executive,list-calendars,4,1,1,4,medium
executive,list-events,4,4,1,16,high
executive,search-events,4,4,1,16,high
executive,get-event,4,1,1,4,medium
executive,list-colors,4,2,1,8,medium
executive,create-event,4,2,3,24,high
executive,create-events,4,2,3,24,high
executive,update-event,4,1,2,8,medium
executive,delete-event,4,2,3,24,high
executive,get-freebusy,4,2,1,8,medium
executive,get-current-time,4,2,1,8,medium
executive,respond-to-event,4,2,2,16,medium
executive,manage-accounts,4,1,3,12,high
recruiting,list-calendars,4,2,1,8,medium
recruiting,list-events,4,4,1,16,high
recruiting,search-events,4,4,1,16,high
recruiting,get-event,4,1,1,4,medium
recruiting,list-colors,4,1,1,4,medium
recruiting,create-event,4,2,3,24,high
recruiting,create-events,4,2,3,24,high
recruiting,update-event,4,1,2,8,medium
recruiting,delete-event,4,2,3,24,high
recruiting,get-freebusy,4,2,1,8,medium
recruiting,get-current-time,4,1,1,4,medium
recruiting,respond-to-event,4,2,2,16,medium
recruiting,manage-accounts,4,1,3,12,high
contacts,list-calendars,4,1,1,4,medium
contacts,list-events,4,1,1,4,medium
contacts,search-events,4,1,1,4,medium
contacts,get-event,4,1,1,4,medium
contacts,list-colors,4,1,1,4,medium
contacts,create-event,4,1,3,12,high
contacts,create-events,4,1,3,12,high
contacts,update-event,4,1,2,8,medium
contacts,delete-event,4,1,3,12,high
contacts,get-freebusy,4,1,1,4,medium
contacts,get-current-time,4,1,1,4,medium
contacts,respond-to-event,4,1,2,8,medium
contacts,manage-accounts,4,1,3,12,high
holidays,list-calendars,1,1,1,1,low
holidays,list-events,1,4,1,4,low
holidays,search-events,1,4,1,4,low
holidays,get-event,1,1,1,1,low
holidays,list-colors,1,1,1,1,low
holidays,create-event,1,2,3,6,medium
holidays,create-events,1,2,3,6,medium
holidays,update-event,1,2,2,4,low
holidays,delete-event,1,2,3,6,medium
holidays,get-freebusy,1,4,1,4,low
holidays,get-current-time,1,1,1,1,low
holidays,respond-to-event,1,2,2,4,low
holidays,manage-accounts,1,1,3,3,medium
