asset,tool,sensitivity,blast,impact,score,band
equity_market_data,get_ticker_data,4,4,1,16,high
equity_market_data,get_price_history,4,1,1,4,medium
equity_market_data,get_financial_statements,4,1,1,4,medium
equity_market_data,get_earnings_history,4,1,1,4,medium
equity_market_data,get_ticker_news_tool,4,1,1,4,medium
equity_market_data,super_option_tool,4,1,1,4,medium
equity_market_data,get_top25_holders,4,1,1,4,medium
equity_market_data,get_insider_trades,4,1,1,4,medium
equity_market_data,get_overall_sentiment_tool,4,1,1,4,medium
equity_market_data,get_historical_fng_tool,4,4,1,16,high
equity_market_data,analyze_fng_trend,4,4,1,16,high
equity_market_data,calculate,4,1,1,4,medium
equity_market_data,get_current_time,4,1,1,4,medium
equity_market_data,get_fred_series,4,1,1,4,medium
equity_market_data,search_fred_series,4,4,1,16,high
equity_market_data,cnbc_news_feed,4,4,1,16,high
equity_market_data,social_media_feed,4,4,1,16,high
macro_economic_data,get_ticker_data,2,1,1,2,low
macro_economic_data,get_price_history,2,1,1,2,low
macro_economic_data,get_financial_statements,2,1,1,2,low
macro_economic_data,get_earnings_history,2,1,1,2,low
macro_economic_data,get_ticker_news_tool,2,1,1,2,low
macro_economic_data,super_option_tool,2,1,1,2,low
macro_economic_data,get_top25_holders,2,1,1,2,low
macro_economic_data,get_insider_trades,2,1,1,2,low
macro_economic_data,get_overall_sentiment_tool,2,4,1,8,medium
macro_economic_data,get_historical_fng_tool,2,4,1,8,medium
macro_economic_data,analyze_fng_trend,2,4,1,8,medium
macro_economic_data,calculate,2,1,1,2,low
macro_economic_data,get_current_time,2,1,1,2,low
macro_economic_data,get_fred_series,2,1,1,2,low
macro_economic_data,search_fred_series,2,4,1,8,medium
macro_economic_data,cnbc_news_feed,2,4,1,8,medium
macro_economic_data,social_media_feed,2,4,1,8,medium
news_and_sentiment,get_ticker_data,1,4,1,4,low
news_and_sentiment,get_price_history,1,1,1,1,low
news_and_sentiment,get_financial_statements,1,1,1,1,low
news_and_sentiment,get_earnings_history,1,1,1,1,low
news_and_sentiment,get_ticker_news_tool,1,1,1,1,low
news_and_sentiment,super_option_tool,1,1,1,1,low
news_and_sentiment,get_top25_holders,1,1,1,1,low
news_and_sentiment,get_insider_trades,1,1,1,1,low
news_and_sentiment,get_overall_sentiment_tool,1,1,1,1,low
news_and_sentiment,get_historical_fng_tool,1,4,1,4,low
news_and_sentiment,analyze_fng_trend,1,4,1,4,low
news_and_sentiment,calculate,1,1,1,1,low
news_and_sentiment,get_current_time,1,1,1,1,low
news_and_sentiment,get_fred_series,1,1,1,1,low
news_and_sentiment,search_fred_series,1,4,1,4,low
news_and_sentiment,cnbc_news_feed,1,4,1,4,low
news_and_sentiment,social_media_feed,1,4,1,4,low
options_data,get_ticker_data,1,1,1,1,low
options_data,get_price_history,1,1,1,1,low
options_data,get_financial_statements,1,1,1,1,low
options_data,get_earnings_history,1,1,1,1,low
options_data,get_ticker_news_tool,1,1,1,1,low
options_data,super_option_tool,1,1,1,1,low
options_data,get_top25_holders,1,1,1,1,low
options_data,get_insider_trades,1,1,1,1,low
options_data,get_overall_sentiment_tool,1,2,1,2,low
options_data,get_historical_fng_tool,1,4,1,4,low
options_data,analyze_fng_trend,1,4,1,4,low
options_data,calculate,1,1,1,1,low
options_data,get_current_time,1,1,1,1,low
options_data,get_fred_series,1,1,1,1,low
options_data,search_fred_series,1,4,1,4,low
options_data,cnbc_news_feed,1,1,1,1,low
options_data,social_media_feed,1,4,1,4,low
server_api_credentials,get_ticker_data,5,1,1,5,medium
server_api_credentials,get_price_history,5,1,1,5,medium
server_api_credentials,get_financial_statements,5,1,1,5,medium
server_api_credentials,get_earnings_history,5,1,1,5,medium
server_api_credentials,get_ticker_news_tool,5,1,1,5,medium
server_api_credentials,super_option_tool,5,1,1,5,medium
server_api_credentials,get_top25_holders,5,1,1,5,medium
server_api_credentials,get_insider_trades,5,1,1,5,medium
server_api_credentials,get_overall_sentiment_tool,5,1,1,5,medium
server_api_credentials,get_historical_fng_tool,5,1,1,5,medium
server_api_credentials,analyze_fng_trend,5,1,1,5,medium
server_api_credentials,calculate,5,1,1,5,medium
server_api_credentials,get_current_time,5,1,1,5,medium
server_api_credentials,get_fred_series,5,1,1,5,medium
server_api_credentials,search_fred_series,5,2,1,10,medium
server_api_credentials,cnbc_news_feed,5,1,1,5,medium
server_api_credentials,social_media_feed,5,1,1,5,medium
